Año	Provincia código	Provincia nombre	Total viviendas	Viviendas libres	Viviendas protegidas
2015	22	Huesca	2208	2126	82
2015	44	Teruel	1160	1090	70
2015	50	Zaragoza	7970	7779	191
2014	22	Huesca	1952	1833	119
2014	44	Teruel	1024	907	117
2014	50	Zaragoza	6967	6675	292
2013	22	Huesca	1673	1484	189
2013	44	Teruel	886	789	97
2013	50	Zaragoza	5052	4830	222
2012	22	Huesca	2207	2069	138
2012	44	Teruel	1215	1097	118
2012	50	Zaragoza	7626	6556	1070
2011	22	Huesca	1854	1625	229
2011	44	Teruel	1236	1214	22
2011	50	Zaragoza	6170	5605	565
2010	22	Huesca	2690	2560	130
2010	44	Teruel	1724	1651	73
2010	50	Zaragoza	10659	8744	1915
2009	22	Huesca	2938	2726	212
2009	44	Teruel	1556	1415	141
2009	50	Zaragoza	10164	7506	2658
2008	22	Huesca	4254	3758	496
2008	44	Teruel	2362	2219	143
2008	50	Zaragoza	9767	8252	1515
2007	22	Huesca	5985	5660	325
2007	44	Teruel	2588	2399	189
2007	50	Zaragoza	14785	13394	1391
2006	22	Huesca	5907	5710	197
2006	44	Teruel	2402	2249	153
2006	50	Zaragoza	15849	15450	399
2005	22	Huesca	5705	5557	148
2005	44	Teruel	1995	1799	196
2005	50	Zaragoza	17985	17042	943
2004	22	Huesca	4436	4303	133
2004	44	Teruel	2097	1754	343
2004	50	Zaragoza	16331	15289	1042
