Comarca código	Comarca nombre	Corine Land Cover 2000 nivel 3 descripción	Superficie (has)	Año
01	La Jacetania	Aeropuertos	0	2000
01	La Jacetania	Aeropuertos	27,856203	2006
01	La Jacetania	Arrozales	0	2000
01	La Jacetania	Arrozales	0	2006
01	La Jacetania	Bosque mixto	20534,931285	2000
01	La Jacetania	Bosque mixto	20644,130686	2006
01	La Jacetania	Bosques de coníferas	42655,906155	2000
01	La Jacetania	Bosques de coníferas	42661,67273	2006
01	La Jacetania	Bosques de frondosas	14778,397364	2000
01	La Jacetania	Bosques de frondosas	14609,493372	2006
01	La Jacetania	Cursos de agua	0	2000
01	La Jacetania	Cursos de agua	0	2006
01	La Jacetania	Escombreras y vertederos	0	2000
01	La Jacetania	Escombreras y vertederos	0	2006
01	La Jacetania	Espacios con vegetación escasa	7292,579586	2000
01	La Jacetania	Espacios con vegetación escasa	7135,879907	2006
01	La Jacetania	Frutales	0	2000
01	La Jacetania	Frutales	0	2006
01	La Jacetania	Glaciares y nieves permanentes	0	2000
01	La Jacetania	Glaciares y nieves permanentes	0	2006
01	La Jacetania	Humedales y zonas pantanosas	0	2000
01	La Jacetania	Humedales y zonas pantanosas	0	2006
01	La Jacetania	Instalaciones deportivas y recreativas	3,603014	2000
01	La Jacetania	Instalaciones deportivas y recreativas	40,15677	2006
01	La Jacetania	Landas y matorrales mesófilos	4580,292993	2000
01	La Jacetania	Landas y matorrales mesófilos	3902,405162	2006
01	La Jacetania	Láminas de agua	844,405559	2000
01	La Jacetania	Láminas de agua	848,282629	2006
01	La Jacetania	Matorral boscoso de transición	21312,79738	2000
01	La Jacetania	Matorral boscoso de transición	21801,608153	2006
01	La Jacetania	Mosaico de cultivos	954,390312	2000
01	La Jacetania	Mosaico de cultivos	973,859874	2006
01	La Jacetania	Olivares	0	2000
01	La Jacetania	Olivares	0	2006
01	La Jacetania	Pastizales naturales	15447,180604	2000
01	La Jacetania	Pastizales naturales	15560,804039	2006
01	La Jacetania	Playas, dunas y arenales	1547,592911	2000
01	La Jacetania	Playas, dunas y arenales	1547,651773	2006
01	La Jacetania	Prados y praderas	2109,072823	2000
01	La Jacetania	Prados y praderas	2101,041083	2006
01	La Jacetania	Redes viarias, ferroviarias y terrenos asociados	14,081557	2000
01	La Jacetania	Redes viarias, ferroviarias y terrenos asociados	0	2006
01	La Jacetania	Roquedo	8555,005087	2000
01	La Jacetania	Roquedo	8672,069809	2006
01	La Jacetania	Tejido urbano continuo	398,58994	2000
01	La Jacetania	Tejido urbano continuo	259,803323	2006
01	La Jacetania	Tejido urbano discontinuo	239,079464	2000
01	La Jacetania	Tejido urbano discontinuo	235,545788	2006
01	La Jacetania	Terrenos principalmente agrícolas, pero con importantes espacios de vegetación natural	5726,596702	2000
01	La Jacetania	Terrenos principalmente agrícolas, pero con importantes espacios de vegetación natural	5740,26918	2006
01	La Jacetania	Terrenos regados permanentemente	2054,727968	2000
01	La Jacetania	Terrenos regados permanentemente	2048,538661	2006
01	La Jacetania	Tierras de labor en secano	23146,704253	2000
01	La Jacetania	Tierras de labor en secano	23184,86882	2006
01	La Jacetania	Turberas y prados turbosos	77,22993	2000
01	La Jacetania	Turberas y prados turbosos	77,225739	2006
01	La Jacetania	Vegetación esclerófila	13337,830726	2000
01	La Jacetania	Vegetación esclerófila	13568,152586	2006
01	La Jacetania	Viñedos	0	2000
01	La Jacetania	Viñedos	0	2006
01	La Jacetania	Zonas de extracción minera	9,983117	2000
01	La Jacetania	Zonas de extracción minera	0	2006
01	La Jacetania	Zonas en construcción	87,470766	2000
01	La Jacetania	Zonas en construcción	0	2006
01	La Jacetania	Zonas industriales, comerciales y de transporte	32,811137	2000
01	La Jacetania	Zonas industriales, comerciales y de transporte	55,302816	2006
01	La Jacetania	Zonas quemadas	0	2000
01	La Jacetania	Zonas quemadas	86,78718	2006
01	La Jacetania	Zonas verdes urbanas	0	2000
