Municipio código	Municipio nombre	Corine Land Cover 2000 nivel 2 descripción	Superficie (has)	Año
22001	Abiego	Aguas continentales	0	2000
22001	Abiego	Aguas continentales	0	2006
22001	Abiego	Bosques	407,409636	2000
22001	Abiego	Bosques	409,028558	2006
22001	Abiego	Cultivos permanentes	50,650815	2000
22001	Abiego	Cultivos permanentes	54,704553	2006
22001	Abiego	Espacios abiertos con poca o sin vegetación	0	2000
22001	Abiego	Espacios abiertos con poca o sin vegetación	0	2006
22001	Abiego	Espacios de vegetación arbustiva y/o herbácea	708,359534	2000
22001	Abiego	Espacios de vegetación arbustiva y/o herbácea	708,147543	2006
22001	Abiego	Prados y praderas	0	2000
22001	Abiego	Prados y praderas	0	2006
22001	Abiego	Tierras de labor	1927,001395	2000
22001	Abiego	Tierras de labor	1923,715735	2006
22001	Abiego	Zonas agrícolas heterogéneas	712,812712	2000
22001	Abiego	Zonas agrícolas heterogéneas	725,931205	2006
22001	Abiego	Zonas de extracción minera, vertederos y de construcción	0	2000
22001	Abiego	Zonas de extracción minera, vertederos y de construcción	0	2006
22001	Abiego	Zonas húmedas continentales	0	2000
22001	Abiego	Zonas húmedas continentales	0	2006
22001	Abiego	Zonas industriales, comerciales y de transportes	0	2000
22001	Abiego	Zonas industriales, comerciales y de transportes	0	2006
22001	Abiego	Zonas Urbanas	14,897068	2000
22001	Abiego	Zonas Urbanas	0	2006
22001	Abiego	Zonas verdes artificiales, no agrícolas	0	2000
22001	Abiego	Zonas verdes artificiales, no agrícolas	0	2006
22002	Abizanda	Aguas continentales	235,853064	2000
22002	Abizanda	Aguas continentales	237,964727	2006
22002	Abizanda	Bosques	2255,235559	2000
22002	Abizanda	Bosques	2257,882491	2006
22002	Abizanda	Cultivos permanentes	66,832192	2000
22002	Abizanda	Cultivos permanentes	66,832233	2006
22002	Abizanda	Espacios abiertos con poca o sin vegetación	43,583603	2000
22002	Abizanda	Espacios abiertos con poca o sin vegetación	43,617898	2006
22002	Abizanda	Espacios de vegetación arbustiva y/o herbácea	1059,282384	2000
22002	Abizanda	Espacios de vegetación arbustiva y/o herbácea	1061,400896	2006
22002	Abizanda	Prados y praderas	0	2000
22002	Abizanda	Prados y praderas	0	2006
22002	Abizanda	Tierras de labor	300,207778	2000
22002	Abizanda	Tierras de labor	303,417267	2006
22002	Abizanda	Zonas agrícolas heterogéneas	508,382161	2000
22002	Abizanda	Zonas agrícolas heterogéneas	516,800323	2006
22002	Abizanda	Zonas de extracción minera, vertederos y de construcción	0	2000
22002	Abizanda	Zonas de extracción minera, vertederos y de construcción	0	2006
22002	Abizanda	Zonas húmedas continentales	0	2000
22002	Abizanda	Zonas húmedas continentales	0	2006
22002	Abizanda	Zonas industriales, comerciales y de transportes	0	2000
22002	Abizanda	Zonas industriales, comerciales y de transportes	0	2006
22002	Abizanda	Zonas Urbanas	10,029647	2000
22002	Abizanda	Zonas Urbanas	0	2006
22002	Abizanda	Zonas verdes artificiales, no agrícolas	0	2000
22002	Abizanda	Zonas verdes artificiales, no agrícolas	0	2006
22003	Adahuesca	Aguas continentales	0	2000
22003	Adahuesca	Aguas continentales	0	2006
22003	Adahuesca	Bosques	1991,740112	2000
22003	Adahuesca	Bosques	1993,975521	2006
22003	Adahuesca	Cultivos permanentes	42,908932	2000
22003	Adahuesca	Cultivos permanentes	78,419593	2006
22003	Adahuesca	Espacios abiertos con poca o sin vegetación	119,461694	2000
22003	Adahuesca	Espacios abiertos con poca o sin vegetación	119,461951	2006
22003	Adahuesca	Espacios de vegetación arbustiva y/o herbácea	1915,138236	2000
22003	Adahuesca	Espacios de vegetación arbustiva y/o herbácea	1913,410086	2006
22003	Adahuesca	Prados y praderas	0	2000
22003	Adahuesca	Prados y praderas	0	2006
22003	Adahuesca	Tierras de labor	619,457749	2000
22003	Adahuesca	Tierras de labor	580,784509	2006
22003	Adahuesca	Zonas agrícolas heterogéneas	551,981323	2000
22003	Adahuesca	Zonas agrícolas heterogéneas	564,473993	2006
22003	Adahuesca	Zonas de extracción minera, vertederos y de construcción	0	2000
22003	Adahuesca	Zonas de extracción minera, vertederos y de construcción	0	2006
22003	Adahuesca	Zonas húmedas continentales	0	2000
22003	Adahuesca	Zonas húmedas continentales	0	2006
22003	Adahuesca	Zonas industriales, comerciales y de transportes	0	2000
22003	Adahuesca	Zonas industriales, comerciales y de transportes	0	2006
22003	Adahuesca	Zonas Urbanas	6,416994	2000
22003	Adahuesca	Zonas Urbanas	0	2006
22003	Adahuesca	Zonas verdes artificiales, no agrícolas	0	2000
22003	Adahuesca	Zonas verdes artificiales, no agrícolas	0	2006
22004	Agüero	Aguas continentales	0	2000
22004	Agüero	Aguas continentales	0	2006
22004	Agüero	Bosques	4915,913662	2000
22004	Agüero	Bosques	4914,472543	2006
22004	Agüero	Cultivos permanentes	0	2000
22004	Agüero	Cultivos permanentes	0	2006
22004	Agüero	Espacios abiertos con poca o sin vegetación	73,629845	2000
22004	Agüero	Espacios abiertos con poca o sin vegetación	73,865042	2006
22004	Agüero	Espacios de vegetación arbustiva y/o herbácea	3725,333088	2000
22004	Agüero	Espacios de vegetación arbustiva y/o herbácea	3727,961954	2006
22004	Agüero	Prados y praderas	0	2000
22004	Agüero	Prados y praderas	0	2006
