Año	Residencia provincia código	Residencia provincia nombre	Edad (grupos quinquenales)	Sexo	Personas
1998	22	Huesca	00 a 04	Mujeres	3622
1998	22	Huesca	05 a 09	Mujeres	4118
1998	22	Huesca	10 a 14	Mujeres	4764
1998	22	Huesca	15 a 19	Mujeres	6012
1998	22	Huesca	20 a 24	Mujeres	6662
1998	22	Huesca	25 a 29	Mujeres	6867
1998	22	Huesca	30 a 34	Mujeres	7379
1998	22	Huesca	35 a 39	Mujeres	7290
1998	22	Huesca	40 a 44	Mujeres	6532
1998	22	Huesca	45 a 49	Mujeres	5837
1998	22	Huesca	50 a 54	Mujeres	5625
1998	22	Huesca	55 a 59	Mujeres	4566
1998	22	Huesca	60 a 64	Mujeres	6251
1998	22	Huesca	65 a 69	Mujeres	6916
1998	22	Huesca	70 a 74	Mujeres	6454
1998	22	Huesca	75 a 79	Mujeres	5362
1998	22	Huesca	80 a 84	Mujeres	3846
1998	22	Huesca	85 a 89	Mujeres	2275
1998	22	Huesca	90 a 94	Mujeres	902
1998	22	Huesca	95 y más	Mujeres	194
1998	44	Teruel	00 a 04	Mujeres	2597
1998	44	Teruel	05 a 09	Mujeres	3075
1998	44	Teruel	10 a 14	Mujeres	3340
1998	44	Teruel	15 a 19	Mujeres	3731
1998	44	Teruel	20 a 24	Mujeres	3917
1998	44	Teruel	25 a 29	Mujeres	4161
1998	44	Teruel	30 a 34	Mujeres	4752
1998	44	Teruel	35 a 39	Mujeres	4587
1998	44	Teruel	40 a 44	Mujeres	3871
1998	44	Teruel	45 a 49	Mujeres	3387
1998	44	Teruel	50 a 54	Mujeres	3342
1998	44	Teruel	55 a 59	Mujeres	3027
1998	44	Teruel	60 a 64	Mujeres	4666
1998	44	Teruel	65 a 69	Mujeres	5167
1998	44	Teruel	70 a 74	Mujeres	4756
1998	44	Teruel	75 a 79	Mujeres	3898
1998	44	Teruel	80 a 84	Mujeres	2730
1998	44	Teruel	85 a 89	Mujeres	1838
1998	44	Teruel	90 a 94	Mujeres	773
1998	44	Teruel	95 y más	Mujeres	194
1998	50	Zaragoza	00 a 04	Mujeres	15615
1998	50	Zaragoza	05 a 09	Mujeres	17143
1998	50	Zaragoza	10 a 14	Mujeres	19578
1998	50	Zaragoza	15 a 19	Mujeres	25888
1998	50	Zaragoza	20 a 24	Mujeres	31573
1998	50	Zaragoza	25 a 29	Mujeres	31019
1998	50	Zaragoza	30 a 34	Mujeres	31122
1998	50	Zaragoza	35 a 39	Mujeres	30534
1998	50	Zaragoza	40 a 44	Mujeres	28188
1998	50	Zaragoza	45 a 49	Mujeres	27185
1998	50	Zaragoza	50 a 54	Mujeres	26059
1998	50	Zaragoza	55 a 59	Mujeres	20898
1998	50	Zaragoza	60 a 64	Mujeres	24690
1998	50	Zaragoza	65 a 69	Mujeres	25609
