Año	Sexo	Edad (grupos quinquenales)	Nº Accidentes	CCAA
2020	Hombres	16-19	130	Aragón
2020	Hombres	20-24	743	Aragón
2020	Hombres	25-29	1008	Aragón
2020	Hombres	30-34	1164	Aragón
2020	Hombres	35-39	1453	Aragón
2020	Hombres	40-44	1758	Aragón
2020	Hombres	45-49	1604	Aragón
2020	Hombres	50-54	1316	Aragón
2020	Hombres	55-59	1013	Aragón
2020	Hombres	60-64	507	Aragón
2020	Hombres	Más de 64	51	Aragón
2020	Mujeres	16-19	47	Aragón
2020	Mujeres	20-24	277	Aragón
2020	Mujeres	25-29	463	Aragón
2020	Mujeres	30-34	494	Aragón
2020	Mujeres	35-39	517	Aragón
2020	Mujeres	40-44	595	Aragón
2020	Mujeres	45-49	712	Aragón
2020	Mujeres	50-54	694	Aragón
2020	Mujeres	55-59	551	Aragón
2020	Mujeres	60-64	359	Aragón
2020	Mujeres	Más de 64	24	Aragón
2019	Hombres	16-19	153	Aragón
2019	Hombres	20-24	814	Aragón
2019	Hombres	25-29	1129	Aragón
2019	Hombres	30-34	1394	Aragón
2019	Hombres	35-39	1760	Aragón
2019	Hombres	40-44	1969	Aragón
2019	Hombres	45-49	1826	Aragón
2019	Hombres	50-54	1416	Aragón
2019	Hombres	55-59	1066	Aragón
2019	Hombres	60-64	458	Aragón
2019	Hombres	Más de 64	49	Aragón
2019	Mujeres	16-19	49	Aragón
2019	Mujeres	20-24	280	Aragón
2019	Mujeres	25-29	374	Aragón
2019	Mujeres	30-34	460	Aragón
2019	Mujeres	35-39	572	Aragón
2019	Mujeres	40-44	656	Aragón
2019	Mujeres	45-49	643	Aragón
2019	Mujeres	50-54	713	Aragón
2019	Mujeres	55-59	496	Aragón
2019	Mujeres	60-64	248	Aragón
2019	Mujeres	Más de 64	29	Aragón
2018	Hombres	16-19	148	Aragón
2018	Hombres	20-24	812	Aragón
2018	Hombres	25-29	1140	Aragón
2018	Hombres	30-34	1353	Aragón
2018	Hombres	35-39	1694	Aragón
2018	Hombres	40-44	1879	Aragón
2018	Hombres	45-49	1548	Aragón
2018	Hombres	50-54	1288	Aragón
2018	Hombres	55-59	966	Aragón
2018	Hombres	60-64	416	Aragón
2018	Hombres	Más de 64	20	Aragón
2018	Mujeres	16-19	34	Aragón
2018	Mujeres	20-24	268	Aragón
2018	Mujeres	25-29	367	Aragón
2018	Mujeres	30-34	410	Aragón
2018	Mujeres	35-39	538	Aragón
2018	Mujeres	40-44	595	Aragón
2018	Mujeres	45-49	660	Aragón
2018	Mujeres	50-54	645	Aragón
2018	Mujeres	55-59	532	Aragón
2018	Mujeres	60-64	251	Aragón
2018	Mujeres	Más de 64	16	Aragón
2017	Hombres	16-19	126	Aragón
2017	Hombres	20-24	659	Aragón
2017	Hombres	25-29	1034	Aragón
2017	Hombres	30-34	1297	Aragón
2017	Hombres	35-39	1695	Aragón
2017	Hombres	40-44	1749	Aragón
2017	Hombres	45-49	1434	Aragón
2017	Hombres	50-54	1232	Aragón
2017	Hombres	55-59	847	Aragón
2017	Hombres	60-64	392	Aragón
2017	Hombres	Más de 64	13	Aragón
2017	Mujeres	16-19	39	Aragón
2017	Mujeres	20-24	226	Aragón
2017	Mujeres	25-29	359	Aragón
2017	Mujeres	30-34	440	Aragón
2017	Mujeres	35-39	517	Aragón
2017	Mujeres	40-44	564	Aragón
2017	Mujeres	45-49	595	Aragón
2017	Mujeres	50-54	610	Aragón
2017	Mujeres	55-59	489	Aragón
2017	Mujeres	60-64	237	Aragón
2017	Mujeres	Más de 64	12	Aragón
2016	Hombres	16-19	80	Aragón
2016	Hombres	20-24	573	Aragón
2016	Hombres	25-29	956	Aragón
2016	Hombres	30-34	1307	Aragón
2016	Hombres	35-39	1686	Aragón
2016	Hombres	40-44	1536	Aragón
2016	Hombres	45-49	1374	Aragón
2016	Hombres	50-54	1128	Aragón
2016	Hombres	55-59	801	Aragón
2016	Hombres	60-64	311	Aragón
2016	Hombres	Más de 64	10	Aragón
2016	Mujeres	16-19	22	Aragón
2016	Mujeres	20-24	180	Aragón
