Comarca código	Comarca nombre	Año	Orden	Siglas	Concejales
01	La Jacetania	2007	1	PSOE	58
01	La Jacetania	2007	2	PP	14
01	La Jacetania	2007	3	PAR	29
01	La Jacetania	2007	4	CHA	12
01	La Jacetania	2007	5	IU	0
01	La Jacetania	2007	9	CDL	0
01	La Jacetania	2007	28	LV	0
01	La Jacetania	2007	34	AESCSB	1
01	La Jacetania	2011	1	PP	26
01	La Jacetania	2011	2	PSOE	55
01	La Jacetania	2011	3	PAR	26
01	La Jacetania	2011	4	CHA	9
01	La Jacetania	2011	5	IU	1
01	La Jacetania	2011	9	ECOLO	0
01	La Jacetania	2011	11	PACMA	0
01	La Jacetania	2011	12	CDL	0
01	La Jacetania	2011	36	PYLN	1
01	La Jacetania	2015	1	PP	22
01	La Jacetania	2015	2	PSOE	64
01	La Jacetania	2015	4	PAR	12
01	La Jacetania	2015	5	C's	0
01	La Jacetania	2015	7	CHA	15
01	La Jacetania	2015	13	ARAGONSIPUEDE	1
01	La Jacetania	2015	15	CAMBIAR	2
02	Alto Gállego	2007	1	PSOE	23
02	Alto Gállego	2007	2	PP	9
02	Alto Gállego	2007	3	PAR	11
02	Alto Gállego	2007	4	CHA	4
02	Alto Gállego	2007	5	IU	3
02	Alto Gállego	2011	1	PP	13
02	Alto Gállego	2011	2	PSOE	24
02	Alto Gállego	2011	3	PAR	15
02	Alto Gállego	2011	4	CHA	2
02	Alto Gállego	2011	5	IU	2
02	Alto Gállego	2015	1	PP	12
02	Alto Gállego	2015	2	PSOE	20
02	Alto Gállego	2015	4	PAR	16
02	Alto Gállego	2015	5	C's	0
02	Alto Gállego	2015	7	CHA	2
02	Alto Gállego	2015	15	CAMBIAR	2
03	Sobrarbe	2007	1	PSOE	61
03	Sobrarbe	2007	2	PP	27
03	Sobrarbe	2007	3	PAR	14
03	Sobrarbe	2007	4	CHA	11
03	Sobrarbe	2007	41	FV	0
03	Sobrarbe	2011	1	PP	30
03	Sobrarbe	2011	2	PSOE	56
03	Sobrarbe	2011	3	PAR	20
03	Sobrarbe	2011	4	CHA	10
03	Sobrarbe	2011	5	IU	1
03	Sobrarbe	2015	1	PP	22
03	Sobrarbe	2015	2	PSOE	62
03	Sobrarbe	2015	4	PAR	19
03	Sobrarbe	2015	7	CHA	6
03	Sobrarbe	2015	15	CAMBIAR	2
03	Sobrarbe	2015	73	AeF	2
03	Sobrarbe	2015	80	AGRUPACION DE ELECTORES SAN JUAN DE PLAN	4
04	La Ribagorza	2007	1	PSOE	101
04	La Ribagorza	2007	2	PP	41
04	La Ribagorza	2007	3	PAR	34
04	La Ribagorza	2007	4	CHA	10
04	La Ribagorza	2007	5	IU	1
04	La Ribagorza	2007	13	LV-GV	0
04	La Ribagorza	2007	32	AE	1
04	La Ribagorza	2011	1	PP	47
04	La Ribagorza	2011	2	PSOE	85
04	La Ribagorza	2011	3	PAR	49
04	La Ribagorza	2011	4	CHA	8
04	La Ribagorza	2011	5	IU	1
04	La Ribagorza	2011	20	CDF	4
04	La Ribagorza	2011	28	AELEF	4
04	La Ribagorza	2011	33	CCD	0
04	La Ribagorza	2015	1	PP	46
04	La Ribagorza	2015	2	PSOE	81
04	La Ribagorza	2015	4	PAR	48
04	La Ribagorza	2015	5	C's	0
04	La Ribagorza	2015	7	CHA	2
04	La Ribagorza	2015	13	ARAGONSIPUEDE	4
04	La Ribagorza	2015	15	CAMBIAR	1
05	Cinco Villas	2007	1	PSOE	77
05	Cinco Villas	2007	2	PP	35
05	Cinco Villas	2007	3	PAR	36
05	Cinco Villas	2007	4	CHA	5
05	Cinco Villas	2007	5	IU	2
05	Cinco Villas	2007	6	LV-FIA	0
05	Cinco Villas	2007	35	AIL	4
05	Cinco Villas	2011	1	PP	44
05	Cinco Villas	2011	2	PSOE	75
05	Cinco Villas	2011	3	PAR	36
05	Cinco Villas	2011	4	CHA	3
05	Cinco Villas	2011	5	IU	4
05	Cinco Villas	2011	15	TA	0
05	Cinco Villas	2011	25	AISOS	1
05	Cinco Villas	2015	1	PP	47
05	Cinco Villas	2015	2	PSOE	72
05	Cinco Villas	2015	4	PAR	20
05	Cinco Villas	2015	7	CHA	9
05	Cinco Villas	2015	12	COMPROMISO CON ARAGON	2
05	Cinco Villas	2015	17	IU-ZGZ	4
05	Cinco Villas	2015	25	EPC-ZGZ	2
05	Cinco Villas	2015	28	FIA	0
05	Cinco Villas	2015	81	AE EL FRAGO	5
05	Cinco Villas	2015	87	UCIN	1
