Año	Municipio código	Municipio nombre	Visados, total	Visados, obra nueva	Visados, ampliación	Visados, reforma	Visados, otros	Viviendas, obra nueva, total	Viviendas, obra nueva, unifamiliar	Viviendas, obra nueva, bloque	Viviendas, obra nueva, otros	Viviendas, ampliación o reforma
2019	22048	Barbastro	20	5	0	3	12	28	6	22	0	1
2019	22112	Fraga	22	4	0	15	3	15	3	12	0	10
2019	22125	Huesca	75	12	3	32	28	88	4	84	0	21
2019	22130	Jaca	33	4	0	15	14	44	1	43	0	11
2019	22158	Monzón	18	7	1	4	6	10	6	4	0	3
2019	22199	Sabiñánigo	10	0	0	8	2	0	0	0	0	7
2019	44013	Alcañiz	7	2	1	3	1	2	2	0	0	2
2019	44216	Teruel	73	26	2	22	23	140	14	126	0	12
2019	50067	Calatayud	22	1	0	10	11	0	0	0	0	1
2019	50095	Ejea de los Caballeros	28	5	1	14	8	37	22	15	0	11
2019	50251	Tarazona	11	1	0	3	7	0	0	0	0	0
2019	50272	Utebo	21	4	0	10	7	13	2	11	0	7
2019	50297	Zaragoza	1111	75	8	485	543	1257	26	1231	0	374
2018	22048	Barbastro	13	6	0	3	4	21	3	18	0	3
2018	22112	Fraga	31	5	1	16	9	27	2	25	0	14
2018	22125	Huesca	74	11	3	39	21	290	5	285	0	20
2018	22130	Jaca	22	1	0	13	8	36	0	36	0	10
2018	22158	Monzón	10	4	0	3	3	56	2	54	0	2
2018	22199	Sabiñánigo	12	3	0	7	2	0	0	0	0	6
2018	44013	Alcañiz	14	4	1	5	4	3	3	0	0	1
2018	44216	Teruel	62	19	4	26	13	112	11	101	0	17
2018	50067	Calatayud	27	2	0	13	12	1	1	0	0	7
2018	50095	Ejea de los Caballeros	33	11	0	17	5	54	9	45	0	13
2018	50251	Tarazona	10	0	0	5	5	0	0	0	0	1
2018	50272	Utebo	17	3	1	8	5	2	2	0	0	4
2018	50297	Zaragoza	1059	76	9	591	383	1509	40	1469	0	484
2017	22048	Barbastro	19	9	0	6	4	37	10	27	0	5
2017	22112	Fraga	26	7	1	12	6	42	3	39	0	11
2017	22125	Huesca	96	13	1	49	33	150	5	145	0	26
2017	22130	Jaca	37	5	2	19	11	4	2	2	0	9
2017	22158	Monzón	15	9	1	5	0	9	5	4	0	3
2017	22199	Sabiñánigo	15	3	1	6	5	2	2	0	0	6
2017	44013	Alcañiz	10	3	1	2	4	17	1	16	0	2
2017	44216	Teruel	87	31	4	38	14	224	16	208	0	20
2017	50067	Calatayud	22	3	0	10	9	2	2	0	0	5
2017	50095	Ejea de los Caballeros	21	4	0	9	8	9	9	0	0	9
2017	50251	Tarazona	12	1	0	8	3	30	0	30	0	5
2017	50272	Utebo	16	4	0	5	7	15	3	12	0	3
2017	50297	Zaragoza	1058	68	11	638	341	1240	68	1172	0	508
2016	22048	Barbastro	13	6	1	4	2	18	2	16	0	4
2016	22112	Fraga	23	8	2	11	2	4	4	0	0	12
2016	22125	Huesca	96	12	3	47	34	78	9	69	0	32
2016	22130	Jaca	26	0	0	18	8	0	0	0	0	12
2016	22158	Monzón	13	7	2	1	3	35	3	32	0	2
2016	22199	Sabiñánigo	10	4	0	5	1	3	3	0	0	4
2016	44013	Alcañiz	20	12	1	2	5	35	3	32	0	2
2016	44216	Teruel	80	30	3	32	15	84	12	72	0	18
2016	50067	Calatayud	27	7	0	15	5	4	1	3	0	8
2016	50095	Ejea de los Caballeros	19	0	3	14	2	0	0	0	0	16
2016	50251	Tarazona	16	2	0	2	12	0	0	0	0	2
2016	50272	Utebo	16	4	0	2	10	22	2	20	0	0
2016	50297	Zaragoza	895	49	8	557	281	1105	33	1072	0	464
2015	22048	Barbastro	9	3	1	4	1	15	0	15	0	3
2015	22112	Fraga	24	6	1	8	9	88	1	87	0	3
2015	22125	Huesca	92	10	6	50	26	196	5	191	0	27
2015	22130	Jaca	29	1	3	16	9	1	1	0	0	17
2015	22158	Monzón	17	5	0	6	6	49	1	48	0	5
2015	22199	Sabiñánigo	12	2	0	6	4	1	1	0	0	3
2015	44013	Alcañiz	20	8	2	6	4	6	6	0	0	5
2015	44216	Teruel	73	12	6	37	18	80	4	76	0	27
2015	50067	Calatayud	24	2	0	17	5	9	1	8	0	10
2015	50095	Ejea de los Caballeros	32	8	1	16	7	6	6	0	0	14
2015	50251	Tarazona	8	0	0	4	4	0	0	0	0	0
2015	50272	Utebo	11	2	0	5	4	24	0	24	0	1
2015	50297	Zaragoza	897	50	4	520	323	926	21	905	0	414
2014	22048	Barbastro	15	5	0	6	4	5	5	0	0	4
2014	22112	Fraga	9	4	1	2	2	2	2	0	0	2
2014	22125	Huesca	72	6	3	32	31	189	1	188	0	22
2014	22130	Jaca	10	0	1	4	5	0	0	0	0	2
2014	22158	Monzón	7	2	0	5	0	16	0	16	0	3
2014	22199	Sabiñánigo	13	0	0	8	5	0	0	0	0	5
2014	44013	Alcañiz	18	7	1	6	4	17	4	13	0	6
2014	44216	Teruel	87	28	3	34	22	71	17	54	0	18
2014	50067	Calatayud	15	2	0	7	6	0	0	0	0	3
2014	50095	Ejea de los Caballeros	14	4	0	5	5	5	5	0	0	4
2014	50251	Tarazona	13	0	0	0	13	0	0	0	0	0
2014	50272	Utebo	17	3	1	4	9	20	2	18	0	2
2014	50297	Zaragoza	858	46	2	457	353	555	22	533	0	346
2013	22048	Barbastro	6	1	0	3	2	10	0	10	0	2
2013	22112	Fraga	25	6	3	5	11	4	4	0	0	5
2013	22125	Huesca	71	7	4	40	20	13	9	4	0	32
2013	22130	Jaca	24	2	0	15	7	1	1	0	0	12
2013	22158	Monzón	11	4	1	4	2	3	3	0	0	4
2013	22199	Sabiñánigo	7	0	0	2	5	0	0	0	0	1
2013	44013	Alcañiz	10	2	1	3	4	4	4	0	0	1
2013	44216	Teruel	97	37	3	34	23	276	20	256	0	21
2013	50067	Calatayud	19	1	0	9	9	0	0	0	0	3
2013	50095	Ejea de los Caballeros	26	8	0	10	8	11	5	6	0	6
2013	50251	Tarazona	8	2	0	4	2	2	2	0	0	1
2013	50272	Utebo	4	0	0	0	4	0	0	0	0	0
2013	50297	Zaragoza	705	42	5	308	350	727	29	698	0	226
2012	22048	Barbastro	13	6	0	6	1	10	4	6	0	3
2012	22112	Fraga	22	5	3	9	5	4	4	0	0	9
2012	22125	Huesca	62	12	2	20	28	230	16	214	0	18
2012	22130	Jaca	35	8	1	16	10	33	3	30	0	14
2012	22158	Monzón	8	2	1	5	0	2	2	0	0	7
2012	22199	Sabiñánigo	9	2	0	7	0	2	2	0	0	5
2012	44013	Alcañiz	12	2	2	5	3	4	1	3	0	10
2012	44216	Teruel	61	16	3	23	19	132	8	124	0	34
2012	50067	Calatayud	27	6	0	9	12	13	6	7	0	7
2012	50095	Ejea de los Caballeros	20	6	0	8	6	12	3	9	0	8
2012	50251	Tarazona	13	1	0	5	7	0	0	0	0	2
2012	50272	Utebo	6	1	0	1	4	0	0	0	0	0
2012	50297	Zaragoza	736	49	3	337	345	843	30	813	0	262
2011	22048	Barbastro	19	9	1	8	1	7	5	2	0	6
2011	22112	Fraga	29	9	2	14	4	5	5	0	0	14
2011	22125	Huesca	53	12	1	25	15	148	10	138	0	20
2011	22130	Jaca	37	8	2	17	10	40	3	37	0	11
2011	22158	Monzón	14	7	0	5	2	3	3	0	0	4
2011	22199	Sabiñánigo	19	5	0	11	3	5	5	0	0	10
