Año	Provincia código	Provincia nombre	Visados, total	Visados, obra nueva	Visados, ampliación	Visados, reforma	Visados, otros	Viviendas, obra nueva, total	Viviendas, obra nueva, unifamiliar	Viviendas, obra nueva, bloque	Viviendas, obra nueva, otros	Viviendas, ampliación o reforma
2002	22	Huesca	1027	524	40	241	220	3436	809	2617	10	306
2002	44	Teruel	610	344	34	117	114	977	253	714	10	200
2002	50	Zaragoza	2109	956	43	439	671	9433	3289	6142	2	727
2003	22	Huesca	1208	638	64	288	217	5099	1090	3988	21	370
2003	44	Teruel	617	371	29	115	101	1056	356	694	6	107
2003	50	Zaragoza	2241	1027	33	497	682	8742	2719	5977	46	650
2004	22	Huesca	1226	649	59	303	212	5467	955	4508	4	359
2004	44	Teruel	784	480	47	135	122	1192	475	717	0	246
2004	50	Zaragoza	2339	1069	24	509	737	8854	2639	6207	8	677
2005	22	Huesca	1319	689	64	315	247	5712	1519	4176	17	493
2005	44	Teruel	812	469	51	158	131	1654	557	1090	7	213
2005	50	Zaragoza	2533	1201	47	510	772	9097	2090	7007	0	482
2006	22	Huesca	1365	736	53	358	214	5813	729	5083	1	425
2006	44	Teruel	841	505	34	159	143	2474	425	2049	0	162
2006	50	Zaragoza	2673	1261	44	537	830	15494	1868	13626	0	488
2007	22	Huesca	1205	622	50	370	163	4528	517	4011	0	308
2007	44	Teruel	925	515	66	230	114	2449	366	2083	0	218
2007	50	Zaragoza	2562	1194	50	702	616	14024	734	13290	0	473
2008	22	Huesca	970	413	58	351	146	1456	405	1051	0	308
2008	44	Teruel	808	434	36	222	116	1424	319	1105	0	164
2008	50	Zaragoza	1977	716	49	687	525	4219	478	3741	0	451
2009	22	Huesca	918	291	40	409	178	932	235	696	1	305
2009	44	Teruel	736	340	36	228	131	452	250	201	1	185
2009	50	Zaragoza	1672	483	35	709	443	2698	259	2439	0	431
2010	22	Huesca	814	282	49	338	144	954	200	753	1	277
2010	44	Teruel	819	370	45	244	160	1069	252	817	0	200
2010	50	Zaragoza	1659	439	35	730	454	3162	243	2919	0	501
2011	22	Huesca	618	211	20	263	124	437	145	292	0	220
2011	44	Teruel	613	302	35	178	97	540	223	317	0	152
2011	50	Zaragoza	1544	363	33	676	470	1855	229	1626	0	483
2012	22	Huesca	546	144	36	228	138	379	115	263	1	217
2012	44	Teruel	449	197	31	129	92	273	110	163	0	142
2012	50	Zaragoza	1283	234	13	504	530	1010	152	858	0	383
2013	22	Huesca	461	134	24	197	106	134	83	51	0	154
2013	44	Teruel	390	161	23	119	87	401	113	288	0	94
2013	50	Zaragoza	1171	174	12	472	513	861	109	752	0	304
2014	22	Huesca	453	118	24	185	126	346	68	278	0	146
2014	44	Teruel	410	140	22	144	104	166	81	85	0	93
2014	50	Zaragoza	1283	176	16	579	512	687	102	585	0	413
2015	22	Huesca	547	116	28	233	170	444	67	377	0	175
2015	44	Teruel	391	127	23	133	108	196	56	140	0	87
2015	50	Zaragoza	1441	194	16	752	479	1323	115	1208	0	535
2016	22	Huesca	605	158	27	265	155	238	102	136	0	214
2016	44	Teruel	434	186	18	137	93	196	80	116	0	97
2016	50	Zaragoza	1371	212	19	734	406	1498	159	1339	0	576
2017	22	Huesca	619	173	20	264	162	401	102	299	0	172
2017	44	Teruel	365	144	19	140	62	327	90	237	0	92
2017	50	Zaragoza	1686	265	32	858	531	1839	200	1638	1	626
2018	22	Huesca	598	148	24	241	185	654	116	538	0	175
2018	44	Teruel	384	148	25	111	100	201	87	114	0	85
2018	50	Zaragoza	1688	274	28	823	563	1914	243	1671	0	626
