Comarca código	Comarca nombre	Año	Orden	Votos	Siglas
01	La Jacetania	2015	5	660	IU-CHA-UPeC
01	La Jacetania	2015	6	73	UPYD
01	La Jacetania	2015	7	78	PACMA
01	La Jacetania	2015	8	28	EB
01	La Jacetania	2015	9	0	VOX
01	La Jacetania	2015	10	17	RECORTES CERO-GRUPO VERDE
01	La Jacetania	2015	11	19	PCPE
01	La Jacetania	2015	12	14	Independientes-FIA
01	La Jacetania	2015	12	2805	F.I.A.
01	La Jacetania	2015	13	2353	ALTOARAGONenCOMUN
01	La Jacetania	2015	14	80	PCTE
01	La Jacetania	2015	15	2105	MAS
01	La Jacetania	2015	16	1672	TA
02	Alto Gállego	2015	5	466	IU-CHA-UPeC
02	Alto Gállego	2015	6	41	UPYD
02	Alto Gállego	2015	7	61	PACMA
02	Alto Gállego	2015	8	34	EB
02	Alto Gállego	2015	10	14	RECORTES CERO-GRUPO VERDE
02	Alto Gállego	2015	11	11	PCPE
02	Alto Gállego	2015	12	2147	F.I.A.
02	Alto Gállego	2015	12	10	Independientes-FIA
02	Alto Gállego	2015	13	1835	ALTOARAGONenCOMUN
02	Alto Gállego	2015	15	1641	MAS
02	Alto Gállego	2015	16	1128	TA
03	Sobrarbe	2015	5	243	IU-CHA-UPeC
03	Sobrarbe	2015	6	29	UPYD
03	Sobrarbe	2015	7	13	PACMA
03	Sobrarbe	2015	8	15	EB
03	Sobrarbe	2015	10	6	RECORTES CERO-GRUPO VERDE
03	Sobrarbe	2015	11	8	PCPE
03	Sobrarbe	2015	12	1385	F.I.A.
03	Sobrarbe	2015	12	3	Independientes-FIA
03	Sobrarbe	2015	13	1096	ALTOARAGONenCOMUN
03	Sobrarbe	2015	15	822	MAS
03	Sobrarbe	2015	16	584	TA
04	La Ribagorza	2015	5	319	IU-CHA-UPeC
04	La Ribagorza	2015	6	43	UPYD
04	La Ribagorza	2015	7	43	PACMA
04	La Ribagorza	2015	8	36	EB
04	La Ribagorza	2015	10	12	RECORTES CERO-GRUPO VERDE
04	La Ribagorza	2015	11	9	PCPE
04	La Ribagorza	2015	12	6	Independientes-FIA
04	La Ribagorza	2015	12	2386	F.I.A.
04	La Ribagorza	2015	13	1510	ALTOARAGONenCOMUN
04	La Ribagorza	2015	15	1358	MAS
04	La Ribagorza	2015	16	951	TA
05	Cinco Villas	2015	5	897	IU-CHA-UPeC
05	Cinco Villas	2015	6	89	UPYD
05	Cinco Villas	2015	7	45	PACMA
05	Cinco Villas	2015	8	43	EB
05	Cinco Villas	2015	9	37	VOX
05	Cinco Villas	2015	10	18	RECORTES CERO-GRUPO VERDE
05	Cinco Villas	2015	11	34	PCPE
