Mes (código)	Mes y año	Provincia código	Provincia nombre	Edad (Grupos Quinquenales 2010)	Sexo	Afiliaciones en alta
201903	Marzo 2019	22	Huesca	16-19	Hombres	449
201903	Marzo 2019	22	Huesca	16-19	Mujeres	255
201903	Marzo 2019	22	Huesca	20-24	Hombres	2682
201903	Marzo 2019	22	Huesca	20-24	Mujeres	1510
201903	Marzo 2019	22	Huesca	25-29	Hombres	4295
201903	Marzo 2019	22	Huesca	25-29	Mujeres	3207
201903	Marzo 2019	22	Huesca	30-34	Hombres	5212
201903	Marzo 2019	22	Huesca	30-34	Mujeres	4276
201903	Marzo 2019	22	Huesca	35-39	Hombres	6983
201903	Marzo 2019	22	Huesca	35-39	Mujeres	5372
201903	Marzo 2019	22	Huesca	40-44	Hombres	8335
201903	Marzo 2019	22	Huesca	40-44	Mujeres	6572
201903	Marzo 2019	22	Huesca	45-49	Hombres	7827
201903	Marzo 2019	22	Huesca	45-49	Mujeres	6344
201903	Marzo 2019	22	Huesca	50-54	Hombres	7381
201903	Marzo 2019	22	Huesca	50-54	Mujeres	6002
201903	Marzo 2019	22	Huesca	55-59	Hombres	6530
201903	Marzo 2019	22	Huesca	55-59	Mujeres	5156
201903	Marzo 2019	22	Huesca	60-64	Hombres	4391
201903	Marzo 2019	22	Huesca	60-64	Mujeres	3372
201903	Marzo 2019	22	Huesca	65-69	Hombres	670
201903	Marzo 2019	22	Huesca	65-69	Mujeres	471
201903	Marzo 2019	22	Huesca	Más de 69	Hombres	295
201903	Marzo 2019	22	Huesca	Más de 69	Mujeres	136
201903	Marzo 2019	22	Huesca	Sin clasificar	Hombres	1
201903	Marzo 2019	44	Teruel	16-19	Hombres	215
201903	Marzo 2019	44	Teruel	16-19	Mujeres	110
201903	Marzo 2019	44	Teruel	20-24	Hombres	1376
201903	Marzo 2019	44	Teruel	20-24	Mujeres	743
201903	Marzo 2019	44	Teruel	25-29	Hombres	2404
201903	Marzo 2019	44	Teruel	25-29	Mujeres	1845
201903	Marzo 2019	44	Teruel	30-34	Hombres	3138
201903	Marzo 2019	44	Teruel	30-34	Mujeres	2535
201903	Marzo 2019	44	Teruel	35-39	Hombres	4048
201903	Marzo 2019	44	Teruel	35-39	Mujeres	2992
201903	Marzo 2019	44	Teruel	40-44	Hombres	4609
201903	Marzo 2019	44	Teruel	40-44	Mujeres	3480
201903	Marzo 2019	44	Teruel	45-49	Hombres	4295
201903	Marzo 2019	44	Teruel	45-49	Mujeres	3464
201903	Marzo 2019	44	Teruel	50-54	Hombres	4488
201903	Marzo 2019	44	Teruel	50-54	Mujeres	3470
201903	Marzo 2019	44	Teruel	55-59	Hombres	3946
201903	Marzo 2019	44	Teruel	55-59	Mujeres	3007
201903	Marzo 2019	44	Teruel	60-64	Hombres	2361
201903	Marzo 2019	44	Teruel	60-64	Mujeres	1815
201903	Marzo 2019	44	Teruel	65-69	Hombres	197
201903	Marzo 2019	44	Teruel	65-69	Mujeres	223
201903	Marzo 2019	44	Teruel	Más de 69	Hombres	53
201903	Marzo 2019	44	Teruel	Más de 69	Mujeres	26
201903	Marzo 2019	50	Zaragoza	16-19	Hombres	1618
201903	Marzo 2019	50	Zaragoza	16-19	Mujeres	1165
201903	Marzo 2019	50	Zaragoza	20-24	Hombres	11044
201903	Marzo 2019	50	Zaragoza	20-24	Mujeres	8513
201903	Marzo 2019	50	Zaragoza	25-29	Hombres	18074
201903	Marzo 2019	50	Zaragoza	25-29	Mujeres	16794
201903	Marzo 2019	50	Zaragoza	30-34	Hombres	22114
201903	Marzo 2019	50	Zaragoza	30-34	Mujeres	20456
201903	Marzo 2019	50	Zaragoza	35-39	Hombres	28457
201903	Marzo 2019	50	Zaragoza	35-39	Mujeres	25197
201903	Marzo 2019	50	Zaragoza	40-44	Hombres	35789
201903	Marzo 2019	50	Zaragoza	40-44	Mujeres	30895
201903	Marzo 2019	50	Zaragoza	45-49	Hombres	33890
201903	Marzo 2019	50	Zaragoza	45-49	Mujeres	29821
201903	Marzo 2019	50	Zaragoza	50-54	Hombres	30451
201903	Marzo 2019	50	Zaragoza	50-54	Mujeres	26783
201903	Marzo 2019	50	Zaragoza	55-59	Hombres	25793
201903	Marzo 2019	50	Zaragoza	55-59	Mujeres	21539
201903	Marzo 2019	50	Zaragoza	60-64	Hombres	16210
201903	Marzo 2019	50	Zaragoza	60-64	Mujeres	13629
201903	Marzo 2019	50	Zaragoza	65-69	Hombres	1611
201903	Marzo 2019	50	Zaragoza	65-69	Mujeres	1557
201903	Marzo 2019	50	Zaragoza	Más de 69	Hombres	604
201903	Marzo 2019	50	Zaragoza	Más de 69	Mujeres	385
201903	Marzo 2019	50	Zaragoza	Sin clasificar	Mujeres	4
201812	Diciembre 2018	22	Huesca	16-19	Hombres	464
201812	Diciembre 2018	22	Huesca	16-19	Mujeres	293
201812	Diciembre 2018	22	Huesca	20-24	Hombres	2581
201812	Diciembre 2018	22	Huesca	20-24	Mujeres	1559
201812	Diciembre 2018	22	Huesca	25-29	Hombres	4149
201812	Diciembre 2018	22	Huesca	25-29	Mujeres	3197
201812	Diciembre 2018	22	Huesca	30-34	Hombres	5134
201812	Diciembre 2018	22	Huesca	30-34	Mujeres	4261
201812	Diciembre 2018	22	Huesca	35-39	Hombres	6940
201812	Diciembre 2018	22	Huesca	35-39	Mujeres	5338
201812	Diciembre 2018	22	Huesca	40-44	Hombres	8154
201812	Diciembre 2018	22	Huesca	40-44	Mujeres	6525
201812	Diciembre 2018	22	Huesca	45-49	Hombres	7667
201812	Diciembre 2018	22	Huesca	45-49	Mujeres	6289
201812	Diciembre 2018	22	Huesca	50-54	Hombres	7323
201812	Diciembre 2018	22	Huesca	50-54	Mujeres	5957
201812	Diciembre 2018	22	Huesca	55-59	Hombres	6479
201812	Diciembre 2018	22	Huesca	55-59	Mujeres	5147
201812	Diciembre 2018	22	Huesca	60-64	Hombres	4296
201812	Diciembre 2018	22	Huesca	60-64	Mujeres	3296
201812	Diciembre 2018	22	Huesca	65-69	Hombres	665
201812	Diciembre 2018	22	Huesca	65-69	Mujeres	458
201812	Diciembre 2018	22	Huesca	Más de 69	Hombres	280
201812	Diciembre 2018	22	Huesca	Más de 69	Mujeres	138
201812	Diciembre 2018	22	Huesca	Sin clasificar	Hombres	1
201812	Diciembre 2018	44	Teruel	16-19	Hombres	201
201812	Diciembre 2018	44	Teruel	16-19	Mujeres	131
201812	Diciembre 2018	44	Teruel	20-24	Hombres	1349
201812	Diciembre 2018	44	Teruel	20-24	Mujeres	751
201812	Diciembre 2018	44	Teruel	25-29	Hombres	2278
201812	Diciembre 2018	44	Teruel	25-29	Mujeres	1857
201812	Diciembre 2018	44	Teruel	30-34	Hombres	3104
201812	Diciembre 2018	44	Teruel	30-34	Mujeres	2539
201812	Diciembre 2018	44	Teruel	35-39	Hombres	4023
201812	Diciembre 2018	44	Teruel	35-39	Mujeres	3043
201812	Diciembre 2018	44	Teruel	40-44	Hombres	4529
201812	Diciembre 2018	44	Teruel	40-44	Mujeres	3452
201812	Diciembre 2018	44	Teruel	45-49	Hombres	4287
201812	Diciembre 2018	44	Teruel	45-49	Mujeres	3401
201812	Diciembre 2018	44	Teruel	50-54	Hombres	4503
201812	Diciembre 2018	44	Teruel	50-54	Mujeres	3481
201812	Diciembre 2018	44	Teruel	55-59	Hombres	3832
201812	Diciembre 2018	44	Teruel	55-59	Mujeres	2986
201812	Diciembre 2018	44	Teruel	60-64	Hombres	2328
201812	Diciembre 2018	44	Teruel	60-64	Mujeres	1801
201812	Diciembre 2018	44	Teruel	65-69	Hombres	192
201812	Diciembre 2018	44	Teruel	65-69	Mujeres	224
201812	Diciembre 2018	44	Teruel	Más de 69	Hombres	53
201812	Diciembre 2018	44	Teruel	Más de 69	Mujeres	28
201812	Diciembre 2018	50	Zaragoza	16-19	Hombres	1731
201812	Diciembre 2018	50	Zaragoza	16-19	Mujeres	1244
201812	Diciembre 2018	50	Zaragoza	20-24	Hombres	10832
201812	Diciembre 2018	50	Zaragoza	20-24	Mujeres	9012
201812	Diciembre 2018	50	Zaragoza	25-29	Hombres	17387
