Provincia código	Provincia nombre	Edad (grupos quinquenales)	Sexo	Personas
22	Huesca	00 a 04	Mujeres	4112
22	Huesca	05 a 09	Mujeres	3984
22	Huesca	10 a 14	Mujeres	4264
22	Huesca	15 a 19	Mujeres	4990
22	Huesca	20 a 24	Mujeres	6510
22	Huesca	25 a 29	Mujeres	7016
22	Huesca	30 a 34	Mujeres	7168
22	Huesca	35 a 39	Mujeres	7627
22	Huesca	40 a 44	Mujeres	7290
22	Huesca	45 a 49	Mujeres	6327
22	Huesca	50 a 54	Mujeres	5715
22	Huesca	55 a 59	Mujeres	5548
22	Huesca	60 a 64	Mujeres	4778
22	Huesca	65 a 69	Mujeres	6477
22	Huesca	70 a 74	Mujeres	6661
22	Huesca	75 a 79	Mujeres	5946
22	Huesca	80 a 84	Mujeres	4133
22	Huesca	85 a 90	Mujeres	2619
22	Huesca	90 ó más	Mujeres	1248
22	Huesca	00 a 04	Hombres	4160
22	Huesca	05 a 09	Hombres	4337
22	Huesca	10 a 14	Hombres	4593
22	Huesca	15 a 19	Hombres	5476
22	Huesca	20 a 24	Hombres	7148
22	Huesca	25 a 29	Hombres	7806
22	Huesca	30 a 34	Hombres	7846
22	Huesca	35 a 39	Hombres	8443
22	Huesca	40 a 44	Hombres	7939
22	Huesca	45 a 49	Hombres	7041
22	Huesca	50 a 54	Hombres	6208
22	Huesca	55 a 59	Hombres	5689
22	Huesca	60 a 64	Hombres	4738
22	Huesca	65 a 69	Hombres	6279
22	Huesca	70 a 74	Hombres	6093
22	Huesca	75 a 79	Hombres	5221
22	Huesca	80 a 84	Hombres	2899
22	Huesca	85 a 90	Hombres	1495
22	Huesca	90 ó más	Hombres	678
44	Teruel	00 a 04	Mujeres	2501
44	Teruel	05 a 09	Mujeres	2810
44	Teruel	10 a 14	Mujeres	3167
44	Teruel	15 a 19	Mujeres	3396
44	Teruel	20 a 24	Mujeres	3802
44	Teruel	25 a 29	Mujeres	4119
44	Teruel	30 a 34	Mujeres	4427
44	Teruel	35 a 39	Mujeres	4806
44	Teruel	40 a 44	Mujeres	4482
44	Teruel	45 a 49	Mujeres	3719
44	Teruel	50 a 54	Mujeres	3398
44	Teruel	55 a 59	Mujeres	3354
44	Teruel	60 a 64	Mujeres	3297
44	Teruel	65 a 69	Mujeres	4839
44	Teruel	70 a 74	Mujeres	4888
44	Teruel	75 a 79	Mujeres	4269
44	Teruel	80 a 84	Mujeres	2937
44	Teruel	85 a 90	Mujeres	1890
44	Teruel	90 ó más	Mujeres	1033
44	Teruel	00 a 04	Hombres	2618
44	Teruel	05 a 09	Hombres	2902
44	Teruel	10 a 14	Hombres	3314
44	Teruel	15 a 19	Hombres	3521
44	Teruel	20 a 24	Hombres	4359
44	Teruel	25 a 29	Hombres	4636
44	Teruel	30 a 34	Hombres	4761
44	Teruel	35 a 39	Hombres	5386
44	Teruel	40 a 44	Hombres	5334
44	Teruel	45 a 49	Hombres	4428
44	Teruel	50 a 54	Hombres	3858
44	Teruel	55 a 59	Hombres	3498
44	Teruel	60 a 64	Hombres	3193
44	Teruel	65 a 69	Hombres	4602
44	Teruel	70 a 74	Hombres	4755
44	Teruel	75 a 79	Hombres	3833
44	Teruel	80 a 84	Hombres	2132
44	Teruel	85 a 90	Hombres	1066
44	Teruel	90 ó más	Hombres	528
50	Zaragoza	00 a 04	Mujeres	17293
50	Zaragoza	05 a 09	Mujeres	17432
50	Zaragoza	10 a 14	Mujeres	18553
50	Zaragoza	15 a 19	Mujeres	21941
50	Zaragoza	20 a 24	Mujeres	30237
50	Zaragoza	25 a 29	Mujeres	34120
50	Zaragoza	30 a 34	Mujeres	32981
50	Zaragoza	35 a 39	Mujeres	33039
50	Zaragoza	40 a 44	Mujeres	31985
50	Zaragoza	45 a 49	Mujeres	28651
50	Zaragoza	50 a 54	Mujeres	27624
50	Zaragoza	55 a 59	Mujeres	25567
50	Zaragoza	60 a 64	Mujeres	21053
50	Zaragoza	65 a 69	Mujeres	25960
50	Zaragoza	70 a 74	Mujeres	24834
50	Zaragoza	75 a 79	Mujeres	21363
50	Zaragoza	80 a 84	Mujeres	14728
50	Zaragoza	85 a 90	Mujeres	8306
50	Zaragoza	90 ó más	Mujeres	4155
50	Zaragoza	00 a 04	Hombres	18528
50	Zaragoza	05 a 09	Hombres	17940
50	Zaragoza	10 a 14	Hombres	19406
50	Zaragoza	15 a 19	Hombres	23449
50	Zaragoza	20 a 24	Hombres	31299
50	Zaragoza	25 a 29	Hombres	36997
50	Zaragoza	30 a 34	Hombres	35136
50	Zaragoza	35 a 39	Hombres	34580
50	Zaragoza	40 a 44	Hombres	32096
50	Zaragoza	45 a 49	Hombres	28356
50	Zaragoza	50 a 54	Hombres	26884
50	Zaragoza	55 a 59	Hombres	24935
50	Zaragoza	60 a 64	Hombres	19803
50	Zaragoza	65 a 69	Hombres	22757
50	Zaragoza	70 a 74	Hombres	20258
50	Zaragoza	75 a 79	Hombres	15413
50	Zaragoza	80 a 84	Hombres	8652
50	Zaragoza	85 a 90	Hombres	3995
50	Zaragoza	90 ó más	Hombres	1549
