Número de miembros del hogar      	Nº medio de miembros	Comarca codigo	Comarca nombre	Nº hogares
1 persona	1	01	La Jacetania	2269,7025967246
1 persona	1	02	Alto Gállego	1668,2590448489
1 persona	1	03	Sobrarbe	786,8213157912
1 persona	1	04	La Ribagorza	1504,0740495788
1 persona	1	05	Cinco Villas	2729,8985045756
1 persona	1	06	Hoya de Huesca / Plana de Uesca	6992,6794176015
1 persona	1	07	Somontano de Barbastro	2632,5753392215
1 persona	1	08	Cinca Medio	1867,1784575633
1 persona	1	09	La Litera / La Llitera	1583,3182341995
1 persona	1	10	Los Monegros	1847,7578649078
1 persona	1	11	Bajo Cinca / Baix Cinca	1852,1056338463
1 persona	1	12	Tarazona y el Moncayo	1593,3129029074
1 persona	1	13	Campo de Borja	1336,0392704777
1 persona	1	14	Aranda	603,1182592427
1 persona	1	15	Ribera Alta del Ebro	2270,8224869235
1 persona	1	16	Valdejalón	2494,5535706084
1 persona	1	17	D.C. Zaragoza	79230,9453121043
1 persona	1	18	Ribera Baja del Ebro	936,5384373078
1 persona	1	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1191,253188794
1 persona	1	20	Comunidad de Calatayud	4745,045637508
1 persona	1	21	Campo de Cariñena	1001,4145370166
1 persona	1	22	Campo de Belchite	617,0795762454
1 persona	1	23	Bajo Martín	716,3888862704
1 persona	1	24	Campo de Daroca	908,3489596993
1 persona	1	25	Jiloca	1604,1349574668
1 persona	1	26	Cuencas Mineras	787,0822693903
1 persona	1	27	Andorra-Sierra de Arcos	968,387361859
1 persona	1	28	Bajo Aragón	2738,7055719993
1 persona	1	29	Comunidad de Teruel	4008,6456246367
1 persona	1	30	Maestrazgo	431,0818436949
1 persona	1	31	Sierra de Albarracín	641,0211275322
1 persona	1	32	Gúdar-Javalambre	1051,7039693019
1 persona	1	33	Matarraña / Matarranya	909,7554451777
2 personas	2	01	La Jacetania	2205,1887810031
2 personas	2	02	Alto Gállego	1757,2908985434
2 personas	2	03	Sobrarbe	858,9377216133
2 personas	2	04	La Ribagorza	1678,0496895359
2 personas	2	05	Cinco Villas	3896,1959205903
2 personas	2	06	Hoya de Huesca / Plana de Uesca	8268,5232198497
2 personas	2	07	Somontano de Barbastro	3098,4359553717
2 personas	2	08	Cinca Medio	3219,7099892143
2 personas	2	09	La Litera / La Llitera	2470,1864529004
2 personas	2	10	Los Monegros	2307,0687030073
2 personas	2	11	Bajo Cinca / Baix Cinca	2408,5340154443
2 personas	2	12	Tarazona y el Moncayo	1852,7208212832
2 personas	2	13	Campo de Borja	1718,3671075208
2 personas	2	14	Aranda	919,1386555494
2 personas	2	15	Ribera Alta del Ebro	3299,8359832774
2 personas	2	16	Valdejalón	3436,6933041156
2 personas	2	17	D.C. Zaragoza	96505,6907896283
2 personas	2	18	Ribera Baja del Ebro	1182,3507763459
2 personas	2	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1655,7965028062
2 personas	2	20	Comunidad de Calatayud	5040,8876183963
2 personas	2	21	Campo de Cariñena	1278,9821195938
2 personas	2	22	Campo de Belchite	755,6441427196
2 personas	2	23	Bajo Martín	1007,0086257637
2 personas	2	24	Campo de Daroca	906,415751182
2 personas	2	25	Jiloca	1744,0920142306
2 personas	2	26	Cuencas Mineras	1099,0986653203
2 personas	2	27	Andorra-Sierra de Arcos	1497,2042287325
2 personas	2	28	Bajo Aragón	3475,2682519128
2 personas	2	29	Comunidad de Teruel	5556,8940724362
2 personas	2	30	Maestrazgo	454,8499621416
2 personas	2	31	Sierra de Albarracín	559,3158370451
2 personas	2	32	Gúdar-Javalambre	908,1772063785
2 personas	2	33	Matarraña / Matarranya	1031,6563393918
3 personas	3	01	La Jacetania	1621,9837309954
3 personas	3	02	Alto Gállego	1300,119072684
3 personas	3	03	Sobrarbe	640,882954375
3 personas	3	04	La Ribagorza	1120,2102270316
3 personas	3	05	Cinco Villas	2746,0761931078
3 personas	3	06	Hoya de Huesca / Plana de Uesca	5949,9252647599
3 personas	3	07	Somontano de Barbastro	2017,0536453931
3 personas	3	08	Cinca Medio	1877,9883308972
3 personas	3	09	La Litera / La Llitera	1671,4559356029
3 personas	3	10	Los Monegros	1624,9876797761
3 personas	3	11	Bajo Cinca / Baix Cinca	2159,6574857532
3 personas	3	12	Tarazona y el Moncayo	1205,6027423544
3 personas	3	13	Campo de Borja	1243,2488993383
3 personas	3	14	Aranda	675,3121132559
3 personas	3	15	Ribera Alta del Ebro	2600,4213271568
3 personas	3	16	Valdejalón	2599,0405062648
3 personas	3	17	D.C. Zaragoza	65215,0305938637
3 personas	3	18	Ribera Baja del Ebro	797,447019604
3 personas	3	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1252,0405652154
3 personas	3	20	Comunidad de Calatayud	3241,0237937761
3 personas	3	21	Campo de Cariñena	1068,1776058462
3 personas	3	22	Campo de Belchite	439,0878994342
3 personas	3	23	Bajo Martín	556,9759184019
3 personas	3	24	Campo de Daroca	501,3028154857
3 personas	3	25	Jiloca	997,9106020939
3 personas	3	26	Cuencas Mineras	726,3650632806
3 personas	3	27	Andorra-Sierra de Arcos	827,5728146734
3 personas	3	28	Bajo Aragón	2401,4423394313
3 personas	3	29	Comunidad de Teruel	3706,0050454105
3 personas	3	30	Maestrazgo	265,4516779724
