Municipio código	Municipio nombre	Tipo local	Actividad del local	Número de locales
22001	Abiego	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22001	Abiego	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	1
22001	Abiego	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	2
22001	Abiego	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	1
22001	Abiego	Local comercial	Activo	2
22001	Abiego	Oficinas(incluye también el resto de servicios)	Activo	1
22002	Abizanda	No aplicable	Inactivo	1
22002	Abizanda	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	2
22002	Abizanda	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	4
22002	Abizanda	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	1
22002	Abizanda	Local comercial	Activo	11
22002	Abizanda	Oficinas(incluye también el resto de servicios)	Activo	2
22003	Adahuesca	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	2
22003	Adahuesca	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	1
22003	Adahuesca	Local comercial	Activo	3
22003	Adahuesca	Oficinas(incluye también el resto de servicios)	Activo	3
22004	Agüero	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	1
22004	Agüero	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	1
22004	Agüero	Local comercial	Activo	2
22004	Agüero	Oficinas(incluye también el resto de servicios)	Activo	1
22006	Aísa	No aplicable	Inactivo	38
22006	Aísa	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22006	Aísa	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	2
22006	Aísa	Local comercial	Activo	54
22006	Aísa	Oficinas(incluye también el resto de servicios)	Activo	16
22007	Albalate de Cinca	No aplicable	Inactivo	4
22007	Albalate de Cinca	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	2
22007	Albalate de Cinca	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	1
22007	Albalate de Cinca	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	1
22007	Albalate de Cinca	Local comercial	Activo	47
22007	Albalate de Cinca	Oficinas(incluye también el resto de servicios)	Activo	2
22007	Albalate de Cinca	Local industrial	Activo	2
22008	Albalatillo	No aplicable	Inactivo	1
22008	Albalatillo	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	1
22008	Albalatillo	Oficinas(incluye también el resto de servicios)	Activo	4
22009	Albelda	No aplicable	Inactivo	56
22009	Albelda	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22009	Albelda	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	2
22009	Albelda	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	3
22009	Albelda	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	4
22009	Albelda	Local comercial	Activo	21
22009	Albelda	Oficinas(incluye también el resto de servicios)	Activo	5
22009	Albelda	Local industrial	Activo	3
22009	Albelda	Local agrario	Activo	19
22011	Albero Alto	No aplicable	Inactivo	3
22011	Albero Alto	Oficinas(incluye también el resto de servicios)	Activo	1
22011	Albero Alto	Local agrario	Activo	1
22012	Albero Bajo	No aplicable	Inactivo	1
22012	Albero Bajo	Oficinas(incluye también el resto de servicios)	Activo	1
22013	Alberuela de Tubo	No aplicable	Inactivo	2
22013	Alberuela de Tubo	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	2
22013	Alberuela de Tubo	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	3
22013	Alberuela de Tubo	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	1
22013	Alberuela de Tubo	Local comercial	Activo	1
22013	Alberuela de Tubo	Oficinas(incluye también el resto de servicios)	Activo	3
22013	Alberuela de Tubo	Local industrial	Activo	1
22014	Alcalá de Gurrea	No aplicable	Inactivo	6
22014	Alcalá de Gurrea	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	1
22014	Alcalá de Gurrea	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	2
22014	Alcalá de Gurrea	Local comercial	Activo	5
22014	Alcalá de Gurrea	Oficinas(incluye también el resto de servicios)	Activo	12
22014	Alcalá de Gurrea	Local industrial	Activo	3
22014	Alcalá de Gurrea	Local agrario	Activo	5
22015	Alcalá del Obispo	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	1
22015	Alcalá del Obispo	Local comercial	Activo	6
22015	Alcalá del Obispo	Oficinas(incluye también el resto de servicios)	Activo	5
22015	Alcalá del Obispo	Local industrial	Activo	3
22016	Alcampell	No aplicable	Inactivo	8
22016	Alcampell	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	2
22016	Alcampell	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	1
22016	Alcampell	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	2
22016	Alcampell	Local comercial	Activo	14
22016	Alcampell	Oficinas(incluye también el resto de servicios)	Activo	10
22016	Alcampell	Local industrial	Activo	6
22017	Alcolea de Cinca	No aplicable	Inactivo	7
22017	Alcolea de Cinca	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22017	Alcolea de Cinca	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	2
22017	Alcolea de Cinca	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	6
22017	Alcolea de Cinca	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	1
22017	Alcolea de Cinca	Local comercial	Activo	43
22017	Alcolea de Cinca	Oficinas(incluye también el resto de servicios)	Activo	5
22017	Alcolea de Cinca	Local industrial	Activo	3
22018	Alcubierre	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22018	Alcubierre	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	1
22018	Alcubierre	Local comercial	Activo	4
22018	Alcubierre	Oficinas(incluye también el resto de servicios)	Activo	2
22020	Alfántega	No aplicable	Inactivo	1
22020	Alfántega	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22020	Alfántega	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	1
22020	Alfántega	Local comercial	Activo	1
22020	Alfántega	Oficinas(incluye también el resto de servicios)	Activo	2
22021	Almudévar	No aplicable	Inactivo	18
22021	Almudévar	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	4
22021	Almudévar	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	3
22021	Almudévar	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	8
22021	Almudévar	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	5
22021	Almudévar	Local comercial	Activo	37
22021	Almudévar	Oficinas(incluye también el resto de servicios)	Activo	45
22021	Almudévar	Local industrial	Activo	25
22022	Almunia de San Juan	No aplicable	Inactivo	1
22022	Almunia de San Juan	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22022	Almunia de San Juan	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	1
22022	Almunia de San Juan	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	4
22022	Almunia de San Juan	Local comercial	Activo	16
22022	Almunia de San Juan	Oficinas(incluye también el resto de servicios)	Activo	6
22022	Almunia de San Juan	Local industrial	Activo	9
22023	Almuniente	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	3
22023	Almuniente	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	3
22023	Almuniente	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	2
22023	Almuniente	Local comercial	Activo	4
22023	Almuniente	Oficinas(incluye también el resto de servicios)	Activo	5
22024	Alquézar	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	3
22024	Alquézar	Equipamientos culturales o deportivos(teatro, cine, museo, sala de exposiciones, polideportivo,...)	Activo	2
22024	Alquézar	Local comercial	Activo	10
22024	Alquézar	Oficinas(incluye también el resto de servicios)	Activo	14
22024	Alquézar	Local industrial	Activo	1
22025	Altorricón	No aplicable	Inactivo	17
22025	Altorricón	Equipamientos de salud(ambulatorio, centro de salud, hospital,...)	Activo	1
22025	Altorricón	Equipamientos educativos(colegio, facultad, guardería, escuela,...)	Activo	2
22025	Altorricón	Equipamientos de bienestar social(club de ancianos, centro de servicios sociales, centro de día,...)	Activo	2
