Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Comarca Código	Comarca Nombre
2018	1	1	Directores y gerentes	Hombres	05	Cinco Villas
2018	7	1	Directores y gerentes	Hombres	17	D.C. Zaragoza
2018	4	1	Directores y gerentes	Mujeres	17	D.C. Zaragoza
2018	1	1	Directores y gerentes	Hombres	18	Ribera Baja del Ebro
2018	2	1	Directores y gerentes	Mujeres	29	Comunidad de Teruel
2018	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	03	Sobrarbe
2018	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	04	La Ribagorza
2018	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	06	Hoya de Huesca / Plana de Uesca
2018	9	2	Técnicos y profesionales científicos e intelectuales	Mujeres	06	Hoya de Huesca / Plana de Uesca
2018	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	07	Somontano de Barbastro
2018	3	2	Técnicos y profesionales científicos e intelectuales	Mujeres	07	Somontano de Barbastro
2018	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	08	Cinca Medio
2018	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	08	Cinca Medio
2018	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	09	La Litera / La Llitera
2018	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	10	Los Monegros
2018	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	11	Bajo Cinca / Baix Cinca
2018	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	14	Aranda
2018	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	14	Aranda
2018	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	15	Ribera Alta del Ebro
2018	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	15	Ribera Alta del Ebro
2018	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	16	Valdejalón
2018	5	2	Técnicos y profesionales científicos e intelectuales	Mujeres	16	Valdejalón
2018	39	2	Técnicos y profesionales científicos e intelectuales	Hombres	17	D.C. Zaragoza
2018	129	2	Técnicos y profesionales científicos e intelectuales	Mujeres	17	D.C. Zaragoza
2018	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2018	5	2	Técnicos y profesionales científicos e intelectuales	Mujeres	20	Comunidad de Calatayud
2018	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	27	Andorra-Sierra de Arcos
2018	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	28	Bajo Aragón
2018	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	29	Comunidad de Teruel
2018	7	2	Técnicos y profesionales científicos e intelectuales	Mujeres	29	Comunidad de Teruel
2018	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	33	Matarraña / Matarranya
2018	1	3	Técnicos; profesionales de apoyo	Hombres	01	La Jacetania
2018	1	3	Técnicos; profesionales de apoyo	Mujeres	02	Alto Gállego
2018	1	3	Técnicos; profesionales de apoyo	Mujeres	04	La Ribagorza
