Mes (código)	Mes y año	Comarca código	Comarca nombre	Sexo	Nacionalidad	Afiliaciones en alta
202104	Abril 2021	01	La Jacetania	Hombres	Españoles	2480
202104	Abril 2021	01	La Jacetania	Mujeres	Españoles	2284
202104	Abril 2021	01	La Jacetania	Hombres	Extranjeros comunitarios (UE-28)	61
202104	Abril 2021	01	La Jacetania	Mujeres	Extranjeros comunitarios (UE-28)	55
202104	Abril 2021	01	La Jacetania	Hombres	Extranjeros no comunitarios	158
202104	Abril 2021	01	La Jacetania	Mujeres	Extranjeros no comunitarios	147
202104	Abril 2021	01	La Jacetania	Hombres	Extranjeros comunitarios (UE-28)	48
202104	Abril 2021	01	La Jacetania	Mujeres	Extranjeros comunitarios (UE-28)	34
202104	Abril 2021	02	Alto Gállego	Hombres	Españoles	2538
202104	Abril 2021	02	Alto Gállego	Mujeres	Españoles	1703
202104	Abril 2021	02	Alto Gállego	Mujeres	No consta	1
202104	Abril 2021	02	Alto Gállego	Hombres	Extranjeros comunitarios (UE-28)	125
202104	Abril 2021	02	Alto Gállego	Mujeres	Extranjeros comunitarios (UE-28)	101
202104	Abril 2021	02	Alto Gállego	Hombres	Extranjeros no comunitarios	165
202104	Abril 2021	02	Alto Gállego	Mujeres	Extranjeros no comunitarios	72
202104	Abril 2021	02	Alto Gállego	Hombres	Extranjeros comunitarios (UE-28)	63
202104	Abril 2021	02	Alto Gállego	Mujeres	Extranjeros comunitarios (UE-28)	48
202104	Abril 2021	03	Sobrarbe	Hombres	Españoles	1291
202104	Abril 2021	03	Sobrarbe	Mujeres	Españoles	925
202104	Abril 2021	03	Sobrarbe	Hombres	Extranjeros comunitarios (UE-28)	110
202104	Abril 2021	03	Sobrarbe	Mujeres	Extranjeros comunitarios (UE-28)	91
202104	Abril 2021	03	Sobrarbe	Hombres	Extranjeros no comunitarios	78
202104	Abril 2021	03	Sobrarbe	Mujeres	Extranjeros no comunitarios	70
202104	Abril 2021	03	Sobrarbe	Hombres	Extranjeros comunitarios (UE-28)	32
202104	Abril 2021	03	Sobrarbe	Mujeres	Extranjeros comunitarios (UE-28)	33
202104	Abril 2021	04	La Ribagorza	Hombres	Españoles	2134
202104	Abril 2021	04	La Ribagorza	Mujeres	Españoles	1559
202104	Abril 2021	04	La Ribagorza	Hombres	Extranjeros comunitarios (UE-28)	277
202104	Abril 2021	04	La Ribagorza	Mujeres	Extranjeros comunitarios (UE-28)	190
202104	Abril 2021	04	La Ribagorza	Hombres	Extranjeros no comunitarios	121
202104	Abril 2021	04	La Ribagorza	Mujeres	Extranjeros no comunitarios	97
202104	Abril 2021	04	La Ribagorza	Hombres	Extranjeros comunitarios (UE-28)	47
202104	Abril 2021	04	La Ribagorza	Mujeres	Extranjeros comunitarios (UE-28)	28
202104	Abril 2021	05	Cinco Villas	Hombres	Españoles	6496
202104	Abril 2021	05	Cinco Villas	Mujeres	Españoles	4241
202104	Abril 2021	05	Cinco Villas	Hombres	Extranjeros comunitarios (UE-28)	809
202104	Abril 2021	05	Cinco Villas	Mujeres	Extranjeros comunitarios (UE-28)	475
202104	Abril 2021	05	Cinco Villas	Hombres	Extranjeros no comunitarios	1138
202104	Abril 2021	05	Cinco Villas	Mujeres	Extranjeros no comunitarios	350
202104	Abril 2021	05	Cinco Villas	Hombres	Extranjeros comunitarios (UE-28)	57
202104	Abril 2021	05	Cinco Villas	Mujeres	Extranjeros comunitarios (UE-28)	40
202104	Abril 2021	06	Hoya de Huesca / Plana de Uesca	Hombres	Españoles	15581
202104	Abril 2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	Españoles	16125
202104	Abril 2021	06	Hoya de Huesca / Plana de Uesca	Hombres	No consta	1
202104	Abril 2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	No consta	3
202104	Abril 2021	06	Hoya de Huesca / Plana de Uesca	Hombres	Extranjeros comunitarios (UE-28)	458
202104	Abril 2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	Extranjeros comunitarios (UE-28)	575
202104	Abril 2021	06	Hoya de Huesca / Plana de Uesca	Hombres	Extranjeros no comunitarios	1057
202104	Abril 2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	Extranjeros no comunitarios	764
202104	Abril 2021	06	Hoya de Huesca / Plana de Uesca	Hombres	Extranjeros comunitarios (UE-28)	131
202104	Abril 2021	06	Hoya de Huesca / Plana de Uesca	Mujeres	Extranjeros comunitarios (UE-28)	142
202104	Abril 2021	07	Somontano de Barbastro	Hombres	Españoles	4402
202104	Abril 2021	07	Somontano de Barbastro	Mujeres	Españoles	4007
202104	Abril 2021	07	Somontano de Barbastro	Hombres	No consta	1
202104	Abril 2021	07	Somontano de Barbastro	Mujeres	No consta	1
202104	Abril 2021	07	Somontano de Barbastro	Hombres	Extranjeros comunitarios (UE-28)	208
202104	Abril 2021	07	Somontano de Barbastro	Mujeres	Extranjeros comunitarios (UE-28)	223
202104	Abril 2021	07	Somontano de Barbastro	Hombres	Extranjeros no comunitarios	490
202104	Abril 2021	07	Somontano de Barbastro	Mujeres	Extranjeros no comunitarios	235
202104	Abril 2021	07	Somontano de Barbastro	Hombres	Extranjeros comunitarios (UE-28)	79
202104	Abril 2021	07	Somontano de Barbastro	Mujeres	Extranjeros comunitarios (UE-28)	43
202104	Abril 2021	08	Cinca Medio	Hombres	Españoles	4562
202104	Abril 2021	08	Cinca Medio	Mujeres	Españoles	2780
202104	Abril 2021	08	Cinca Medio	Mujeres	No consta	2
202104	Abril 2021	08	Cinca Medio	Hombres	Extranjeros comunitarios (UE-28)	443
