Mes y año	Mes (código)	Sexo	Número de contratos	Provincia código	Provincia nombre
Febrero 2019	201902	Hombres	3522	22	Huesca
Febrero 2019	201902	Hombres	2165	44	Teruel
Febrero 2019	201902	Hombres	16657	50	Zaragoza
Febrero 2019	201902	Mujeres	2734	22	Huesca
Febrero 2019	201902	Mujeres	1609	44	Teruel
Febrero 2019	201902	Mujeres	14893	50	Zaragoza
Enero 2019	201901	Hombres	3734	22	Huesca
Enero 2019	201901	Hombres	2461	44	Teruel
Enero 2019	201901	Hombres	19618	50	Zaragoza
Enero 2019	201901	Mujeres	2985	22	Huesca
Enero 2019	201901	Mujeres	1690	44	Teruel
Enero 2019	201901	Mujeres	17363	50	Zaragoza
Diciembre 2018	201812	Hombres	3373	22	Huesca
Diciembre 2018	201812	Hombres	1844	44	Teruel
Diciembre 2018	201812	Hombres	15868	50	Zaragoza
Diciembre 2018	201812	Mujeres	3132	22	Huesca
Diciembre 2018	201812	Mujeres	1512	44	Teruel
Diciembre 2018	201812	Mujeres	15795	50	Zaragoza
Noviembre 2018	201811	Hombres	3637	22	Huesca
Noviembre 2018	201811	Hombres	2491	44	Teruel
Noviembre 2018	201811	Hombres	19277	50	Zaragoza
Noviembre 2018	201811	Mujeres	2804	22	Huesca
Noviembre 2018	201811	Mujeres	1883	44	Teruel
Noviembre 2018	201811	Mujeres	18107	50	Zaragoza
Octubre 2018	201810	Hombres	4305	22	Huesca
Octubre 2018	201810	Hombres	2908	44	Teruel
Octubre 2018	201810	Hombres	26308	50	Zaragoza
Octubre 2018	201810	Mujeres	3758	22	Huesca
Octubre 2018	201810	Mujeres	2195	44	Teruel
Octubre 2018	201810	Mujeres	24020	50	Zaragoza
Septiembre 2018	201809	Hombres	4599	22	Huesca
Septiembre 2018	201809	Hombres	2747	44	Teruel
Septiembre 2018	201809	Hombres	24547	50	Zaragoza
Septiembre 2018	201809	Mujeres	3580	22	Huesca
Septiembre 2018	201809	Mujeres	2356	44	Teruel
Septiembre 2018	201809	Mujeres	21266	50	Zaragoza
Agosto 2018	201808	Hombres	5133	22	Huesca
Agosto 2018	201808	Hombres	2185	44	Teruel
Agosto 2018	201808	Hombres	21874	50	Zaragoza
Agosto 2018	201808	Mujeres	3579	22	Huesca
Agosto 2018	201808	Mujeres	1697	44	Teruel
Agosto 2018	201808	Mujeres	17259	50	Zaragoza
Julio 2018	201807	Hombres	6887	22	Huesca
Julio 2018	201807	Hombres	3017	44	Teruel
Julio 2018	201807	Hombres	26427	50	Zaragoza
Julio 2018	201807	Mujeres	5339	22	Huesca
Julio 2018	201807	Mujeres	2249	44	Teruel
Julio 2018	201807	Mujeres	20484	50	Zaragoza
Junio 2018	201806	Hombres	6455	22	Huesca
Junio 2018	201806	Hombres	2860	44	Teruel
Junio 2018	201806	Hombres	28047	50	Zaragoza
Junio 2018	201806	Mujeres	5194	22	Huesca
Junio 2018	201806	Mujeres	2114	44	Teruel
Junio 2018	201806	Mujeres	21355	50	Zaragoza
Mayo 2018	201805	Hombres	7723	22	Huesca
Mayo 2018	201805	Hombres	2793	44	Teruel
Mayo 2018	201805	Hombres	26763	50	Zaragoza
Mayo 2018	201805	Mujeres	4416	22	Huesca
Mayo 2018	201805	Mujeres	1950	44	Teruel
Mayo 2018	201805	Mujeres	21498	50	Zaragoza
Abril 2018	201804	Hombres	3968	22	Huesca
Abril 2018	201804	Hombres	2667	44	Teruel
Abril 2018	201804	Hombres	18598	50	Zaragoza
Abril 2018	201804	Mujeres	3069	22	Huesca
Abril 2018	201804	Mujeres	1790	44	Teruel
Abril 2018	201804	Mujeres	17088	50	Zaragoza
Marzo 2018	201803	Hombres	3624	22	Huesca
Marzo 2018	201803	Hombres	2630	44	Teruel
Marzo 2018	201803	Hombres	17518	50	Zaragoza
Marzo 2018	201803	Mujeres	2978	22	Huesca
Marzo 2018	201803	Mujeres	1901	44	Teruel
Marzo 2018	201803	Mujeres	15779	50	Zaragoza
Febrero 2018	201802	Hombres	3494	22	Huesca
Febrero 2018	201802	Hombres	2221	44	Teruel
Febrero 2018	201802	Hombres	17126	50	Zaragoza
Febrero 2018	201802	Mujeres	2834	22	Huesca
Febrero 2018	201802	Mujeres	1453	44	Teruel
Febrero 2018	201802	Mujeres	15613	50	Zaragoza
Enero 2018	201801	Hombres	3689	22	Huesca
Enero 2018	201801	Hombres	2158	44	Teruel
Enero 2018	201801	Hombres	19682	50	Zaragoza
Enero 2018	201801	Mujeres	3103	22	Huesca
Enero 2018	201801	Mujeres	1460	44	Teruel
Enero 2018	201801	Mujeres	16279	50	Zaragoza
Diciembre 2017	201712	Hombres	3642	22	Huesca
Diciembre 2017	201712	Hombres	2032	44	Teruel
Diciembre 2017	201712	Hombres	16418	50	Zaragoza
Diciembre 2017	201712	Mujeres	3283	22	Huesca
Diciembre 2017	201712	Mujeres	1537	44	Teruel
