Provincia código	Provincia nombre	Sexo	Sector actividad, código	Sector actividad, descripción	Personas residentes viviendas familiares
22	Huesca	Hombres	1	Agricultura, ganadería y pesca	10266
22	Huesca	Hombres	2	Industria y energía	10562
22	Huesca	Hombres	3	Construcción	10007
22	Huesca	Hombres	4	Servicios	23408
22	Huesca	Mujeres	1	Agricultura, ganadería y pesca	1169
22	Huesca	Mujeres	2	Industria y energía	3523
22	Huesca	Mujeres	3	Construcción	640
22	Huesca	Mujeres	4	Servicios	24747
44	Teruel	Hombres	1	Agricultura, ganadería y pesca	5911
44	Teruel	Hombres	2	Industria y energía	7766
44	Teruel	Hombres	3	Construcción	6106
44	Teruel	Hombres	4	Servicios	13128
44	Teruel	Mujeres	1	Agricultura, ganadería y pesca	1378
44	Teruel	Mujeres	2	Industria y energía	2598
44	Teruel	Mujeres	3	Construcción	305
44	Teruel	Mujeres	4	Servicios	13432
50	Zaragoza	Hombres	1	Agricultura, ganadería y pesca	14557
50	Zaragoza	Hombres	2	Industria y energía	67795
50	Zaragoza	Hombres	3	Construcción	29388
50	Zaragoza	Hombres	4	Servicios	111774
50	Zaragoza	Mujeres	1	Agricultura, ganadería y pesca	2157
50	Zaragoza	Mujeres	2	Industria y energía	21351
50	Zaragoza	Mujeres	3	Construcción	2813
50	Zaragoza	Mujeres	4	Servicios	110988
