Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones con tierras	Explotaciones con tierras sin SAU	Explotaciones con tierras con SAU >=25% y <50% de su propiedad	Explotaciones con tierras con SAU >=50% y <75% de su propiedad	Explotaciones con tierras con SAU >=75% y <100% de su propiedad	Explotaciones con tierras con SAU totalmente de su propiedad	Explotaciones con tierras con SAU	Explotaciones con tierras con SAU  <25% de su propiedad
1989	22001	Abiego	86	84	4	13	7	13	44	80	3
1989	22002	Abizanda	48	48	21	0	2	6	18	27	1
1989	22003	Adahuesca	69	69	9	5	7	5	42	60	1
1989	22004	Agüero	66	66	17	3	1	2	39	49	4
1989	22006	Aísa	50	50	6	0	8	5	27	44	4
1989	22007	Albalate de Cinca	294	291	20	3	22	39	195	271	12
1989	22008	Albalatillo	24	24	3	2	0	1	16	21	2
1989	22009	Albelda	282	281	1	16	26	36	194	280	8
1989	22011	Albero Alto	24	24	1	2	2	3	16	23	0
1989	22012	Albero Bajo	38	37	0	3	13	4	11	37	6
1989	22013	Alberuela de Tubo	74	74	2	4	3	3	10	72	52
1989	22014	Alcalá de Gurrea	38	36	0	1	2	4	18	36	11
1989	22015	Alcalá del Obispo	104	104	5	3	2	3	80	99	11
1989	22016	Alcampell	243	242	8	13	34	30	150	234	7
1989	22017	Alcolea de Cinca	295	291	21	25	16	8	138	270	83
1989	22018	Alcubierre	125	123	1	16	15	18	60	122	13
1989	22019	Alerre	18	18	0	2	2	2	11	18	1
1989	22020	Alfántega	31	31	2	3	1	5	18	29	2
1989	22021	Almudévar	537	523	3	36	42	71	336	520	35
1989	22022	Almunia de San Juan	107	104	3	3	8	6	73	101	11
1989	22023	Almuniente	128	128	3	6	9	11	91	125	8
1989	22024	Alquézar	100	100	6	3	7	4	76	94	4
1989	22025	Altorricón	298	296	11	9	15	10	247	285	4
1989	22027	Angüés	113	113	14	5	10	10	69	99	5
1989	22028	Ansó	27	20	4	1	1	1	10	16	3
1989	22029	Antillón	39	39	0	2	3	10	20	39	4
1989	22032	Aragüés del Puerto	25	25	2	2	6	2	10	23	3
1989	22035	Arén	92	92	2	8	11	12	56	90	3
1989	22036	Argavieso	41	41	2	1	2	16	17	39	3
1989	22037	Arguis	20	20	9	0	2	0	8	11	1
1989	22039	Ayerbe	226	223	40	10	11	12	141	183	9
1989	22040	Azanuy-Alins	98	98	7	9	10	4	60	91	8
1989	22041	Azara	61	61	3	1	2	2	53	58	0
1989	22042	Azlor	58	58	6	5	4	3	40	52	0
1989	22043	Baells	56	56	3	2	5	6	36	53	4
1989	22044	Bailo	100	99	15	9	13	13	44	84	5
1989	22045	Baldellou	75	75	15	2	0	0	56	60	2
1989	22046	Ballobar	179	177	3	23	27	42	70	174	12
1989	22047	Banastás	7	7	0	1	0	0	6	7	0
1989	22048	Barbastro	666	664	73	14	13	12	541	591	11
1989	22049	Barbués	46	46	0	1	4	7	30	46	4
1989	22050	Barbuñales	31	31	0	4	5	5	17	31	0
1989	22051	Bárcabo	48	47	9	5	4	4	22	38	3
1989	22052	Belver de Cinca	258	256	11	9	20	27	181	245	8
1989	22053	Benabarre	225	225	34	10	16	23	132	191	10
1989	22054	Benasque	61	59	16	2	6	3	27	43	5
