Provincia código	Provincia nombre	Sexo	Edad	Número hogares
22	Huesca	Hombres	16 a 34 años	1781
22	Huesca	Hombres	35 a 64 años	3837
22	Huesca	Hombres	Mayores de 64 años	2825
22	Huesca	Mujeres	16 a 34 años	1023
22	Huesca	Mujeres	35 a 64 años	1881
22	Huesca	Mujeres	Mayores de 64 años	6075
44	Teruel	Hombres	16 a 34 años	1054
44	Teruel	Hombres	35 a 64 años	2388
44	Teruel	Hombres	Mayores de 64 años	2463
44	Teruel	Mujeres	16 a 34 años	630
44	Teruel	Mujeres	35 a 64 años	1183
44	Teruel	Mujeres	Mayores de 64 años	5145
50	Zaragoza	Hombres	16 a 34 años	6854
50	Zaragoza	Hombres	35 a 64 años	12293
50	Zaragoza	Hombres	Mayores de 64 años	8399
50	Zaragoza	Mujeres	16 a 34 años	4633
50	Zaragoza	Mujeres	35 a 64 años	9873
50	Zaragoza	Mujeres	Mayores de 64 años	27397
