Año	Comarca código	Comarca nombre	Total viviendas	Viviendas nuevas	Viviendas de 2ª mano
2015	01	La Jacetania	449	60	389
2015	02	Alto Gállego	284	34	250
2015	03	Sobrarbe	71	11	60
2015	04	La Ribagorza	188	39	149
2015	05	Cinco Villas	201	20	181
2015	06	Hoya de Huesca / Plana de Uesca	641	247	394
2015	07	Somontano de Barbastro	162	34	128
2015	08	Cinca Medio	170	34	136
2015	09	La Litera / La Llitera	118	28	90
2015	10	Los Monegros	75	13	62
2015	11	Bajo Cinca / Baix Cinca	97	2	95
2015	12	Tarazona y el Moncayo	83	8	75
2015	13	Campo de Borja	103	67	36
2015	14	Aranda	52	1	51
2015	15	Ribera Alta del Ebro	273	61	212
2015	16	Valdejalón	253	19	234
2015	17	Central	6347	611	5736
2015	18	Ribera Baja del Ebro	49	1	48
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	85	6	79
2015	20	Comunidad de Calatayud	288	39	249
2015	21	Campo de Cariñena	90	12	78
2015	22	Campo de Belchite	41	1	40
2015	23	Bajo Martín	53	2	51
2015	24	Campo de Daroca	58	0	58
2015	25	Jiloca	112	18	94
2015	26	Cuencas Mineras	70	10	60
2015	27	Andorra-Sierra de Arcos	53	7	46
2015	28	Bajo Aragón	187	19	168
2015	29	Comunidad de Teruel	392	130	262
2015	30	Maestrazgo	22	6	16
2015	31	Sierra de Albarracín	37	1	36
2015	32	Gúdar-Javalambre	177	29	148
2015	33	Matarraña / Matarranya	57	0	57
2014	01	La Jacetania	424	70	354
2014	02	Alto Gállego	237	51	186
2014	03	Sobrarbe	64	11	53
2014	04	La Ribagorza	126	24	102
2014	05	Cinco Villas	184	55	129
2014	06	Hoya de Huesca / Plana de Uesca	492	188	304
2014	07	Somontano de Barbastro	123	14	109
2014	08	Cinca Medio	197	31	166
2014	09	La Litera / La Llitera	114	27	87
2014	10	Los Monegros	62	16	46
2014	11	Bajo Cinca / Baix Cinca	139	40	99
2014	12	Tarazona y el Moncayo	76	8	68
2014	13	Campo de Borja	110	73	37
2014	14	Aranda	28	0	28
2014	15	Ribera Alta del Ebro	179	26	153
2014	16	Valdejalón	170	20	150
2014	17	Central	5643	989	4654
2014	18	Ribera Baja del Ebro	48	2	46
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	76	6	70
2014	20	Comunidad de Calatayud	262	30	232
2014	21	Campo de Cariñena	69	11	58
2014	22	Campo de Belchite	32	1	31
2014	23	Bajo Martín	55	0	55
2014	24	Campo de Daroca	64	25	39
2014	25	Jiloca	124	33	91
2014	26	Cuencas Mineras	55	5	50
2014	27	Andorra-Sierra de Arcos	43	9	34
2014	28	Bajo Aragón	145	24	121
2014	29	Comunidad de Teruel	374	187	187
2014	30	Maestrazgo	23	1	22
2014	31	Sierra de Albarracín	32	9	23
2014	32	Gúdar-Javalambre	141	8	133
2014	33	Matarraña / Matarranya	32	1	31
2013	01	La Jacetania	325	93	232
2013	02	Alto Gállego	232	79	153
2013	03	Sobrarbe	38	4	34
2013	04	La Ribagorza	113	30	83
2013	05	Cinco Villas	182	73	109
2013	06	Hoya de Huesca / Plana de Uesca	556	277	279
2013	07	Somontano de Barbastro	78	5	73
2013	08	Cinca Medio	147	66	81
2013	09	La Litera / La Llitera	57	12	45
2013	10	Los Monegros	83	19	64
2013	11	Bajo Cinca / Baix Cinca	80	17	63
2013	12	Tarazona y el Moncayo	72	8	64
2013	13	Campo de Borja	76	54	22
2013	14	Aranda	21	0	21
2013	15	Ribera Alta del Ebro	175	9	166
2013	16	Valdejalón	212	85	127
2013	17	Central	3846	672	3174
2013	18	Ribera Baja del Ebro	43	1	42
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	59	11	48
2013	20	Comunidad de Calatayud	198	22	176
2013	21	Campo de Cariñena	68	20	48
2013	22	Campo de Belchite	28	0	28
2013	23	Bajo Martín	39	0	39
2013	24	Campo de Daroca	36	3	33
2013	25	Jiloca	84	18	66
2013	26	Cuencas Mineras	86	3	83
2013	27	Andorra-Sierra de Arcos	69	35	34
2013	28	Bajo Aragón	116	8	108
2013	29	Comunidad de Teruel	289	133	156
2013	30	Maestrazgo	21	2	19
2013	31	Sierra de Albarracín	19	0	19
2013	32	Gúdar-Javalambre	120	54	66
2013	33	Matarraña / Matarranya	43	8	35
2012	01	La Jacetania	345	106	239
2012	02	Alto Gállego	226	65	161
2012	03	Sobrarbe	120	42	78
2012	04	La Ribagorza	157	60	97
2012	05	Cinco Villas	207	64	143
2012	06	Hoya de Huesca / Plana de Uesca	576	298	278
2012	07	Somontano de Barbastro	130	30	100
2012	08	Cinca Medio	212	125	87
2012	09	La Litera / La Llitera	230	162	68
2012	10	Los Monegros	100	28	72
2012	11	Bajo Cinca / Baix Cinca	129	34	95
2012	12	Tarazona y el Moncayo	92	28	64
2012	13	Campo de Borja	107	77	30
2012	14	Aranda	38	1	37
2012	15	Ribera Alta del Ebro	164	41	123
2012	16	Valdejalón	246	96	150
2012	17	Central	6214	2312	3902
2012	18	Ribera Baja del Ebro	53	0	53
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	71	16	55
2012	20	Comunidad de Calatayud	271	60	211
2012	21	Campo de Cariñena	71	19	52
2012	22	Campo de Belchite	22	1	21
2012	23	Bajo Martín	51	6	45
2012	24	Campo de Daroca	52	2	50
2012	25	Jiloca	67	11	56
2012	26	Cuencas Mineras	70	1	69
2012	27	Andorra-Sierra de Arcos	87	43	44
2012	28	Bajo Aragón	222	85	137
2012	29	Comunidad de Teruel	435	187	248
2012	30	Maestrazgo	27	4	23
2012	31	Sierra de Albarracín	55	2	53
2012	32	Gúdar-Javalambre	155	75	80
2012	33	Matarraña / Matarranya	46	11	35
2011	01	La Jacetania	388	182	206
2011	02	Alto Gállego	278	117	161
2011	03	Sobrarbe	68	37	31
2011	04	La Ribagorza	186	93	93
2011	05	Cinco Villas	166	47	119
2011	06	Hoya de Huesca / Plana de Uesca	427	194	233
2011	07	Somontano de Barbastro	123	51	72
2011	08	Cinca Medio	131	63	68
2011	09	La Litera / La Llitera	97	44	53
2011	10	Los Monegros	81	15	66
2011	11	Bajo Cinca / Baix Cinca	104	23	81
2011	12	Tarazona y el Moncayo	101	53	48
2011	13	Campo de Borja	93	65	28
2011	14	Aranda	40	1	39
2011	15	Ribera Alta del Ebro	284	173	111
2011	16	Valdejalón	300	160	140
2011	17	Central	4458	1579	2879
2011	18	Ribera Baja del Ebro	88	6	82
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	93	39	54
2011	20	Comunidad de Calatayud	360	144	216
2011	21	Campo de Cariñena	57	12	45
2011	22	Campo de Belchite	24	0	24
2011	23	Bajo Martín	50	1	49
2011	24	Campo de Daroca	77	5	72
2011	25	Jiloca	104	20	84
2011	26	Cuencas Mineras	78	3	75
2011	27	Andorra-Sierra de Arcos	94	49	45
2011	28	Bajo Aragón	152	41	111
2011	29	Comunidad de Teruel	421	142	279
2011	30	Maestrazgo	47	9	38
2011	31	Sierra de Albarracín	56	8	48
2011	32	Gúdar-Javalambre	171	85	86
2011	33	Matarraña / Matarranya	63	13	50
2010	01	La Jacetania	415	148	267
2010	02	Alto Gállego	352	159	193
2010	03	Sobrarbe	138	88	50
2010	04	La Ribagorza	274	132	142
2010	05	Cinco Villas	300	135	165
2010	06	Hoya de Huesca / Plana de Uesca	687	329	358
2010	07	Somontano de Barbastro	247	106	141
2010	08	Cinca Medio	190	76	114
2010	09	La Litera / La Llitera	141	64	77
2010	10	Los Monegros	163	85	78
2010	11	Bajo Cinca / Baix Cinca	136	54	82
2010	12	Tarazona y el Moncayo	189	127	62
2010	13	Campo de Borja	164	137	27
2010	14	Aranda	38	5	33
2010	15	Ribera Alta del Ebro	337	167	170
2010	16	Valdejalón	403	261	142
2010	17	Central	8447	3929	4518
2010	18	Ribera Baja del Ebro	52	2	50
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	97	27	70
2010	20	Comunidad de Calatayud	431	174	257
2010	21	Campo de Cariñena	62	18	44
2010	22	Campo de Belchite	36	1	35
2010	23	Bajo Martín	59	1	58
2010	24	Campo de Daroca	50	11	39
2010	25	Jiloca	129	46	83
2010	26	Cuencas Mineras	86	5	81
2010	27	Andorra-Sierra de Arcos	106	47	59
2010	28	Bajo Aragón	263	114	149
2010	29	Comunidad de Teruel	708	485	223
2010	30	Maestrazgo	39	7	32
2010	31	Sierra de Albarracín	69	17	52
2010	32	Gúdar-Javalambre	199	100	99
2010	33	Matarraña / Matarranya	66	26	40
2009	01	La Jacetania	410	175	235
2009	02	Alto Gállego	540	376	164
2009	03	Sobrarbe	111	73	38
2009	04	La Ribagorza	296	187	109
2009	05	Cinco Villas	287	179	108
2009	06	Hoya de Huesca / Plana de Uesca	648	352	296
2009	07	Somontano de Barbastro	298	189	109
2009	08	Cinca Medio	193	107	86
2009	09	La Litera / La Llitera	169	103	66
2009	10	Los Monegros	120	66	54
2009	11	Bajo Cinca / Baix Cinca	180	112	68
2009	12	Tarazona y el Moncayo	196	105	91
2009	13	Campo de Borja	210	177	33
2009	14	Aranda	33	3	30
2009	15	Ribera Alta del Ebro	233	152	81
2009	16	Valdejalón	318	202	116
2009	17	Central	7945	4553	3392
2009	18	Ribera Baja del Ebro	39	2	37
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	180	133	47
2009	20	Comunidad de Calatayud	543	309	234
2009	21	Campo de Cariñena	57	26	31
2009	22	Campo de Belchite	34	3	31
2009	23	Bajo Martín	58	11	47
2009	24	Campo de Daroca	62	21	41
2009	25	Jiloca	99	41	58
2009	26	Cuencas Mineras	64	7	57
2009	27	Andorra-Sierra de Arcos	114	53	61
2009	28	Bajo Aragón	292	172	120
2009	29	Comunidad de Teruel	502	370	132
2009	30	Maestrazgo	51	29	22
2009	31	Sierra de Albarracín	73	29	44
2009	32	Gúdar-Javalambre	205	132	73
2009	33	Matarraña / Matarranya	98	42	56
2008	01	La Jacetania	462	308	154
2008	02	Alto Gállego	756	637	119
2008	03	Sobrarbe	243	204	39
2008	04	La Ribagorza	317	214	103
2008	05	Cinco Villas	317	139	178
2008	06	Hoya de Huesca / Plana de Uesca	1076	785	291
2008	07	Somontano de Barbastro	442	297	145
2008	08	Cinca Medio	309	142	167
2008	09	La Litera / La Llitera	177	83	94
2008	10	Los Monegros	181	54	127
