Municipio código	Municipio nombre	Estructura hogar	Número hogares
22001	Abiego	Una mujer de 16 a 64 años	3
22001	Abiego	Un hombre de 16 a 64 años	10
22001	Abiego	Una mujer de 65 o más años	7
22001	Abiego	Un hombre de 65 o más años	6
22001	Abiego	Una mujer adulta con uno o más menores	2
22001	Abiego	Dos adultos de 16 a 64 años, sin menores	4
22001	Abiego	Dos adultos, uno al menos de 65 años o más, sin menores	23
22001	Abiego	Dos adultos y un menor	2
22001	Abiego	Dos adultos y dos menores	5
22001	Abiego	Dos adultos y tres o más menores	1
22001	Abiego	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	4
22001	Abiego	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	1
22001	Abiego	Otro hogar de tres adultos, con o sin menores	14
22001	Abiego	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	6
22001	Abiego	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	1
22001	Abiego	Otro hogar de cuatro adultos, con o sin menores	7
22001	Abiego	Cinco o más adultos, con o sin menores	8
22002	Abizanda	Un hombre de 16 a 64 años	7
22002	Abizanda	Una mujer de 65 o más años	4
22002	Abizanda	Un hombre de 65 o más años	3
22002	Abizanda	Una mujer adulta con uno o más menores	1
22002	Abizanda	Dos adultos de 16 a 64 años, sin menores	4
22002	Abizanda	Dos adultos, uno al menos de 65 años o más, sin menores	6
22002	Abizanda	Dos adultos y un menor	1
22002	Abizanda	Dos adultos y dos menores	1
22002	Abizanda	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	3
22002	Abizanda	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	1
22002	Abizanda	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	1
22002	Abizanda	Otro hogar de tres adultos, con o sin menores	4
22002	Abizanda	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	1
22002	Abizanda	Otro hogar de cuatro adultos, con o sin menores	1
22002	Abizanda	Cinco o más adultos, con o sin menores	8
22003	Adahuesca	Una mujer de 16 a 64 años	2
22003	Adahuesca	Un hombre de 16 a 64 años	8
22003	Adahuesca	Una mujer de 65 o más años	9
22003	Adahuesca	Un hombre de 65 o más años	9
22003	Adahuesca	Una mujer adulta con uno o más menores	1
22003	Adahuesca	Un hombre adulto con  uno o más menores	1
22003	Adahuesca	Dos adultos de 16 a 64 años, sin menores	2
22003	Adahuesca	Dos adultos, uno al menos de 65 años o más, sin menores	10
22003	Adahuesca	Dos adultos y un menor	1
22003	Adahuesca	Dos adultos y dos menores	1
22003	Adahuesca	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	4
22003	Adahuesca	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	3
22003	Adahuesca	Otro hogar de tres adultos, con o sin menores	5
22003	Adahuesca	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	2
22003	Adahuesca	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	1
22003	Adahuesca	Otro hogar de cuatro adultos, con o sin menores	3
22003	Adahuesca	Cinco o más adultos, con o sin menores	5
22004	Agüero	Una mujer de 16 a 64 años	2
22004	Agüero	Un hombre de 16 a 64 años	8
22004	Agüero	Una mujer de 65 o más años	14
22004	Agüero	Un hombre de 65 o más años	9
22004	Agüero	Una mujer adulta con uno o más menores	1
22004	Agüero	Dos adultos de 16 a 64 años, sin menores	2
22004	Agüero	Dos adultos, uno al menos de 65 años o más, sin menores	13
22004	Agüero	Dos adultos y un menor	1
22004	Agüero	Dos adultos y dos menores	1
22004	Agüero	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	5
22004	Agüero	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	1
22004	Agüero	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	1
22004	Agüero	Otro hogar de tres adultos, con o sin menores	3
22004	Agüero	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	3
22004	Agüero	Otro hogar de cuatro adultos, con o sin menores	6
22004	Agüero	Cinco o más adultos, con o sin menores	2
22006	Aísa	Una mujer de 16 a 64 años	8
22006	Aísa	Un hombre de 16 a 64 años	33
22006	Aísa	Una mujer de 65 o más años	4
22006	Aísa	Un hombre de 65 o más años	9
22006	Aísa	Una mujer adulta con uno o más menores	1
22006	Aísa	Un hombre adulto con  uno o más menores	3
22006	Aísa	Dos adultos de 16 a 64 años, sin menores	15
22006	Aísa	Dos adultos, uno al menos de 65 años o más, sin menores	6
22006	Aísa	Dos adultos y un menor	6
22006	Aísa	Dos adultos y dos menores	3
22006	Aísa	Dos adultos y tres o más menores	1
22006	Aísa	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	9
22006	Aísa	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	3
22006	Aísa	Otro hogar de tres adultos, con o sin menores	12
22006	Aísa	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	9
22006	Aísa	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	1
22006	Aísa	Otro hogar de cuatro adultos, con o sin menores	10
22006	Aísa	Cinco o más adultos, con o sin menores	16
22007	Albalate de Cinca	Una mujer de 16 a 64 años	11
22007	Albalate de Cinca	Un hombre de 16 a 64 años	31
22007	Albalate de Cinca	Una mujer de 65 o más años	19
22007	Albalate de Cinca	Un hombre de 65 o más años	10
22007	Albalate de Cinca	Una mujer adulta con uno o más menores	2
22007	Albalate de Cinca	Un hombre adulto con  uno o más menores	4
22007	Albalate de Cinca	Dos adultos de 16 a 64 años, sin menores	37
22007	Albalate de Cinca	Dos adultos, uno al menos de 65 años o más, sin menores	60
22007	Albalate de Cinca	Dos adultos y un menor	26
22007	Albalate de Cinca	Dos adultos y dos menores	19
22007	Albalate de Cinca	Dos adultos y tres o más menores	1
22007	Albalate de Cinca	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	20
22007	Albalate de Cinca	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	9
22007	Albalate de Cinca	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	3
22007	Albalate de Cinca	Otro hogar de tres adultos, con o sin menores	47
22007	Albalate de Cinca	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	27
22007	Albalate de Cinca	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	3
22007	Albalate de Cinca	Otro hogar de cuatro adultos, con o sin menores	34
22007	Albalate de Cinca	Cinco o más adultos, con o sin menores	35
22008	Albalatillo	Una mujer de 16 a 64 años	2
22008	Albalatillo	Un hombre de 16 a 64 años	4
22008	Albalatillo	Una mujer de 65 o más años	19
22008	Albalatillo	Un hombre de 65 o más años	9
22008	Albalatillo	Un hombre adulto con  uno o más menores	1
22008	Albalatillo	Dos adultos de 16 a 64 años, sin menores	8
22008	Albalatillo	Dos adultos, uno al menos de 65 años o más, sin menores	13
22008	Albalatillo	Dos adultos y un menor	5
22008	Albalatillo	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	3
22008	Albalatillo	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	1
22008	Albalatillo	Otro hogar de tres adultos, con o sin menores	11
22008	Albalatillo	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	7
22008	Albalatillo	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	1
22008	Albalatillo	Otro hogar de cuatro adultos, con o sin menores	9
22008	Albalatillo	Cinco o más adultos, con o sin menores	8
22009	Albelda	Una mujer de 16 a 64 años	8
22009	Albelda	Un hombre de 16 a 64 años	24
22009	Albelda	Una mujer de 65 o más años	37
22009	Albelda	Un hombre de 65 o más años	20
22009	Albelda	Una mujer adulta con uno o más menores	2
22009	Albelda	Dos adultos de 16 a 64 años, sin menores	12
22009	Albelda	Dos adultos, uno al menos de 65 años o más, sin menores	63
22009	Albelda	Dos adultos y un menor	21
22009	Albelda	Dos adultos y dos menores	8
22009	Albelda	Dos adultos y tres o más menores	2
22009	Albelda	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	23
22009	Albelda	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	9
22009	Albelda	Otro hogar de tres adultos, con o sin menores	28
22009	Albelda	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	17
22009	Albelda	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	1
