Año	Provincia código	Provincia nombre	Estado de la información	Licencias, total	Licencias, nueva planta, total	Licencias, nueva planta, con demolición	Licencias, nueva planta, sin demolición	Licencias, rehabilitación, total	Licencias, rehabilitación, con demolición	Licencias, rehabilitación, sin demolición	Licencias, rehabilitación locales	Licencias, demolición
2000	22	Huesca	ESTIMACIÓN	904	600	29	571	250	174	76	38	16
2000	44	Teruel	ESTIMACIÓN	634	376	17	359	234	158	76	10	14
2000	50	Zaragoza	ESTIMACIÓN	2533	1166	72	1094	435	254	181	777	155
2001	22	Huesca	ESTIMACIÓN	784	531	34	497	216	134	82	29	8
2001	44	Teruel	ESTIMACIÓN	610	379	19	360	197	124	73	12	22
2001	50	Zaragoza	ESTIMACIÓN	2699	1128	64	1064	465	222	243	939	167
2002	22	Huesca	ESTIMACIÓN	811	524	25	499	223	148	75	53	11
2002	44	Teruel	ESTIMACIÓN	596	370	13	357	180	134	46	22	24
2002	50	Zaragoza	ESTIMACIÓN	2514	994	58	936	554	233	321	787	179
2003	22	Huesca	ESTIMACIÓN	970	649	28	621	275	174	101	33	13
2003	44	Teruel	ESTIMACIÓN	645	459	17	442	148	115	33	5	33
2003	50	Zaragoza	ESTIMACIÓN	2444	1020	64	956	520	203	317	706	198
2004	22	Huesca	ESTIMACIÓN	996	647	44	603	287	182	105	42	20
2004	44	Teruel	ESTIMACIÓN	705	440	17	423	199	131	68	16	50
2004	50	Zaragoza	ESTIMACIÓN	2748	1117	93	1024	621	220	401	774	236
2005	22	Huesca	ESTIMACIÓN	1114	683	51	632	337	223	114	54	40
2005	44	Teruel	ESTIMACIÓN	726	491	24	467	176	116	60	11	48
2005	50	Zaragoza	ESTIMACIÓN	2841	1131	74	1057	619	226	393	813	278
2006	22	Huesca	ESTIMACIÓN	1117	650	42	608	369	230	139	53	45
2006	44	Teruel	ESTIMACIÓN	651	421	19	402	182	118	64	7	41
2006	50	Zaragoza	ESTIMACIÓN	3155	1370	112	1258	647	213	434	767	371
2007	22	Huesca	ESTIMACIÓN	1079	607	42	565	353	220	133	56	63
2007	44	Teruel	ESTIMACIÓN	716	459	13	446	200	134	66	13	44
2007	50	Zaragoza	ESTIMACIÓN	3019	1173	86	1087	637	191	446	929	280
2008	22	Huesca	ESTIMACIÓN	806	408	20	388	330	207	123	39	29
2008	44	Teruel	ESTIMACIÓN	641	384	24	360	193	139	54	15	49
2008	50	Zaragoza	ESTIMACIÓN	2908	889	57	832	917	282	635	970	132
2009	22	Huesca	ESTIMACIÓN	619	279	23	256	295	212	83	31	14
2009	44	Teruel	ESTIMACIÓN	592	316	21	295	230	167	63	16	30
2009	50	Zaragoza	ESTIMACIÓN	2091	515	34	481	792	217	575	709	75
2010	22	Huesca	ESTIMACIÓN	605	244	13	231	309	203	106	27	25
2010	44	Teruel	ESTIMACIÓN	494	224	15	209	218	171	47	12	40
2010	50	Zaragoza	ESTIMACIÓN	2114	458	26	432	815	314	501	763	78
2011	22	Huesca	ESTIMACIÓN	591	235	22	213	290	179	111	31	35
2011	44	Teruel	ESTIMACIÓN	449	205	19	186	217	163	54	5	22
2011	50	Zaragoza	ESTIMACIÓN	2188	362	25	337	993	343	650	764	69
2012	22	Huesca	ESTIMACIÓN	502	201	5	196	250	154	96	18	33
2012	44	Teruel	ESTIMACIÓN	362	167	10	157	153	113	40	9	33
2012	50	Zaragoza	ESTIMACIÓN	2022	291	22	269	781	265	516	855	95
2013	22	Huesca	ESTIMACIÓN	433	216	11	205	196	140	56	11	10
2013	44	Teruel	ESTIMACIÓN	301	134	8	126	127	90	37	10	30
2013	50	Zaragoza	ESTIMACIÓN	1840	229	25	204	704	188	516	828	79
2014	22	Huesca	ESTIMACIÓN	435	211	9	202	193	127	66	7	24
2014	44	Teruel	ESTIMACIÓN	311	138	12	126	138	85	53	7	28
2014	50	Zaragoza	ESTIMACIÓN	1928	262	18	244	761	233	528	838	67
2015	22	Huesca	ESTIMACIÓN	499	240	8	232	225	145	80	10	24
2015	44	Teruel	ESTIMACIÓN	374	158	10	148	168	114	54	8	40
2015	50	Zaragoza	ESTIMACIÓN	1994	229	25	204	872	270	602	803	90
