Año	Código de la comarca	Comarca	Número total de explotaciones	Explotaciones sin tierras	Explotaciones con tierras labranza, pastos y otras	Explotaciones con tierras labranza y pastos	Explotaciones con tierras labranza y otras	Explotaciones con sólo tierras labranza	Explotaciones con pastos y otras tierras	Explotaciones con sólo pastos	Explotaciones con sólo otras tierras	Explotaciones con tierras
1989	01	La Jacetania	1240	17	168	103	483	247	62	50	110	1223
1989	02	Alto Gállego	787	5	121	140	195	48	64	91	123	782
1989	03	Sobrarbe	1544	8	384	149	386	104	149	121	243	1536
1989	04	La Ribagorza	2406	10	367	239	992	152	108	120	418	2396
1989	05	Cinco Villas	7501	114	108	249	1219	5320	53	297	141	7387
1989	06	Hoya de Huesca / Plana de Uesca	3736	35	115	213	1589	1469	21	8	286	3701
1989	07	Somontano de Barbastro	3147	14	38	199	1422	1056	5	13	400	3133
1989	08	Cinca Medio	2368	12	22	18	841	1375	3	4	93	2356
1989	09	La Litera / La Llitera	2779	15	33	10	1638	944	4	3	132	2764
1989	10	Los Monegros	4155	55	48	170	689	3097	9	14	73	4100
1989	11	Bajo Cinca / Baix Cinca	2989	21	36	49	829	1946	9	9	90	2968
1989	12	Tarazona y el Moncayo	2232	13	97	143	742	1019	18	10	190	2219
1989	13	Campo de Borja	3135	19	36	73	778	2130	11	8	80	3116
1989	14	Aranda	1627	18	35	283	408	693	15	77	98	1609
1989	15	Ribera Alta del Ebro	3615	38	19	43	501	2907	6	6	95	3577
1989	16	Valdejalón	5310	76	32	91	976	3904	16	47	168	5234
1989	17	Central	6215	123	14	66	441	5434	7	19	111	6092
1989	18	Ribera Baja del Ebro	1921	29	5	7	260	1575	3	3	39	1892
1989	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2501	46	5	18	626	1702	7	3	94	2455
1989	20	Comunidad de Calatayud	8991	106	423	613	3126	3609	157	284	673	8885
1989	21	Campo de Cariñena	3488	26	9	115	1014	2127	7	40	150	3462
1989	22	Campo de Belchite	1569	30	37	21	258	1186	15	9	13	1539
1989	23	Bajo Martín	1412	48	5	25	139	1148	5	11	31	1364
1989	24	Campo de Daroca	1783	28	66	30	751	720	35	9	144	1755
1989	25	Jiloca	3521	20	489	440	1020	1063	126	211	152	3501
1989	26	Cuencas Mineras	1672	18	141	91	548	379	140	28	327	1654
1989	27	Andorra-Sierra de Arcos	1707	17	117	47	482	509	221	24	290	1690
1989	28	Bajo Aragón	3473	31	113	39	714	2355	37	4	180	3442
1989	29	Comunidad de Teruel	4694	35	251	298	1163	1882	324	84	657	4659
1989	30	Maestrazgo	1465	4	436	256	233	86	201	110	139	1461
1989	31	Sierra de Albarracín	1041	17	10	9	309	433	26	9	228	1024
1989	32	Gúdar-Javalambre	3636	18	759	320	559	365	679	240	696	3618
1989	33	Matarraña / Matarranya	3071	16	35	10	1932	550	3	0	525	3055
1999	01	La Jacetania	896	21	307	87	239	98	64	16	64	875
1999	02	Alto Gállego	537	21	157	86	98	21	51	60	43	516
1999	03	Sobrarbe	937	13	238	41	218	34	166	134	93	924
1999	04	La Ribagorza	2019	51	412	57	819	102	165	56	357	1968
1999	05	Cinco Villas	4963	134	136	105	1630	2620	26	23	289	4829
1999	06	Hoya de Huesca / Plana de Uesca	3557	55	158	89	1818	1118	21	11	287	3502
1999	07	Somontano de Barbastro	2798	38	131	141	1461	740	15	16	256	2760
1999	08	Cinca Medio	2213	90	38	24	1071	883	8	2	97	2123
1999	09	La Litera / La Llitera	2755	63	46	14	1689	720	3	4	216	2692
1999	10	Los Monegros	4133	108	62	53	1358	2309	15	3	225	4025
1999	11	Bajo Cinca / Baix Cinca	3134	27	31	18	1546	1300	7	6	199	3107
1999	12	Tarazona y el Moncayo	1919	20	54	13	920	766	3	5	138	1899
1999	13	Campo de Borja	3021	42	42	28	1193	1501	9	8	198	2979
1999	14	Aranda	1367	30	27	59	290	873	8	22	58	1337
1999	15	Ribera Alta del Ebro	2403	23	28	18	497	1631	11	22	173	2380
1999	16	Valdejalón	4415	60	44	58	1140	2807	15	10	281	4355
1999	17	Central	4362	105	55	58	848	3001	25	34	236	4257
1999	18	Ribera Baja del Ebro	1532	67	11	17	316	1076	1	5	39	1465
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2289	37	27	5	1069	973	9	4	165	2252
1999	20	Comunidad de Calatayud	6309	99	178	255	2436	2478	41	54	768	6210
1999	21	Campo de Cariñena	3097	30	28	29	899	1873	8	4	226	3067
1999	22	Campo de Belchite	1525	30	18	14	390	983	18	2	70	1495
1999	23	Bajo Martín	1475	47	9	5	649	678	4	6	77	1428
1999	24	Campo de Daroca	1914	34	34	55	642	943	14	9	183	1880
1999	25	Jiloca	2853	89	139	94	1427	841	38	9	216	2764
1999	26	Cuencas Mineras	914	64	46	50	253	365	22	21	93	850
1999	27	Andorra-Sierra de Arcos	1334	16	12	8	628	585	5	3	77	1318
1999	28	Bajo Aragón	3327	49	84	32	1356	1486	19	5	296	3278
1999	29	Comunidad de Teruel	2901	109	167	76	1128	1193	54	15	159	2792
1999	30	Maestrazgo	917	32	151	115	273	132	47	47	120	885
1999	31	Sierra de Albarracín	548	63	20	19	198	161	36	19	32	485
1999	32	Gúdar-Javalambre	1220	57	201	110	404	190	71	38	149	1163
1999	33	Matarraña / Matarranya	2437	53	98	5	1688	284	7	3	299	2384
