Mes (código)	Mes y año	Dirección provincial (código)	Dirección provincial nombre	Temporalidad	Sexo	Afiliaciones en alta
201003	Marzo 2010	22	Huesca	Indefinido	Hombres	22199
201003	Marzo 2010	22	Huesca	Indefinido	Mujeres	17165
201003	Marzo 2010	44	Teruel	Indefinido	Hombres	13618
201003	Marzo 2010	44	Teruel	Indefinido	Mujeres	8872
201003	Marzo 2010	50	Zaragoza	Indefinido	Hombres	114800
201003	Marzo 2010	50	Zaragoza	Indefinido	Mujeres	87846
201006	Junio 2010	22	Huesca	Indefinido	Hombres	21776
201006	Junio 2010	22	Huesca	Indefinido	Mujeres	16714
201006	Junio 2010	44	Teruel	Indefinido	Hombres	13744
201006	Junio 2010	44	Teruel	Indefinido	Mujeres	8881
201006	Junio 2010	50	Zaragoza	Indefinido	Hombres	113920
201006	Junio 2010	50	Zaragoza	Indefinido	Mujeres	86471
201009	Septiembre 2010	22	Huesca	Indefinido	Hombres	21615
201009	Septiembre 2010	22	Huesca	Indefinido	Mujeres	16865
201009	Septiembre 2010	44	Teruel	Indefinido	Hombres	13609
201009	Septiembre 2010	44	Teruel	Indefinido	Mujeres	8933
201009	Septiembre 2010	50	Zaragoza	Indefinido	Hombres	112261
201009	Septiembre 2010	50	Zaragoza	Indefinido	Mujeres	88076
201012	Diciembre 2010	22	Huesca	Indefinido	Hombres	21762
201012	Diciembre 2010	22	Huesca	Indefinido	Mujeres	17209
201012	Diciembre 2010	44	Teruel	Indefinido	Hombres	13378
201012	Diciembre 2010	44	Teruel	Indefinido	Mujeres	8917
201012	Diciembre 2010	50	Zaragoza	Indefinido	Hombres	111520
201012	Diciembre 2010	50	Zaragoza	Indefinido	Mujeres	88500
201103	Marzo 2011	22	Huesca	Indefinido	Hombres	21527
201103	Marzo 2011	22	Huesca	Indefinido	Mujeres	17077
201103	Marzo 2011	44	Teruel	Indefinido	Hombres	13244
201103	Marzo 2011	44	Teruel	Indefinido	Mujeres	8908
201103	Marzo 2011	50	Zaragoza	Indefinido	Hombres	111102
201103	Marzo 2011	50	Zaragoza	Indefinido	Mujeres	88197
201106	Junio 2011	22	Huesca	Indefinido	Hombres	20986
201106	Junio 2011	22	Huesca	Indefinido	Mujeres	16570
201106	Junio 2011	44	Teruel	Indefinido	Hombres	13303
201106	Junio 2011	44	Teruel	Indefinido	Mujeres	8867
201106	Junio 2011	50	Zaragoza	Indefinido	Hombres	110591
201106	Junio 2011	50	Zaragoza	Indefinido	Mujeres	86133
201109	Septiembre 2011	22	Huesca	Indefinido	Hombres	20745
201109	Septiembre 2011	22	Huesca	Indefinido	Mujeres	16661
201109	Septiembre 2011	44	Teruel	Indefinido	Hombres	13083
201109	Septiembre 2011	44	Teruel	Indefinido	Mujeres	8959
201109	Septiembre 2011	50	Zaragoza	Indefinido	Hombres	110012
201109	Septiembre 2011	50	Zaragoza	Indefinido	Mujeres	88333
201112	Diciembre 2011	22	Huesca	Indefinido	Hombres	20749
201112	Diciembre 2011	22	Huesca	Indefinido	Mujeres	16849
201112	Diciembre 2011	44	Teruel	Indefinido	Hombres	12687
201112	Diciembre 2011	44	Teruel	Indefinido	Mujeres	8872
201112	Diciembre 2011	50	Zaragoza	Indefinido	Hombres	108321
201112	Diciembre 2011	50	Zaragoza	Indefinido	Mujeres	87498
201203	Marzo 2012	22	Huesca	Indefinido	Hombres	21135
201203	Marzo 2012	22	Huesca	Indefinido	Mujeres	16981
201203	Marzo 2012	44	Teruel	Indefinido	Hombres	12870
201203	Marzo 2012	44	Teruel	Indefinido	Mujeres	9032
201203	Marzo 2012	50	Zaragoza	Indefinido	Hombres	108117
201203	Marzo 2012	50	Zaragoza	Indefinido	Mujeres	89522
201206	Junio 2012	22	Huesca	Indefinido	Hombres	20936
201206	Junio 2012	22	Huesca	Indefinido	Mujeres	17003
201206	Junio 2012	44	Teruel	Indefinido	Hombres	12954
201206	Junio 2012	44	Teruel	Indefinido	Mujeres	9157
201206	Junio 2012	50	Zaragoza	Indefinido	Hombres	107844
201206	Junio 2012	50	Zaragoza	Indefinido	Mujeres	91044
201209	Septiembre 2012	22	Huesca	Indefinido	Hombres	20537
201209	Septiembre 2012	22	Huesca	Indefinido	Mujeres	17688
201209	Septiembre 2012	44	Teruel	Indefinido	Hombres	12708
201209	Septiembre 2012	44	Teruel	Indefinido	Mujeres	9372
201209	Septiembre 2012	50	Zaragoza	Indefinido	Hombres	106707
201209	Septiembre 2012	50	Zaragoza	Indefinido	Mujeres	95436
201212	Diciembre 2012	22	Huesca	Indefinido	Hombres	20558
201212	Diciembre 2012	22	Huesca	Indefinido	Mujeres	18019
201212	Diciembre 2012	44	Teruel	Indefinido	Hombres	12242
201212	Diciembre 2012	44	Teruel	Indefinido	Mujeres	9258
201212	Diciembre 2012	50	Zaragoza	Indefinido	Hombres	105051
201212	Diciembre 2012	50	Zaragoza	Indefinido	Mujeres	95841
201303	Marzo 2013	22	Huesca	Indefinido	Hombres	20650
201303	Marzo 2013	22	Huesca	Indefinido	Mujeres	18102
201303	Marzo 2013	44	Teruel	Indefinido	Hombres	12068
201303	Marzo 2013	44	Teruel	Indefinido	Mujeres	9265
201303	Marzo 2013	50	Zaragoza	Indefinido	Hombres	103948
201303	Marzo 2013	50	Zaragoza	Indefinido	Mujeres	95260
201306	Junio 2013	22	Huesca	Indefinido	Hombres	20483
201306	Junio 2013	22	Huesca	Indefinido	Mujeres	17497
201306	Junio 2013	44	Teruel	Indefinido	Hombres	12093
201306	Junio 2013	44	Teruel	Indefinido	Mujeres	9134
201306	Junio 2013	50	Zaragoza	Indefinido	Hombres	103335
201306	Junio 2013	50	Zaragoza	Indefinido	Mujeres	92772
201309	Septiembre 2013	22	Huesca	Indefinido	Hombres	20000
201309	Septiembre 2013	22	Huesca	Indefinido	Mujeres	17519
201309	Septiembre 2013	44	Teruel	Indefinido	Hombres	11875
201309	Septiembre 2013	44	Teruel	Indefinido	Mujeres	9155
201309	Septiembre 2013	50	Zaragoza	Indefinido	Hombres	101943
201309	Septiembre 2013	50	Zaragoza	Indefinido	Mujeres	93339
201312	Diciembre 2013	22	Huesca	Indefinido	Hombres	20195
201312	Diciembre 2013	22	Huesca	Indefinido	Mujeres	17764
201312	Diciembre 2013	44	Teruel	Indefinido	Hombres	11573
201312	Diciembre 2013	44	Teruel	Indefinido	Mujeres	9111
201312	Diciembre 2013	50	Zaragoza	Indefinido	Hombres	100937
201312	Diciembre 2013	50	Zaragoza	Indefinido	Mujeres	93665
201403	Marzo 2014	22	Huesca	Indefinido	Hombres	20326
201403	Marzo 2014	22	Huesca	Indefinido	Mujeres	17737
201403	Marzo 2014	44	Teruel	Indefinido	Hombres	11627
201403	Marzo 2014	44	Teruel	Indefinido	Mujeres	9100
201403	Marzo 2014	50	Zaragoza	Indefinido	Hombres	100862
201403	Marzo 2014	50	Zaragoza	Indefinido	Mujeres	93867
201406	Junio 2014	22	Huesca	Indefinido	Hombres	20578
201406	Junio 2014	22	Huesca	Indefinido	Mujeres	17506
201406	Junio 2014	44	Teruel	Indefinido	Hombres	11822
201406	Junio 2014	44	Teruel	Indefinido	Mujeres	8982
201406	Junio 2014	50	Zaragoza	Indefinido	Hombres	101088
201406	Junio 2014	50	Zaragoza	Indefinido	Mujeres	91645
201409	Septiembre 2014	22	Huesca	Indefinido	Hombres	20145
201409	Septiembre 2014	22	Huesca	Indefinido	Mujeres	17516
201409	Septiembre 2014	44	Teruel	Indefinido	Hombres	11718
201409	Septiembre 2014	44	Teruel	Indefinido	Mujeres	9054
201409	Septiembre 2014	50	Zaragoza	Indefinido	Hombres	100631
201409	Septiembre 2014	50	Zaragoza	Indefinido	Mujeres	92994
201412	Diciembre 2014	22	Huesca	Indefinido	Hombres	20503
201412	Diciembre 2014	22	Huesca	Indefinido	Mujeres	17859
201412	Diciembre 2014	44	Teruel	Indefinido	Hombres	11637
201412	Diciembre 2014	44	Teruel	Indefinido	Mujeres	9022
201412	Diciembre 2014	50	Zaragoza	Indefinido	Hombres	101371
201412	Diciembre 2014	50	Zaragoza	Indefinido	Mujeres	94149
201503	Marzo 2015	22	Huesca	Indefinido	Hombres	20694
