Mes y año	Mes (código)	Sexo	Número de contratos	Año	CCAA nombre
Enero 2021	202101	Hombres	19541	2021	Aragón
Diciembre 2020	202012	Hombres	17670	2020	Aragón
Noviembre 2020	202011	Hombres	20645	2020	Aragón
Octubre 2020	202010	Hombres	23412	2020	Aragón
Septiembre 2020	202009	Hombres	26195	2020	Aragón
Agosto 2020	202008	Hombres	20231	2020	Aragón
Julio 2020	202007	Hombres	26809	2020	Aragón
Junio 2020	202006	Hombres	23169	2020	Aragón
Mayo 2020	202005	Hombres	18899	2020	Aragón
Abril 2020	202004	Hombres	11588	2020	Aragón
Marzo 2020	202003	Hombres	18459	2020	Aragón
Febrero 2020	202002	Hombres	24252	2020	Aragón
Enero 2020	202001	Hombres	25144	2020	Aragón
Diciembre 2019	201912	Hombres	21759	2019	Aragón
Noviembre 2019	201911	Hombres	24434	2019	Aragón
Octubre 2019	201910	Hombres	31903	2019	Aragón
Septiembre 2019	201909	Hombres	33039	2019	Aragón
Agosto 2019	201908	Hombres	26556	2019	Aragón
Julio 2019	201907	Hombres	36154	2019	Aragón
Junio 2019	201906	Hombres	35419	2019	Aragón
Mayo 2019	201905	Hombres	37799	2019	Aragón
Abril 2019	201904	Hombres	25561	2019	Aragón
Marzo 2019	201903	Hombres	24375	2019	Aragón
Febrero 2019	201902	Hombres	22344	2019	Aragón
Enero 2019	201901	Hombres	25813	2019	Aragón
Diciembre 2018	201812	Hombres	21085	2018	Aragón
Noviembre 2018	201811	Hombres	25405	2018	Aragón
Octubre 2018	201810	Hombres	33521	2018	Aragón
Septiembre 2018	201809	Hombres	31893	2018	Aragón
Agosto 2018	201808	Hombres	29192	2018	Aragón
Julio 2018	201807	Hombres	36331	2018	Aragón
Junio 2018	201806	Hombres	37362	2018	Aragón
Mayo 2018	201805	Hombres	37279	2018	Aragón
Abril 2018	201804	Hombres	25233	2018	Aragón
Marzo 2018	201803	Hombres	23772	2018	Aragón
Febrero 2018	201802	Hombres	22841	2018	Aragón
Enero 2018	201801	Hombres	25529	2018	Aragón
Diciembre 2017	201712	Hombres	22092	2017	Aragón
Noviembre 2017	201711	Hombres	25923	2017	Aragón
Octubre 2017	201710	Hombres	31384	2017	Aragón
Septiembre 2017	201709	Hombres	33065	2017	Aragón
Agosto 2017	201708	Hombres	30386	2017	Aragón
Julio 2017	201707	Hombres	33563	2017	Aragón
Junio 2017	201706	Hombres	37915	2017	Aragón
Mayo 2017	201705	Hombres	39541	2017	Aragón
Abril 2017	201704	Hombres	25918	2017	Aragón
Marzo 2017	201703	Hombres	24946	2017	Aragón
Febrero 2017	201702	Hombres	21091	2017	Aragón
Enero 2017	201701	Hombres	22954	2017	Aragón
Diciembre 2016	201612	Hombres	21007	2016	Aragón
Noviembre 2016	201611	Hombres	24418	2016	Aragón
Octubre 2016	201610	Hombres	27559	2016	Aragón
Septiembre 2016	201609	Hombres	30968	2016	Aragón
Agosto 2016	201608	Hombres	27358	2016	Aragón
Julio 2016	201607	Hombres	31049	2016	Aragón
Junio 2016	201606	Hombres	34859	2016	Aragón
Mayo 2016	201605	Hombres	32818	2016	Aragón
Abril 2016	201604	Hombres	22846	2016	Aragón
Marzo 2016	201603	Hombres	21041	2016	Aragón
Febrero 2016	201602	Hombres	20044	2016	Aragón
Enero 2016	201601	Hombres	19492	2016	Aragón
Diciembre 2015	201512	Hombres	19085	2015	Aragón
Noviembre 2015	201511	Hombres	20884	2015	Aragón
Octubre 2015	201510	Hombres	25118	2015	Aragón
Septiembre 2015	201509	Hombres	27722	2015	Aragón
Agosto 2015	201508	Hombres	23735	2015	Aragón
Julio 2015	201507	Hombres	30391	2015	Aragón
Junio 2015	201506	Hombres	30220	2015	Aragón
Mayo 2015	201505	Hombres	29113	2015	Aragón
Abril 2015	201504	Hombres	20713	2015	Aragón
Marzo 2015	201503	Hombres	20088	2015	Aragón
Febrero 2015	201502	Hombres	17444	2015	Aragón
Enero 2015	201501	Hombres	19103	2015	Aragón
Diciembre 2014	201412	Hombres	16845	2014	Aragón
Noviembre 2014	201411	Hombres	18082	2014	Aragón
Octubre 2014	201410	Hombres	23350	2014	Aragón
Septiembre 2014	201409	Hombres	26118	2014	Aragón
Agosto 2014	201408	Hombres	21522	2014	Aragón
Julio 2014	201407	Hombres	28273	2014	Aragón
Junio 2014	201406	Hombres	27672	2014	Aragón
Mayo 2014	201405	Hombres	28205	2014	Aragón
Abril 2014	201404	Hombres	19109	2014	Aragón
Marzo 2014	201403	Hombres	16809	2014	Aragón
Febrero 2014	201402	Hombres	15362	2014	Aragón
Enero 2014	201401	Hombres	16938	2014	Aragón
Diciembre 2013	201312	Hombres	15552	2013	Aragón
Noviembre 2013	201311	Hombres	16543	2013	Aragón
Octubre 2013	201310	Hombres	22634	2013	Aragón
Septiembre 2013	201309	Hombres	22824	2013	Aragón
Agosto 2013	201308	Hombres	18680	2013	Aragón
Julio 2013	201307	Hombres	25828	2013	Aragón
Junio 2013	201306	Hombres	22083	2013	Aragón
Mayo 2013	201305	Hombres	22735	2013	Aragón
Abril 2013	201304	Hombres	15579	2013	Aragón
Marzo 2013	201303	Hombres	12704	2013	Aragón
Febrero 2013	201302	Hombres	11605	2013	Aragón
Enero 2013	201301	Hombres	14078	2013	Aragón
Diciembre 2012	201212	Hombres	12179	2012	Aragón
Noviembre 2012	201211	Hombres	14794	2012	Aragón
Octubre 2012	201210	Hombres	19362	2012	Aragón
Septiembre 2012	201209	Hombres	20407	2012	Aragón
Agosto 2012	201208	Hombres	19085	2012	Aragón
Julio 2012	201207	Hombres	22516	2012	Aragón
Junio 2012	201206	Hombres	21972	2012	Aragón
Mayo 2012	201205	Hombres	23376	2012	Aragón
Abril 2012	201204	Hombres	14116	2012	Aragón
Marzo 2012	201203	Hombres	14483	2012	Aragón
Febrero 2012	201202	Hombres	13762	2012	Aragón
Enero 2012	201201	Hombres	14251	2012	Aragón
Diciembre 2011	201112	Hombres	12809	2011	Aragón
Noviembre 2011	201111	Hombres	15609	2011	Aragón
Octubre 2011	201110	Hombres	17397	2011	Aragón
Septiembre 2011	201109	Hombres	21419	2011	Aragón
Agosto 2011	201108	Hombres	19792	2011	Aragón
Julio 2011	201107	Hombres	21241	2011	Aragón
Junio 2011	201106	Hombres	23400	2011	Aragón
Mayo 2011	201105	Hombres	24044	2011	Aragón
Abril 2011	201104	Hombres	15610	2011	Aragón
Marzo 2011	201103	Hombres	15659	2011	Aragón
Febrero 2011	201102	Hombres	13165	2011	Aragón
Enero 2011	201101	Hombres	14821	2011	Aragón
Diciembre 2010	201012	Hombres	13560	2010	Aragón
Noviembre 2010	201011	Hombres	17271	2010	Aragón
Octubre 2010	201010	Hombres	18857	2010	Aragón
Septiembre 2010	201009	Hombres	22668	2010	Aragón
Agosto 2010	201008	Hombres	17671	2010	Aragón
Julio 2010	201007	Hombres	22664	2010	Aragón
Junio 2010	201006	Hombres	21993	2010	Aragón
Mayo 2010	201005	Hombres	20636	2010	Aragón
Abril 2010	201004	Hombres	13983	2010	Aragón
Marzo 2010	201003	Hombres	15103	2010	Aragón
Febrero 2010	201002	Hombres	13185	2010	Aragón
Enero 2010	201001	Hombres	13100	2010	Aragón
Diciembre 2009	200912	Hombres	13096	2009	Aragón
Noviembre 2009	200911	Hombres	15887	2009	Aragón
Octubre 2009	200910	Hombres	19070	2009	Aragón
Septiembre 2009	200909	Hombres	21241	2009	Aragón
Agosto 2009	200908	Hombres	15594	2009	Aragón
Julio 2009	200907	Hombres	20856	2009	Aragón
Junio 2009	200906	Hombres	21716	2009	Aragón
Mayo 2009	200905	Hombres	19185	2009	Aragón
Abril 2009	200904	Hombres	13699	2009	Aragón
Marzo 2009	200903	Hombres	13392	2009	Aragón
Febrero 2009	200902	Hombres	12353	2009	Aragón
Enero 2009	200901	Hombres	12805	2009	Aragón
Diciembre 2008	200812	Hombres	11454	2008	Aragón
Noviembre 2008	200811	Hombres	14076	2008	Aragón
Octubre 2008	200810	Hombres	20315	2008	Aragón
Septiembre 2008	200809	Hombres	22606	2008	Aragón
