Mes (código)	Mes y año	Comarca código	Comarca nombre	Sexo	Afiliaciones en alta
201709	Septiembre 2017	01	La Jacetania	Hombres	37
201709	Septiembre 2017	02	Alto Gállego	Hombres	13
201709	Septiembre 2017	03	Sobrarbe	Hombres	14
201709	Septiembre 2017	04	La Ribagorza	Hombres	10
201709	Septiembre 2017	05	Cinco Villas	Hombres	62
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Hombres	97
201709	Septiembre 2017	07	Somontano de Barbastro	Hombres	50
201709	Septiembre 2017	08	Cinca Medio	Hombres	39
201709	Septiembre 2017	09	La Litera / La Llitera	Hombres	50
201709	Septiembre 2017	10	Los Monegros	Hombres	40
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Hombres	81
201709	Septiembre 2017	12	Tarazona y el Moncayo	Hombres	19
201709	Septiembre 2017	13	Campo de Borja	Hombres	26
201709	Septiembre 2017	14	Aranda	Hombres	8
201709	Septiembre 2017	15	Ribera Alta del Ebro	Hombres	56
201709	Septiembre 2017	16	Valdejalón	Hombres	80
201709	Septiembre 2017	17	D.C. Zaragoza	Hombres	1189
201709	Septiembre 2017	18	Ribera Baja del Ebro	Hombres	12
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	69
201709	Septiembre 2017	20	Comunidad de Calatayud	Hombres	64
201709	Septiembre 2017	21	Campo de Cariñena	Hombres	38
201709	Septiembre 2017	22	Campo de Belchite	Hombres	10
201709	Septiembre 2017	23	Bajo Martín	Hombres	11
201709	Septiembre 2017	24	Campo de Daroca	Hombres	12
201709	Septiembre 2017	25	Jiloca	Hombres	7
201709	Septiembre 2017	26	Cuencas Mineras	Hombres	21
201709	Septiembre 2017	27	Andorra-Sierra de Arcos	Hombres	4
201709	Septiembre 2017	28	Bajo Aragón	Hombres	50
201709	Septiembre 2017	29	Comunidad de Teruel	Hombres	80
201709	Septiembre 2017	30	Maestrazgo	Hombres	6
201709	Septiembre 2017	31	Sierra de Albarracín	Hombres	6
201709	Septiembre 2017	32	Gúdar-Javalambre	Hombres	15
201709	Septiembre 2017	33	Matarraña / Matarranya	Hombres	16
201709	Septiembre 2017	01	La Jacetania	Mujeres	27
201709	Septiembre 2017	02	Alto Gállego	Mujeres	4
201709	Septiembre 2017	03	Sobrarbe	Mujeres	13
201709	Septiembre 2017	04	La Ribagorza	Mujeres	14
201709	Septiembre 2017	05	Cinco Villas	Mujeres	18
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Mujeres	50
201709	Septiembre 2017	07	Somontano de Barbastro	Mujeres	21
201709	Septiembre 2017	08	Cinca Medio	Mujeres	25
201709	Septiembre 2017	09	La Litera / La Llitera	Mujeres	11
201709	Septiembre 2017	10	Los Monegros	Mujeres	10
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Mujeres	34
201709	Septiembre 2017	12	Tarazona y el Moncayo	Mujeres	5
201709	Septiembre 2017	13	Campo de Borja	Mujeres	10
201709	Septiembre 2017	14	Aranda	Mujeres	7
201709	Septiembre 2017	15	Ribera Alta del Ebro	Mujeres	14
201709	Septiembre 2017	16	Valdejalón	Mujeres	43
201709	Septiembre 2017	17	D.C. Zaragoza	Mujeres	762
201709	Septiembre 2017	18	Ribera Baja del Ebro	Mujeres	9
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	22
201709	Septiembre 2017	20	Comunidad de Calatayud	Mujeres	28
201709	Septiembre 2017	21	Campo de Cariñena	Mujeres	11
201709	Septiembre 2017	22	Campo de Belchite	Mujeres	2
201709	Septiembre 2017	24	Campo de Daroca	Mujeres	3
201709	Septiembre 2017	25	Jiloca	Mujeres	6
201709	Septiembre 2017	26	Cuencas Mineras	Mujeres	8
201709	Septiembre 2017	27	Andorra-Sierra de Arcos	Mujeres	6
201709	Septiembre 2017	28	Bajo Aragón	Mujeres	29
201709	Septiembre 2017	29	Comunidad de Teruel	Mujeres	36
201709	Septiembre 2017	30	Maestrazgo	Mujeres	8
201709	Septiembre 2017	31	Sierra de Albarracín	Mujeres	6
201709	Septiembre 2017	32	Gúdar-Javalambre	Mujeres	7
201709	Septiembre 2017	33	Matarraña / Matarranya	Mujeres	5
201709	Septiembre 2017	01	La Jacetania	Hombres	116
201709	Septiembre 2017	02	Alto Gállego	Hombres	108
201709	Septiembre 2017	03	Sobrarbe	Hombres	68
201709	Septiembre 2017	04	La Ribagorza	Hombres	75
201709	Septiembre 2017	05	Cinco Villas	Hombres	315
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Hombres	752
201709	Septiembre 2017	07	Somontano de Barbastro	Hombres	233
201709	Septiembre 2017	08	Cinca Medio	Hombres	290
201709	Septiembre 2017	09	La Litera / La Llitera	Hombres	238
201709	Septiembre 2017	10	Los Monegros	Hombres	201
