Comarca codigo	Comarca nombre	Explotaciones	Superficie total código	Superficie total
01	La Jacetania	18	01	Sin tierras
01	La Jacetania	1	03	0,2  a  < 0,5 Ha
01	La Jacetania	2	04	0,5  a  < 1 Ha
01	La Jacetania	25	05	1  a  < 2 Ha
01	La Jacetania	9	06	2 a < 3 Ha
01	La Jacetania	13	07	3 a < 4 Ha
01	La Jacetania	17	08	4 a < 5 Ha
01	La Jacetania	75	09	5 a < 10 Ha
01	La Jacetania	93	10	10 a <20 Ha
01	La Jacetania	67	11	20 a < 30 Ha
01	La Jacetania	86	12	30 a < 50 Ha
01	La Jacetania	57	13	50 a < 70 Ha
01	La Jacetania	67	14	70 a < 100 Ha
01	La Jacetania	52	15	100 a <150 Ha
01	La Jacetania	38	16	150 a < 200 Ha
01	La Jacetania	33	17	200 a < 300 Ha
01	La Jacetania	19	18	300 a < 500 Ha
01	La Jacetania	10	19	500 a < 1000 Ha
01	La Jacetania	8	20	1000 a < 2500 Ha
01	La Jacetania	9	21	2500 Ha
02	Alto Gállego	15	01	Sin tierras
02	Alto Gállego	2	04	0,5  a  < 1 Ha
02	Alto Gállego	8	05	1  a  < 2 Ha
02	Alto Gállego	11	06	2 a < 3 Ha
02	Alto Gállego	18	07	3 a < 4 Ha
02	Alto Gállego	11	08	4 a < 5 Ha
02	Alto Gállego	51	09	5 a < 10 Ha
02	Alto Gállego	49	10	10 a <20 Ha
02	Alto Gállego	34	11	20 a < 30 Ha
02	Alto Gállego	74	12	30 a < 50 Ha
02	Alto Gállego	25	13	50 a < 70 Ha
02	Alto Gállego	25	14	70 a < 100 Ha
02	Alto Gállego	34	15	100 a <150 Ha
02	Alto Gállego	14	16	150 a < 200 Ha
02	Alto Gállego	21	17	200 a < 300 Ha
02	Alto Gállego	23	18	300 a < 500 Ha
02	Alto Gállego	6	19	500 a < 1000 Ha
02	Alto Gállego	7	20	1000 a < 2500 Ha
02	Alto Gállego	7	21	2500 Ha
03	Sobrarbe	43	01	Sin tierras
03	Sobrarbe	1	02	0,1  a  < 0,2
03	Sobrarbe	1	03	0,2  a  < 0,5 Ha
03	Sobrarbe	1	04	0,5  a  < 1 Ha
03	Sobrarbe	17	05	1  a  < 2 Ha
03	Sobrarbe	21	06	2 a < 3 Ha
03	Sobrarbe	17	07	3 a < 4 Ha
03	Sobrarbe	13	08	4 a < 5 Ha
03	Sobrarbe	73	09	5 a < 10 Ha
03	Sobrarbe	104	10	10 a <20 Ha
03	Sobrarbe	58	11	20 a < 30 Ha
03	Sobrarbe	148	12	30 a < 50 Ha
03	Sobrarbe	80	13	50 a < 70 Ha
03	Sobrarbe	75	14	70 a < 100 Ha
03	Sobrarbe	51	15	100 a <150 Ha
03	Sobrarbe	32	16	150 a < 200 Ha
03	Sobrarbe	29	17	200 a < 300 Ha
03	Sobrarbe	17	18	300 a < 500 Ha
03	Sobrarbe	9	19	500 a < 1000 Ha
03	Sobrarbe	11	20	1000 a < 2500 Ha
03	Sobrarbe	11	21	2500 Ha
04	La Ribagorza	41	01	Sin tierras
04	La Ribagorza	1	04	0,5  a  < 1 Ha
04	La Ribagorza	41	05	1  a  < 2 Ha
04	La Ribagorza	36	06	2 a < 3 Ha
04	La Ribagorza	33	07	3 a < 4 Ha
04	La Ribagorza	24	08	4 a < 5 Ha
04	La Ribagorza	149	09	5 a < 10 Ha
04	La Ribagorza	196	10	10 a <20 Ha
04	La Ribagorza	172	11	20 a < 30 Ha
04	La Ribagorza	325	12	30 a < 50 Ha
04	La Ribagorza	133	13	50 a < 70 Ha
04	La Ribagorza	129	14	70 a < 100 Ha
04	La Ribagorza	112	15	100 a <150 Ha
04	La Ribagorza	67	16	150 a < 200 Ha
04	La Ribagorza	67	17	200 a < 300 Ha
04	La Ribagorza	28	18	300 a < 500 Ha
04	La Ribagorza	22	19	500 a < 1000 Ha
04	La Ribagorza	7	20	1000 a < 2500 Ha
04	La Ribagorza	3	21	2500 Ha
05	Cinco Villas	88	01	Sin tierras
05	Cinco Villas	2	02	0,1  a  < 0,2
05	Cinco Villas	8	03	0,2  a  < 0,5 Ha
05	Cinco Villas	13	04	0,5  a  < 1 Ha
05	Cinco Villas	158	05	1  a  < 2 Ha
05	Cinco Villas	117	06	2 a < 3 Ha
05	Cinco Villas	120	07	3 a < 4 Ha
05	Cinco Villas	97	08	4 a < 5 Ha
05	Cinco Villas	358	09	5 a < 10 Ha
05	Cinco Villas	683	10	10 a <20 Ha
05	Cinco Villas	420	11	20 a < 30 Ha
05	Cinco Villas	483	12	30 a < 50 Ha
05	Cinco Villas	257	13	50 a < 70 Ha
05	Cinco Villas	222	14	70 a < 100 Ha
05	Cinco Villas	188	15	100 a <150 Ha
05	Cinco Villas	108	16	150 a < 200 Ha
05	Cinco Villas	82	17	200 a < 300 Ha
05	Cinco Villas	60	18	300 a < 500 Ha
05	Cinco Villas	18	19	500 a < 1000 Ha
05	Cinco Villas	6	20	1000 a < 2500 Ha
05	Cinco Villas	3	21	2500 Ha
06	Hoya de Huesca / Plana de Uesca	48	01	Sin tierras
06	Hoya de Huesca / Plana de Uesca	1	02	0,1  a  < 0,2
06	Hoya de Huesca / Plana de Uesca	12	03	0,2  a  < 0,5 Ha
06	Hoya de Huesca / Plana de Uesca	27	04	0,5  a  < 1 Ha
06	Hoya de Huesca / Plana de Uesca	190	05	1  a  < 2 Ha
06	Hoya de Huesca / Plana de Uesca	111	06	2 a < 3 Ha
06	Hoya de Huesca / Plana de Uesca	96	07	3 a < 4 Ha
06	Hoya de Huesca / Plana de Uesca	79	08	4 a < 5 Ha
06	Hoya de Huesca / Plana de Uesca	292	09	5 a < 10 Ha
06	Hoya de Huesca / Plana de Uesca	315	10	10 a <20 Ha
06	Hoya de Huesca / Plana de Uesca	209	11	20 a < 30 Ha
06	Hoya de Huesca / Plana de Uesca	311	12	30 a < 50 Ha
06	Hoya de Huesca / Plana de Uesca	190	13	50 a < 70 Ha
06	Hoya de Huesca / Plana de Uesca	203	14	70 a < 100 Ha
06	Hoya de Huesca / Plana de Uesca	213	15	100 a <150 Ha
06	Hoya de Huesca / Plana de Uesca	98	16	150 a < 200 Ha
06	Hoya de Huesca / Plana de Uesca	75	17	200 a < 300 Ha
06	Hoya de Huesca / Plana de Uesca	44	18	300 a < 500 Ha
06	Hoya de Huesca / Plana de Uesca	24	19	500 a < 1000 Ha
06	Hoya de Huesca / Plana de Uesca	6	20	1000 a < 2500 Ha
06	Hoya de Huesca / Plana de Uesca	3	21	2500 Ha
07	Somontano de Barbastro	34	01	Sin tierras
07	Somontano de Barbastro	15	03	0,2  a  < 0,5 Ha
07	Somontano de Barbastro	7	04	0,5  a  < 1 Ha
07	Somontano de Barbastro	163	05	1  a  < 2 Ha
07	Somontano de Barbastro	146	06	2 a < 3 Ha
07	Somontano de Barbastro	136	07	3 a < 4 Ha
07	Somontano de Barbastro	86	08	4 a < 5 Ha
07	Somontano de Barbastro	335	09	5 a < 10 Ha
07	Somontano de Barbastro	330	10	10 a <20 Ha
07	Somontano de Barbastro	188	11	20 a < 30 Ha
07	Somontano de Barbastro	270	12	30 a < 50 Ha
07	Somontano de Barbastro	116	13	50 a < 70 Ha
07	Somontano de Barbastro	91	14	70 a < 100 Ha
07	Somontano de Barbastro	80	15	100 a <150 Ha
07	Somontano de Barbastro	37	16	150 a < 200 Ha
07	Somontano de Barbastro	28	17	200 a < 300 Ha
07	Somontano de Barbastro	15	18	300 a < 500 Ha
07	Somontano de Barbastro	5	19	500 a < 1000 Ha
07	Somontano de Barbastro	4	20	1000 a < 2500 Ha
07	Somontano de Barbastro	1	21	2500 Ha
08	Cinca Medio	45	01	Sin tierras
08	Cinca Medio	3	02	0,1  a  < 0,2
08	Cinca Medio	12	03	0,2  a  < 0,5 Ha
08	Cinca Medio	18	04	0,5  a  < 1 Ha
08	Cinca Medio	124	05	1  a  < 2 Ha
08	Cinca Medio	96	06	2 a < 3 Ha
08	Cinca Medio	79	07	3 a < 4 Ha
08	Cinca Medio	72	08	4 a < 5 Ha
08	Cinca Medio	243	09	5 a < 10 Ha
08	Cinca Medio	257	10	10 a <20 Ha
08	Cinca Medio	177	11	20 a < 30 Ha
08	Cinca Medio	183	12	30 a < 50 Ha
08	Cinca Medio	104	13	50 a < 70 Ha
08	Cinca Medio	80	14	70 a < 100 Ha
08	Cinca Medio	38	15	100 a <150 Ha
08	Cinca Medio	20	16	150 a < 200 Ha
08	Cinca Medio	19	17	200 a < 300 Ha
08	Cinca Medio	11	18	300 a < 500 Ha
08	Cinca Medio	3	19	500 a < 1000 Ha
09	La Litera / La Llitera	74	01	Sin tierras
09	La Litera / La Llitera	19	03	0,2  a  < 0,5 Ha
09	La Litera / La Llitera	27	04	0,5  a  < 1 Ha
09	La Litera / La Llitera	223	05	1  a  < 2 Ha
09	La Litera / La Llitera	154	06	2 a < 3 Ha
09	La Litera / La Llitera	124	07	3 a < 4 Ha
09	La Litera / La Llitera	102	08	4 a < 5 Ha
09	La Litera / La Llitera	412	09	5 a < 10 Ha
09	La Litera / La Llitera	367	10	10 a <20 Ha
09	La Litera / La Llitera	184	11	20 a < 30 Ha
