Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Comarca Código	Comarca Nombre
2017	1	1	Directores y gerentes	Mujeres	03	Sobrarbe
2017	1	1	Directores y gerentes	Hombres	04	La Ribagorza
2017	2	1	Directores y gerentes	Hombres	06	Hoya de Huesca / Plana de Uesca
2017	1	1	Directores y gerentes	Mujeres	06	Hoya de Huesca / Plana de Uesca
2017	2	1	Directores y gerentes	Hombres	07	Somontano de Barbastro
2017	1	1	Directores y gerentes	Hombres	08	Cinca Medio
2017	1	1	Directores y gerentes	Hombres	09	La Litera / La Llitera
2017	1	1	Directores y gerentes	Hombres	10	Los Monegros
2017	1	1	Directores y gerentes	Mujeres	10	Los Monegros
2017	1	1	Directores y gerentes	Hombres	11	Bajo Cinca / Baix Cinca
2017	1	1	Directores y gerentes	Mujeres	11	Bajo Cinca / Baix Cinca
2017	2	1	Directores y gerentes	Hombres	13	Campo de Borja
2017	1	1	Directores y gerentes	Mujeres	15	Ribera Alta del Ebro
2017	1	1	Directores y gerentes	Hombres	16	Valdejalón
2017	1	1	Directores y gerentes	Mujeres	16	Valdejalón
2017	19	1	Directores y gerentes	Hombres	17	D.C. Zaragoza
2017	12	1	Directores y gerentes	Mujeres	17	D.C. Zaragoza
2017	2	1	Directores y gerentes	Hombres	20	Comunidad de Calatayud
2017	2	1	Directores y gerentes	Mujeres	20	Comunidad de Calatayud
2017	1	1	Directores y gerentes	Hombres	24	Campo de Daroca
2017	1	1	Directores y gerentes	Hombres	25	Jiloca
2017	1	1	Directores y gerentes	Hombres	26	Cuencas Mineras
2017	1	1	Directores y gerentes	Hombres	27	Andorra-Sierra de Arcos
2017	1	1	Directores y gerentes	Hombres	29	Comunidad de Teruel
2017	2	1	Directores y gerentes	Mujeres	29	Comunidad de Teruel
2017	1	1	Directores y gerentes	Hombres	31	Sierra de Albarracín
2017	9	2	Técnicos y profesionales científicos e intelectuales	Hombres	01	La Jacetania
2017	8	2	Técnicos y profesionales científicos e intelectuales	Mujeres	01	La Jacetania
2017	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	02	Alto Gállego
2017	1	2	Técnicos y profesionales científicos e intelectuales	Mujeres	03	Sobrarbe
2017	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	04	La Ribagorza
2017	3	2	Técnicos y profesionales científicos e intelectuales	Mujeres	04	La Ribagorza
2017	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	05	Cinco Villas
2017	6	2	Técnicos y profesionales científicos e intelectuales	Hombres	06	Hoya de Huesca / Plana de Uesca
2017	15	2	Técnicos y profesionales científicos e intelectuales	Mujeres	06	Hoya de Huesca / Plana de Uesca
2017	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	07	Somontano de Barbastro
2017	4	2	Técnicos y profesionales científicos e intelectuales	Mujeres	07	Somontano de Barbastro
2017	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	08	Cinca Medio
2017	3	2	Técnicos y profesionales científicos e intelectuales	Mujeres	08	Cinca Medio
2017	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	09	La Litera / La Llitera
2017	2	2	Técnicos y profesionales científicos e intelectuales	Mujeres	10	Los Monegros
2017	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	11	Bajo Cinca / Baix Cinca
2017	3	2	Técnicos y profesionales científicos e intelectuales	Mujeres	11	Bajo Cinca / Baix Cinca
2017	3	2	Técnicos y profesionales científicos e intelectuales	Mujeres	12	Tarazona y el Moncayo
2017	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	13	Campo de Borja
