Mes (código)	Mes y año	Edad	Sexo	Afiliaciones en alta	'Aragón'
201003	Marzo 2010	16-19	Hombres	2196	Aragón
201003	Marzo 2010	16-19	Mujeres	1427	Aragón
201003	Marzo 2010	20-24	Hombres	15208	Aragón
201003	Marzo 2010	20-24	Mujeres	13467	Aragón
201003	Marzo 2010	25-29	Hombres	30244	Aragón
201003	Marzo 2010	25-29	Mujeres	26666	Aragón
201003	Marzo 2010	30-34	Hombres	42973	Aragón
201003	Marzo 2010	30-34	Mujeres	35330	Aragón
201003	Marzo 2010	35-39	Hombres	44637	Aragón
201003	Marzo 2010	35-39	Mujeres	34897	Aragón
201003	Marzo 2010	40-44	Hombres	42416	Aragón
201003	Marzo 2010	40-44	Mujeres	32757	Aragón
201003	Marzo 2010	45-49	Hombres	40517	Aragón
201003	Marzo 2010	45-49	Mujeres	30517	Aragón
201003	Marzo 2010	50-54	Hombres	35463	Aragón
201003	Marzo 2010	50-54	Mujeres	25485	Aragón
201003	Marzo 2010	55-59	Hombres	26784	Aragón
201003	Marzo 2010	55-59	Mujeres	16984	Aragón
201003	Marzo 2010	60-64	Hombres	19859	Aragón
201003	Marzo 2010	60-64	Mujeres	10317	Aragón
201003	Marzo 2010	65-69	Hombres	1612	Aragón
201003	Marzo 2010	65-69	Mujeres	1154	Aragón
201003	Marzo 2010	Más de 69	Hombres	382	Aragón
201003	Marzo 2010	Más de 69	Mujeres	315	Aragón
201003	Marzo 2010	Sin clasificar	Hombres	2	Aragón
201003	Marzo 2010	Sin clasificar	Mujeres	7	Aragón
201006	Junio 2010	16-19	Hombres	2729	Aragón
201006	Junio 2010	16-19	Mujeres	1777	Aragón
201006	Junio 2010	20-24	Hombres	16136	Aragón
201006	Junio 2010	20-24	Mujeres	14090	Aragón
201006	Junio 2010	25-29	Hombres	30653	Aragón
201006	Junio 2010	25-29	Mujeres	26818	Aragón
201006	Junio 2010	30-34	Hombres	43713	Aragón
201006	Junio 2010	30-34	Mujeres	35263	Aragón
201006	Junio 2010	35-39	Hombres	45631	Aragón
201006	Junio 2010	35-39	Mujeres	35030	Aragón
201006	Junio 2010	40-44	Hombres	43286	Aragón
201006	Junio 2010	40-44	Mujeres	32729	Aragón
201006	Junio 2010	45-49	Hombres	40993	Aragón
201006	Junio 2010	45-49	Mujeres	30312	Aragón
201006	Junio 2010	50-54	Hombres	35955	Aragón
201006	Junio 2010	50-54	Mujeres	25479	Aragón
201006	Junio 2010	55-59	Hombres	27054	Aragón
201006	Junio 2010	55-59	Mujeres	17061	Aragón
201006	Junio 2010	60-64	Hombres	19830	Aragón
201006	Junio 2010	60-64	Mujeres	10398	Aragón
201006	Junio 2010	65-69	Hombres	1639	Aragón
201006	Junio 2010	65-69	Mujeres	1166	Aragón
201006	Junio 2010	Más de 69	Hombres	376	Aragón
201006	Junio 2010	Más de 69	Mujeres	332	Aragón
201006	Junio 2010	Sin clasificar	Hombres	3	Aragón
201006	Junio 2010	Sin clasificar	Mujeres	4	Aragón
201009	Septiembre 2010	16-19	Hombres	2391	Aragón
201009	Septiembre 2010	16-19	Mujeres	1449	Aragón
201009	Septiembre 2010	20-24	Hombres	15270	Aragón
201009	Septiembre 2010	20-24	Mujeres	13145	Aragón
201009	Septiembre 2010	25-29	Hombres	29697	Aragón
201009	Septiembre 2010	25-29	Mujeres	26111	Aragón
201009	Septiembre 2010	30-34	Hombres	42844	Aragón
