Año	Provincia código	Provincia nombre	Saldo vegetativo	Tasa bruta de saldo vegetativo	Tasa bruta de natalidad	Tasa bruta de mortalidad	Tasa global de fecundidad	Tasa bruta de nupcialidad
2016	22	Huesca	-803	-3,65	7,82	11,47	38,01	3,13
2016	44	Teruel	-575	-4,25	7,82	12,07	38,93	2,87
2016	50	Zaragoza	-1174	-1,22	8,48	9,7	38,69	3,48
2015	22	Huesca	-856	-3,87	8,46	12,33	40,54	2,76
2015	44	Teruel	-794	-5,81	7,21	13,02	35,46	2,77
2015	50	Zaragoza	-1337	-1,39	8,81	10,2	39,74	3,43
2014	22	Huesca	-780	-3,5	7,78	11,28	36,89	3,05
2014	44	Teruel	-562	-4,06	8,02	12,08	38,87	3,12
2014	50	Zaragoza	-798	-0,83	9,06	9,88	40,26	3,21
2013	22	Huesca	-518	-2,31	8,58	10,89	40,1	2,89
2013	44	Teruel	-558	-3,98	8,01	11,99	38,27	2,92
2013	50	Zaragoza	-615	-0,63	8,88	9,51	38,93	3,42
2012	22	Huesca	-660	-2,93	8,44	11,37	38,88	3,42
2012	44	Teruel	-577	-4,07	8,01	12,08	37,84	2,98
2012	50	Zaragoza	-507	-0,52	9,19	9,71	39,74	3,62
2011	22	Huesca	-548	-2,42	8,53	10,96	38,92	2,8
2011	44	Teruel	-519	-3,62	8,34	11,96	39,04	2,77
2011	50	Zaragoza	124	0,13	9,73	9,6	41,65	3,37
2010	22	Huesca	-500	-2,21	8,8	11	39,72	2,99
2010	44	Teruel	-498	-3,45	8,18	11,63	37,89	2,89
2010	50	Zaragoza	744	0,76	10,04	9,27	42,49	3,49
2009	22	Huesca	-406	-1,79	9,14	10,93	40,81	3,07
2009	44	Teruel	-470	-3,23	8,55	11,78	39,46	2,97
2009	50	Zaragoza	670	0,69	10,02	9,33	41,96	3,74
2008	22	Huesca	-333	-1,47	9,47	10,95	41,91	3,27
2008	44	Teruel	-411	-2,81	8,5	11,31	39,21	3,11
2008	50	Zaragoza	1021	1,06	10,67	9,61	44,28	4,04
2007	22	Huesca	-446	-2,01	8,76	10,77	38,6	3,59
2007	44	Teruel	-458	-3,16	8,51	11,67	39,27	3,33
2007	50	Zaragoza	482	0,51	10,27	9,76	42,35	4,31
2006	22	Huesca	-537	-2,46	8,69	11,15	38,3	3,79
2006	44	Teruel	-535	-3,76	7,99	11,75	36,91	3,45
2006	50	Zaragoza	363	0,39	10,02	9,63	41,19	4,62
2005	22	Huesca	-782	-3,62	8,34	11,96	36,75	3,7
2005	44	Teruel	-624	-4,45	7,94	12,39	36,83	3,8
2005	50	Zaragoza	-648	-0,71	9,6	10,31	39,28	4,8
2004	22	Huesca	-603	-2,83	8,65	11,48	38,08	4,07
2004	44	Teruel	-556	-4,01	7,77	11,78	36,27	3,7
2004	50	Zaragoza	-558	-0,62	9,56	10,19	39	5,05
2003	22	Huesca	-887	-4,21	7,84	12,06	34,49	3,67
2003	44	Teruel	-772	-5,6	7,22	12,82	33,77	4,23
2003	50	Zaragoza	-1037	-1,17	9,46	10,63	38,44	4,94
