Año	Salario Retribución	Salario Perceptores	Salario medio anual	Pensión Retribución	Pensión Perceptores	Pensión media por persona	Desempleo Retribución	Desempleo Perceptores	Desempleo medio por percepción	CCAA
1999	6246964656	468533	13333	2078017291	287146	7237	129432984	62163	2082	Aragón
2000	6831673103	490401	13931	2181018866	288646	7556	128720690	55700	2311	Aragón
2001	7381079290	506400	14576	2358109739	290655	8113	153695220	68133	2256	Aragón
2002	7872301417	518304	15189	2450938892	291674	8403	170076954	65130	2611	Aragón
2003	8516067490	535687	15897	2601440250	289836	8976	175105654	67139	2608	Aragón
2004	8992628727	539066	16682	2711200242	284819	9519	179695412	72333	2484	Aragón
2005	9715643991	570683	17025	2909185296	287705	10112	193317897	67985	2844	Aragón
2006	10620443746	592062	17938	3141940000	290555	10814	213090000	71836	2966	Aragón
2007	11621337603	612120	18985	3278664000	297128	11035	226189000	75769	2985	Aragón
2008	12388667131	624119	19850	3587787000	306237	11716	322846000	104033	3103	Aragón
2009	11728821864	595187	19706	3724293000	309144	12047	595478000	151329	3935	Aragón
2010	11517840379	584738	19697	3895721000	311319	12514	604868000	157975	3829	Aragón
