Comarca código	Comarca nombre	Ocupacion (1 dígito) código	Ocupación (1 dígito) descripción	Sexo	Personas residentes viviendas familiares
01	La Jacetania	0	Fuerzas armadas	Hombres	248
01	La Jacetania	0	Fuerzas armadas	Mujeres	22
01	La Jacetania	1	Dirección de las empresas y de las administraciones públicas	Hombres	510
01	La Jacetania	1	Dirección de las empresas y de las administraciones públicas	Mujeres	348
01	La Jacetania	2	Técnicos y profesionales científicos e intelectuales	Hombres	366
01	La Jacetania	2	Técnicos y profesionales científicos e intelectuales	Mujeres	409
01	La Jacetania	3	Técnicos y profesionales de apoyo	Hombres	419
01	La Jacetania	3	Técnicos y profesionales de apoyo	Mujeres	266
01	La Jacetania	4	Empleados de tipo administrativo	Hombres	207
01	La Jacetania	4	Empleados de tipo administrativo	Mujeres	350
01	La Jacetania	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	413
01	La Jacetania	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	718
01	La Jacetania	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	438
01	La Jacetania	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	39
01	La Jacetania	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	1013
01	La Jacetania	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	74
01	La Jacetania	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	413
01	La Jacetania	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	57
01	La Jacetania	9	Trabajadores no cualificados	Hombres	370
01	La Jacetania	9	Trabajadores no cualificados	Mujeres	322
02	Alto Gállego	0	Fuerzas armadas	Hombres	39
02	Alto Gállego	0	Fuerzas armadas	Mujeres	5
02	Alto Gállego	1	Dirección de las empresas y de las administraciones públicas	Hombres	348
02	Alto Gállego	1	Dirección de las empresas y de las administraciones públicas	Mujeres	223
02	Alto Gállego	2	Técnicos y profesionales científicos e intelectuales	Hombres	236
02	Alto Gállego	2	Técnicos y profesionales científicos e intelectuales	Mujeres	274
02	Alto Gállego	3	Técnicos y profesionales de apoyo	Hombres	279
02	Alto Gállego	3	Técnicos y profesionales de apoyo	Mujeres	245
02	Alto Gállego	4	Empleados de tipo administrativo	Hombres	153
02	Alto Gállego	4	Empleados de tipo administrativo	Mujeres	236
02	Alto Gállego	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	232
02	Alto Gállego	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	446
02	Alto Gállego	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	183
02	Alto Gállego	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	21
02	Alto Gállego	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	893
02	Alto Gállego	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	35
02	Alto Gállego	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	595
02	Alto Gállego	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	131
02	Alto Gállego	9	Trabajadores no cualificados	Hombres	248
02	Alto Gállego	9	Trabajadores no cualificados	Mujeres	210
03	Sobrarbe	0	Fuerzas armadas	Hombres	3
03	Sobrarbe	0	Fuerzas armadas	Mujeres	1
03	Sobrarbe	1	Dirección de las empresas y de las administraciones públicas	Hombres	244
03	Sobrarbe	1	Dirección de las empresas y de las administraciones públicas	Mujeres	157
03	Sobrarbe	2	Técnicos y profesionales científicos e intelectuales	Hombres	119
03	Sobrarbe	2	Técnicos y profesionales científicos e intelectuales	Mujeres	144
03	Sobrarbe	3	Técnicos y profesionales de apoyo	Hombres	144
03	Sobrarbe	3	Técnicos y profesionales de apoyo	Mujeres	66
03	Sobrarbe	4	Empleados de tipo administrativo	Hombres	94
03	Sobrarbe	4	Empleados de tipo administrativo	Mujeres	118
03	Sobrarbe	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	168
03	Sobrarbe	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	252
03	Sobrarbe	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	390
03	Sobrarbe	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	40
03	Sobrarbe	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	402
03	Sobrarbe	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	19
03	Sobrarbe	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	162
03	Sobrarbe	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	15
03	Sobrarbe	9	Trabajadores no cualificados	Hombres	155
03	Sobrarbe	9	Trabajadores no cualificados	Mujeres	93
04	La Ribagorza	0	Fuerzas armadas	Hombres	17
04	La Ribagorza	0	Fuerzas armadas	Mujeres	3
04	La Ribagorza	1	Dirección de las empresas y de las administraciones públicas	Hombres	376
04	La Ribagorza	1	Dirección de las empresas y de las administraciones públicas	Mujeres	227
04	La Ribagorza	2	Técnicos y profesionales científicos e intelectuales	Hombres	209
04	La Ribagorza	2	Técnicos y profesionales científicos e intelectuales	Mujeres	274
04	La Ribagorza	3	Técnicos y profesionales de apoyo	Hombres	224
04	La Ribagorza	3	Técnicos y profesionales de apoyo	Mujeres	184
04	La Ribagorza	4	Empleados de tipo administrativo	Hombres	158
04	La Ribagorza	4	Empleados de tipo administrativo	Mujeres	206
04	La Ribagorza	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	189
04	La Ribagorza	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	364
04	La Ribagorza	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	669
04	La Ribagorza	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	84
04	La Ribagorza	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	636
04	La Ribagorza	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	78
04	La Ribagorza	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	335
04	La Ribagorza	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	77
04	La Ribagorza	9	Trabajadores no cualificados	Hombres	249
04	La Ribagorza	9	Trabajadores no cualificados	Mujeres	178
05	Cinco Villas	0	Fuerzas armadas	Hombres	36
05	Cinco Villas	0	Fuerzas armadas	Mujeres	9
05	Cinco Villas	1	Dirección de las empresas y de las administraciones públicas	Hombres	572
05	Cinco Villas	1	Dirección de las empresas y de las administraciones públicas	Mujeres	358
05	Cinco Villas	2	Técnicos y profesionales científicos e intelectuales	Hombres	402
05	Cinco Villas	2	Técnicos y profesionales científicos e intelectuales	Mujeres	563
05	Cinco Villas	3	Técnicos y profesionales de apoyo	Hombres	488
05	Cinco Villas	3	Técnicos y profesionales de apoyo	Mujeres	413
05	Cinco Villas	4	Empleados de tipo administrativo	Hombres	313
05	Cinco Villas	4	Empleados de tipo administrativo	Mujeres	443
05	Cinco Villas	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	515
05	Cinco Villas	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	838
05	Cinco Villas	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	1900
05	Cinco Villas	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	110
05	Cinco Villas	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	2305
05	Cinco Villas	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	284
05	Cinco Villas	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	1444
