Año	Comarca código	Comarca nombre	Contenedores de papel y cartón	Kg recogidos papel y cartón
2007	01	La Jacetania	173	
2007	02	Alto Gállego	308	
2007	03	Sobrarbe	52	
2007	04	La Ribagorza	13	
2007	05	Cinco Villas	88	
2007	06	Hoya de Huesca / Plana de Uesca	510	
2007	07	Somontano de Barbastro	37	
2007	08	Cinca Medio	47	
2007	09	La Litera / La Llitera	78	
2007	10	Los Monegros	305	
2007	11	Bajo Cinca / Baix Cinca	53	
2007	12	Tarazona y el Moncayo	107	
2007	13	Campo de Borja	235	
2007	14	Aranda	15	
2007	15	Ribera Alta del Ebro	244	
2007	16	Valdejalón	65	
2007	17	D.C. Zaragoza	1587	
2007	18	Ribera Baja del Ebro	35	
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	40	
2007	20	Comunidad de Calatayud	175	
2007	21	Campo de Cariñena	54	
2007	22	Campo de Belchite	28	
2007	23	Bajo Martín	82	
2007	24	Campo de Daroca	42	
2007	25	Jiloca	18	
2007	26	Cuencas Mineras	15	
2007	27	Andorra-Sierra de Arcos	29	
2007	28	Bajo Aragón	47	
2007	29	Comunidad de Teruel	179	
2007	30	Maestrazgo	1	
2007	31	Sierra de Albarracín	3	
2007	32	Gúdar-Javalambre	1	
2007	33	Matarraña / Matarranya	99	
2009	01	La Jacetania	164	
2009	02	Alto Gállego	101	
2009	03	Sobrarbe	57	
2009	04	La Ribagorza	41	
2009	05	Cinco Villas	254	
2009	06	Hoya de Huesca / Plana de Uesca	558	
2009	07	Somontano de Barbastro	55	
2009	08	Cinca Medio	83	
2009	09	La Litera / La Llitera	74	
2009	10	Los Monegros	248	
2009	11	Bajo Cinca / Baix Cinca	82	
2009	12	Tarazona y el Moncayo	113	
2009	13	Campo de Borja	200	
2009	14	Aranda	11	
2009	15	Ribera Alta del Ebro	258	
2009	16	Valdejalón	115	
2009	17	D.C. Zaragoza	1831	
2009	18	Ribera Baja del Ebro	41	
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	44	
2009	20	Comunidad de Calatayud	241	
2009	21	Campo de Cariñena	68	
2009	22	Campo de Belchite	72	
2009	23	Bajo Martín	172	
2009	24	Campo de Daroca	64	
2009	25	Jiloca	43	
2009	26	Cuencas Mineras	107	
2009	27	Andorra-Sierra de Arcos	87	
2009	28	Bajo Aragón	172	
2009	29	Comunidad de Teruel	232	
2009	30	Maestrazgo	42	
2009	31	Sierra de Albarracín	35	
2009	32	Gúdar-Javalambre	139	
2009	33	Matarraña / Matarranya	94	
2010	01	La Jacetania	187	
2010	02	Alto Gállego	105	
2010	03	Sobrarbe	62	
2010	04	La Ribagorza	323	
2010	05	Cinco Villas	246	
2010	06	Hoya de Huesca / Plana de Uesca	580	
2010	07	Somontano de Barbastro	55	
2010	08	Cinca Medio	82	
2010	09	La Litera / La Llitera	79	
2010	10	Los Monegros	269	
2010	11	Bajo Cinca / Baix Cinca	90	
2010	12	Tarazona y el Moncayo	119	
2010	13	Campo de Borja	242	
2010	14	Aranda	14	
2010	15	Ribera Alta del Ebro	357	
2010	16	Valdejalón	109	
2010	17	D.C. Zaragoza	1973	
2010	18	Ribera Baja del Ebro	56	
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	45	
2010	20	Comunidad de Calatayud	195	
2010	21	Campo de Cariñena	54	
2010	22	Campo de Belchite	48	
2010	23	Bajo Martín	173	
2010	24	Campo de Daroca	46	
2010	25	Jiloca	26	
2010	26	Cuencas Mineras	64	
2010	27	Andorra-Sierra de Arcos	29	
2010	28	Bajo Aragón	178	
2010	29	Comunidad de Teruel	190	
2010	30	Maestrazgo	54	
2010	31	Sierra de Albarracín	41	
2010	32	Gúdar-Javalambre	152	
2010	33	Matarraña / Matarranya	99	
2012	01	La Jacetania	207	502056,32
2012	02	Alto Gállego	322	410401,39
2012	03	Sobrarbe	65	175670
2012	04	La Ribagorza	378	345257
2012	05	Cinco Villas	99	273680,01
2012	06	Hoya de Huesca / Plana de Uesca	567	1865219,3
2012	07	Somontano de Barbastro	47	307989,98
2012	08	Cinca Medio	132	346084,99
2012	09	La Litera / La Llitera	78	426245,01
2012	10	Los Monegros	356	447479,99
2012	11	Bajo Cinca / Baix Cinca	90	325850,01
2012	12	Tarazona y el Moncayo	120	270020,01
2012	13	Campo de Borja	242	445881
2012	14	Aranda	14	39480
2012	15	Ribera Alta del Ebro	339	512359,98
2012	16	Valdejalón	102	245259,2
2012	17	D.C. Zaragoza	2054	15967053,63
2012	18	Ribera Baja del Ebro	50	91057,02
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	50	124684,99
2012	20	Comunidad de Calatayud	193	380988,05
2012	21	Campo de Cariñena	54	141215,01
