Año	Municipio código	Municipio nombre	Tipo de presupuesto	Estado de la información	Total gastos	Gastos de personal	Gastos en bienes corrientes y servicios	Gastos financieros	Transferencias corrientes	Inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros	Gastos, fondo de contingencia
2004	22060	Binaced	Presupuestos	Consolidada	1027460,83	224440,6	370500	4650	38600	371179,79	0	0	18090,44	
2004	22061	Binéfar	Presupuestos	Consolidada	8503119,85	2095361,2	1920602,25	173285,25	257262,1	3389737,43	2240,02	0	664631,6	
2004	22062	Bisaurri	Presupuestos	Consolidada	217684	46250	102750	150	25329	43205	0	0	0	
2004	22063	Biscarrués	Presupuestos	Consolidada	154647	15067,81	61196,77	1371,31	20000,99	51000	0	0	6010,12	
2004	22064	Blecua y Torres	Presupuestos	Consolidada	507208	44235	52954	1500	13180	395339	0	0	0	
2004	22066	Boltaña	Presupuestos	Consolidada	2460263,49	307998,14	364842,53	23923,95	76602,18	1356941,47	0	0	329955,22	
2004	22067	Bonansa	Presupuestos	Sin información										
2004	22068	Borau	Presupuestos	Sin información										
2004	22069	Broto	Presupuestos	Consolidada	1244071,32	87202,02	261826,64	9581,01	36321,21	824608	0	0	24532,44	
2004	22072	Caldearenas	Presupuestos	Consolidada	552509,29	117500	82209,29	6000	17400	320400	0	0	9000	
2004	22074	Campo	Presupuestos	Consolidada	1000696,77	122800	316367,02	19070	50554,3	280215	120202,42	0	91488,03	
2004	22075	Camporrells	Presupuestos	Consolidada	652608,49	29650,23	112746,94	4655,52	12365,45	459362,76	0	0	33827,59	
2004	22076	Canal de Berdún	Presupuestos	Consolidada	577840	77550	279426	300	20000	200264	0	0	300	
2004	22077	Candasnos	Presupuestos	Sin información										
2004	22078	Canfranc	Presupuestos	Consolidada	1545745,21	372533,46	226583,55	3200	80358,46	826847,52	30000	0	6222,22	
2004	22079	Capdesaso	Presupuestos	Consolidada	177988,37	17924,09	100145,73	1456,78	3614,15	54847,62	0	0	0	
2004	22080	Capella	Presupuestos	Consolidada	210740	43240	83600	2900	18000	54800	0	0	8200	
2004	22081	Casbas de Huesca	Presupuestos	Consolidada	507625	33905,16	81048	500	35966	350005,84	4000	0	2200	
2004	22082	Castejón del Puente	Presupuestos	Consolidada	818639,11	151235,89	145347,74	955	18746,63	499228,59	0	0	3125,26	
2004	22083	Castejón de Monegros	Presupuestos	Consolidada	622820,45	107251	198486	15963,85	28589,52	231000	0	0	41530,08	
2004	22084	Castejón de Sos	Presupuestos	Consolidada	2017494	604538	450905	4300	74337	864144	0	0	19270	
2004	22085	Castelflorite	Presupuestos	Consolidada	121730	16300	43790	1950	14300	40600	0	0	4790	
2004	22086	Castiello de Jaca	Presupuestos	Consolidada	472777,38	68394,93	102875,14	631,42	19416,78	281459,11	0	0	0	
2004	22087	Castigaleu	Presupuestos	Consolidada	88700	10239	38301	0	4000	36160	0	0	0	
2004	22088	Castillazuelo	Presupuestos	Consolidada	273414,79	48182,2	57014,4	30,05	13044,62	151537,45	0	0	3606,07	
2004	22089	Castillonroy	Presupuestos	Consolidada	374610	51000	153600	1200	12200	150010	0	0	6600	
2004	22090	Colungo	Presupuestos	Consolidada	219265,72	2100	31716,34	1000	24938,13	159511,25	0	0	0	
2004	22094	Chalamera	Presupuestos	Sin información										
2004	22095	Chía	Presupuestos	Consolidada	133340	11370	67804	1500	7444	13200	28122	0	3900	
2004	22096	Chimillas	Presupuestos	Consolidada	177000	34000	55000	0	3500	84500	0	0	0	
2004	22099	Esplús	Presupuestos	Consolidada	559291,46	162511,57	206322,24	1844	29862	140251,65	0	0	18500	
2004	22102	Estada	Presupuestos	Consolidada	210000	25858,17	58561,15	0	9000	116580,68	0	0	0	
2004	22103	Estadilla	Presupuestos	Consolidada	1500900	224840,89	1122421,85	3500	7600	89892,56	0	0	52644,7	
2004	22105	Estopiñán del Castillo	Presupuestos	Consolidada	555684,82	56200	153142,06	7700	6500	315892,76	0	2500	13750	
2004	22106	Fago	Presupuestos	Consolidada	686307,6	10129,6	39075	500	2900	596303	0	37000	400	
2004	22107	Fanlo	Presupuestos	Consolidada	479152	14910	47500	0	2100	414642	0	0	0	
2004	22109	Fiscal	Presupuestos	Consolidada	734680,34	95409,33	117792	12851	24501	479627,01	0	0	4500	
2004	22110	Fonz	Presupuestos	Consolidada	1061175	201950	304286	11100	0	503600	4000	0	36239	
2004	22111	Foradada del Toscar	Presupuestos	Consolidada	122668,37	25193,89	47474,48	0	0	50000	0	0	0	
2004	22112	Fraga	Presupuestos	Consolidada	14732800	3890700	2786671	259370	880929	6101800	0	0	813330	
2004	22113	Fueva (La)	Presupuestos	Consolidada	2402722,53	32300	383269,97	14400	58150	1414300	4400	0	495902,56	
2004	22114	Gistaín	Presupuestos	Consolidada	248377,77	17367,17	64737,05	639,49	21225,92	144408,14	0	0	0	
2004	22115	Grado (El)	Presupuestos	Consolidada	697730	155800	205680	12250	32950	240200	2400	0	48450	
2004	22116	Grañén	Presupuestos	Consolidada	1419686,12	366340	270078,27	36830	138493	479098,85	0	0	128846	
2004	22117	Graus	Presupuestos	Consolidada	5692116	1222588	1274003	51709	291450	1891575	3444	744805	212542	
2004	22119	Gurrea de Gállego	Presupuestos	Consolidada	1616010	276300	338600	97610	227300	618700	0	0	57500	
2004	22122	Hoz de Jaca	Presupuestos	Consolidada	219506,43	6300	74973	0	2854	135379,43	0	0	0	
2004	22124	Huerto	Presupuestos	Consolidada	242403	47400	96294	4056	16653	78000	0	0	0	
2004	22125	Huesca	Presupuestos	Consolidada	44219723,1	13769068,06	11418011	900000	1859594,94	11665314,76	352000	27000	4228734,34	
2004	22126	Ibieca	Presupuestos	Consolidada	168040	10950	29910	400	13700	113080	0	0	0	
2004	22127	Igriés	Presupuestos	Consolidada	275900	53000	116800	1100	5000	100000	0	0	0	
2004	22128	Ilche	Presupuestos	Consolidada	200535	46120	85460	2105	15250	45600	0	0	6000	
2004	22129	Isábena	Presupuestos	Consolidada	461951,25	44534,9	58445,22	1576,17	7620	341051,73	0	0	8723,23	
2004	22130	Jaca	Presupuestos	Consolidada	21793000	5866085,76	4060976,64	383479,09	734290,78	9125733,65	49217,71	0	1573216,37	
2004	22131	Jasa	Presupuestos	Consolidada	145108	19633	38275	50	1050	86100	0	0	0	
2004	22133	Labuerda	Presupuestos	Consolidada	369784,97	39947,8	48457,46	430,56	14701,51	253171,24	12000	0	1076,4	
2004	22135	Laluenga	Presupuestos	Consolidada	643467,81	23500	130260	2571	15210	412438,16	0	0	59488,65	
2004	22136	Lalueza	Presupuestos	Consolidada	773122,4	178705,71	203784	11635,93	104300	240458,55	12000	0	22238,21	
2004	22137	Lanaja	Presupuestos	Consolidada	838467	247184,63	311241,21	4000	55100	219725,29	1215,87	0	0	
2004	22139	Laperdiguera	Presupuestos	Consolidada	555514,92	9530	66234	901	6000	469249,92	0	0	3600	
2004	22141	Lascellas-Ponzano	Presupuestos	Consolidada	922343,52	14661	71716	1546	6420	820797,59	0	0	7202,93	
2004	22142	Lascuarre	Presupuestos	Consolidada	122270	27470	46200	300	9000	34600	0	0	4700	
2004	22143	Laspaúles	Presupuestos	Consolidada	480300	135235	57115	4350	24300	247200	0	0	12100	
2004	22144	Laspuña	Presupuestos	Consolidada	451220,52	66000	162100	9000	13850	182240	0	0	18030,52	
2004	22149	Loarre	Presupuestos	Consolidada	902114,92	85772,91	81042	9200	30003	670996,01	101	0	25000	
2004	22150	Loporzano	Presupuestos	Consolidada	972395,57	77062	159781,07	900	12450	718575,39	0	0	3627,11	
2004	22151	Loscorrales	Presupuestos	Consolidada	99880	11080	38700	1320	3550	43205	0	0	2025	
2004	22155	Monesma y Cajigar	Presupuestos	Consolidada	75000	10719	29981	0	3000	31300	0	0	0	
2004	22156	Monflorite-Lascasas	Presupuestos	Consolidada	291950	41610	48640	1500	24700	169400	0	0	6100	
2004	22157	Montanuy	Presupuestos	Sin información										
2004	22158	Monzón	Presupuestos	Consolidada	13529948,92	5016205,76	3507763,22	397636,1	287397,04	3244846,8	25000	0	1051100	
2004	22160	Naval	Presupuestos	Consolidada	923704	89800	157370	1500	35200	632734	0	0	7100	
2004	22162	Novales	Presupuestos	Sin información										
2004	22163	Nueno	Presupuestos	Consolidada	661518	70100	191206	500	46342	353370	0	0	0	
2004	22164	Olvena	Presupuestos	Consolidada	1641463,3	3396,95	169256,14	400	7500	1460910,21	0	0	0	
2004	22165	Ontiñena	Presupuestos	Consolidada	599965,45	81993,88	175213,15	4200	73718,06	257021,36	0	0	7819	
2004	22167	Osso de Cinca	Presupuestos	Consolidada	645950,5	69000	216720,09	5371,71	92500	251337,64	0	0	11021,06	
2004	22168	Palo	Presupuestos	Consolidada	400922,37	3800	43000	13489,03	19000	103550	0	0	218083,34	
2004	22170	Panticosa	Presupuestos	Consolidada	2149656	320000	502650	3900	19306	1279800	0	0	24000	
2004	22172	Peñalba	Presupuestos	Consolidada	573699,8	115579,64	251950,46	175,01	60606,62	145388,07	0	0	0	
2004	22173	Peñas de Riglos (Las)	Presupuestos	Consolidada	479065,64	3150	78412,14	1000	30500	366003,5	0	0	0	
2004	22174	Peralta de Alcofea	Presupuestos	Consolidada	640767,41	89917,7	193347,34	5725,77	31946,24	299563,36	0	0	20267	
2004	22175	Peralta de Calasanz	Presupuestos	Consolidada	309193	53501	64519	1991	16054	164940	0	0	8188	
2004	22176	Peraltilla	Presupuestos	Consolidada	435800	27900	41940	2000	5660	350000	0	0	8300	
2004	22177	Perarrúa	Presupuestos	Consolidada	1107823,44	2223,75	38616,11	600	14750	1033812,85	0	0	17820,73	
2004	22178	Pertusa	Presupuestos	Consolidada	386659,4	27402	47911,37	1500,01	5734,87	299926,15	0	0	4185	
2004	22181	Piracés	Presupuestos	Consolidada	154216,31	10344,4	34849,99	1171,97	3296,54	104553,41	0	0	0	
2004	22182	Plan	Presupuestos	Consolidada	408534,82	81452,29	134811,29	4434,6	35642,09	152194,55	0	0	0	
2004	22184	Poleñino	Presupuestos	Consolidada	431225,47	46882,61	105300	3500	13200	247800	0	0	14542,86	
2004	22186	Pozán de Vero	Presupuestos	Consolidada	244659,42	53189,43	53813,52	775,72	9037,98	124236,7	0	0	3606,07	
2004	22187	Puebla de Castro (La)	Presupuestos	Consolidada	408555,45	75521,45	142090,91	3877,17	24420,25	159139,65	0	0	3506,02	
2004	22188	Puente de Montañana	Presupuestos	Sin información										
2004	22189	Puértolas	Presupuestos	Consolidada	1098088,31	0	76200	9450	12200	855238,31	0	0	145000	
2004	22190	Pueyo de Araguás (El)	Presupuestos	Consolidada	395031,96	42615,51	66639,64	215,28	13746,46	269662,27	0	0	2152,8	
2004	22193	Pueyo de Santa Cruz	Presupuestos	Consolidada	371047	47329	73980	1210	3050	241053	0	0	4425	
2004	22195	Quicena	Presupuestos	Consolidada	149171,83	26614,07	64002,86	2500	13408,1	42462,93	0	0	183,87	
2004	22197	Robres	Presupuestos	Consolidada	389660	97100	84850	2600	45300	153200	0	0	6610	
2004	22199	Sabiñánigo	Presupuestos	Consolidada	9924790	2981505	2250223	137000	322201	3165396	557177	12000	499288	
2004	22200	Sahún	Presupuestos	Sin información										
2004	22201	Salas Altas	Presupuestos	Consolidada	372100	47600	83000	0	43600	197900	0	0	0	
2004	22202	Salas Bajas	Presupuestos	Consolidada	370054	26950	61100	3000	15004	264000	0	0	0	
2004	22203	Salillas	Presupuestos	Sin información										
2004	22204	Sallent de Gállego	Presupuestos	Consolidada	2247182,47	608037,22	578160	20975,95	242653,74	711496,46	11660	0	74199,1	
2004	22205	San Esteban de Litera	Presupuestos	Consolidada	647000	88000	283187	1203	15759	248033	0	0	10818	
2004	22206	Sangarrén	Presupuestos	Consolidada	375000	53050	91560	4160	13610	203120	2500	0	7000	
2004	22207	San Juan de Plan	Presupuestos	Consolidada	160145,16	7900,52	42994,35	161,77	18020,91	91067,61	0	0	0	
2004	22208	Santa Cilia	Presupuestos	Sin información										
2004	22209	Santa Cruz de la Serós	Presupuestos	Sin información										
2004	22212	Santaliestra y San Quílez	Presupuestos	Consolidada	65513,89	13063	22450,89	0	0	30000	0	0	0	
2004	22213	Sariñena	Presupuestos	Consolidada	3336497,94	1145992,2	1371878,05	105102,53	216024,03	316390	0	0	181111,13	
2004	22214	Secastilla	Presupuestos	Sin información										
2004	22215	Seira	Presupuestos	Consolidada	744680	66567	165217	5200	21722	481974	0	0	4000	
2004	22217	Sena	Presupuestos	Consolidada	298580	63400	147000	2000	21200	56980	0	0	8000	
2004	22218	Senés de Alcubierre	Presupuestos	Consolidada	136771	7508	25613	90	2350	101210	0	0	0	
2004	22220	Sesa	Presupuestos	Sin información										
2004	22221	Sesué	Presupuestos	Consolidada	552100	70300	56375	1625	21100	396100	0	0	6600	
2004	22222	Siétamo	Presupuestos	Consolidada	507807,94	148027,78	81807,61	1500	20000	255420,78	0	0	1051,77	
2004	22223	Sopeira	Presupuestos	Consolidada	542000	37920	96060	550	10935	277335	0	118000	1200	
2004	22225	Tamarite de Litera	Presupuestos	Consolidada	3981863,35	775057	844820,11	78670,95	154488,6	1810838,44	5258,86	0	312729,39	
2004	22226	Tardienta	Presupuestos	Consolidada	1190807	225355	322143	2980	65938	532225	0	0	42166	
2004	22227	Tella-Sin	Presupuestos	Sin información										
2004	22228	Tierz	Presupuestos	Consolidada	243479,93	33100	32397,09	1201,02	10600	166000	0	0	181,82	
2004	22229	Tolva	Presupuestos	Sin información										
2004	22230	Torla-Ordesa	Presupuestos	Consolidada	1017563	26505	110300	0	15900	864858	0	0	0	
2004	22232	Torralba de Aragón	Presupuestos	Consolidada	329300	17950	47400	1000	6050	252900	0	0	4000	
2004	22233	Torre la Ribera	Presupuestos	Consolidada	1152514,39	29267,41	48526,69	1861	4524,25	1063598,09	0	0	4736,95	
2004	22234	Torrente de Cinca	Presupuestos	Consolidada	614701,53	155551,52	250074,31	17668,22	38432	122300	0	0	30675,48	
2004	22235	Torres de Alcanadre	Presupuestos	Consolidada	162568,01	11507,05	33852,35	1168,11	11906,61	102172,06	0	0	1961,83	
2004	22236	Torres de Barbués	Presupuestos	Consolidada	224731,97	33010,47	68599,92	480,81	34640,77	88000	0	0	0	
2004	22239	Tramaced	Presupuestos	Consolidada	254858,89	20945,32	50410,08	723,4	2589,04	173658,92	0	0	6532,13	
2004	22242	Valfarta	Presupuestos	Consolidada	159123,5	7655,27	48311,16	101	4087,24	98968,83	0	0	0	
2004	22243	Valle de Bardají	Presupuestos	Sin información										
2004	22244	Valle de Lierp	Presupuestos	Sin información										
2004	22245	Velilla de Cinca	Presupuestos	Consolidada	274909,89	48895,2	128706,88	1060	22315,12	73932,69	0	0	0	
2004	22246	Beranuy	Presupuestos	Consolidada	1148815	12695,13	22093,62	320	4648,75	1109057,5	0	0	0	
2004	22247	Viacamp y Litera	Presupuestos	Sin información										
2004	22248	Vicién	Presupuestos	Consolidada	190285,34	17253,14	40098,86	601,01	1762,83	125734,65	0	0	4834,85	
2004	22249	Villanova	Presupuestos	Consolidada	168000	42600	44200	1500	15500	64200	0	0	0	
2004	22250	Villanúa	Presupuestos	Sin información										
2004	22251	Villanueva de Sigena	Presupuestos	Consolidada	492250	52500	173500	600	21100	244550	0	0	0	
2004	22252	Yebra de Basa	Presupuestos	Consolidada	388230	25900	39723	250	4600	317757	0	0	0	
2004	22253	Yésero	Presupuestos	Consolidada	454007	9871	29570	0	2510	412056	0	0	0	
2004	22254	Zaidín	Presupuestos	Consolidada	1382580,68	254464,66	376583,27	6399,52	61606,63	656100,69	12000	0	15425,91	
2004	22901	Valle de Hecho	Presupuestos	Consolidada	862900	201000	474650	13600	68600	104950	0	0	100	
2004	22902	Puente la Reina de Jaca	Presupuestos	Sin información										
2004	22903	San Miguel del Cinca	Presupuestos	Consolidada	1032361	87201	203870	8430	39800	671360	0	0	21700	
2004	22904	Sotonera (La)	Presupuestos	Consolidada	690480,4	160104,74	295192,26	11100	33669	134513,28	6010,12	0	49891	
2004	22905	Lupiñén-Ortilla	Presupuestos	Consolidada	391035	44080	145580	14675	13900	152600	0	0	20200	
2004	22906	Santa María de Dulcis	Presupuestos	Consolidada	183537,35	25300	45090,27	3164,36	6200	97610,12	0	0	6172,6	
2004	22907	Aínsa-Sobrarbe	Presupuestos	Sin información										
2004	22908	Hoz y Costeán	Presupuestos	Consolidada	433995	9395	76000	8000	18000	322600	0	0	0	
2004	22909	Vencillón	Presupuestos	Consolidada	288961,42	60200	97450	6000	21911,42	91000	0	0	12400	
2004	44001	Ababuj	Presupuestos	Consolidada	242000	8500	58600	300	7600	167000	0	0	0	
2004	44002	Abejuela	Presupuestos	Consolidada	458572,23	26482,24	75803,37	4694,55	27045,54	240404,84	66111,33	18030,36	0	
2004	44003	Aguatón	Presupuestos	Consolidada	76547,76	4830,9	13141,75	0	6010,12	50311,13	0	0	2253,86	
2004	44004	Aguaviva	Presupuestos	Sin información										
2004	44005	Aguilar del Alfambra	Presupuestos	Consolidada	275000	21000	37788	1500	6000	203712	0	0	5000	
2004	44006	Alacón	Presupuestos	Consolidada	1500000	45000	152500	4500	39000	1256000	0	0	3000	
2004	44007	Alba	Presupuestos	Consolidada	270770	33010	57060	2400	13200	118100	0	0	47000	
2004	44008	Albalate del Arzobispo	Presupuestos	Consolidada	1771700	279726	323850	3590	96724	984610	51000	0	32200	
2004	44009	Albarracín	Presupuestos	Consolidada	1699614,15	264793,3	361610	22004,6	275380,25	701287	0	0	74539	
2004	44010	Albentosa	Presupuestos	Consolidada	476083,73	69341,06	135350	14635	22400	170316	0	0	64041,67	
2004	44011	Alcaine	Presupuestos	Consolidada	142500	20685,86	45828,82	1273	6876	65961,32	0	0	1875	
2004	44012	Alcalá de la Selva	Presupuestos	Consolidada	1569751,33	191286,96	256564,58	371	10985,25	1072924,24	0	0	37619,3	
2004	44013	Alcañiz	Presupuestos	Consolidada	11928115,82	3626171,19	2731900,87	180500	263789	4227279,96	156000	6000	736474,8	
2004	44014	Alcorisa	Presupuestos	Consolidada	5406132,56	721800	789658	49000	99000	3424292,49	0	0	322382,07	
2004	44016	Alfambra	Presupuestos	Consolidada	703310	112110	97700	18500	10000	435000	0	0	30000	
2004	44017	Aliaga	Presupuestos	Consolidada	1688946,6	74500	96861,6	1300	61500	1444785	0	0	10000	
2004	44018	Almohaja	Presupuestos	Consolidada	118640	2180	23560	1500	1400	81000	0	0	9000	
2004	44019	Alobras	Presupuestos	Consolidada	178070	12652,43	66390	0	5050	91727,57	0	0	2250	
2004	44020	Alpeñés	Presupuestos	Consolidada	135000	3400	21300	0	5300	105000	0	0	0	
2004	44021	Allepuz	Presupuestos	Sin información										
2004	44022	Alloza	Presupuestos	Consolidada	1111152,65	82683,74	114409,77	6362,27	11989,79	872688,7	0	0	23018,38	
2004	44023	Allueva	Presupuestos	Consolidada	131980	3750,32	11347,35	300,51	3631,06	112500	0	0	450,76	
2004	44024	Anadón	Presupuestos	Consolidada	88682,97	6420	22121,82	0	90,15	60051	0	0	0	
2004	44025	Andorra	Presupuestos	Consolidada	14677366,3	2654780,53	2297637,63	26681,18	254690,44	9259474,91	0	0	184101,61	
2004	44026	Arcos de las Salinas	Presupuestos	Consolidada	247000	37194,75	69648,2	2103,89	21338,93	112284,48	4196,02	0	233,73	
2004	44027	Arens de Lledó	Presupuestos	Consolidada	210741	22750	49133,11	1955	13945,89	122207	0	0	750	
2004	44028	Argente	Presupuestos	Sin información										
2004	44029	Ariño	Presupuestos	Consolidada	2046108	189000	215000	3060	44200	1590218	2000	0	2630	
2004	44031	Azaila	Presupuestos	Consolidada	340863,65	30700	29450	1900	10200	230299,12	0	0	38314,53	
2004	44032	Bádenas	Presupuestos	Sin información										
2004	44033	Báguena	Presupuestos	Consolidada	356780	54750	64850	7000	18400	192700	0	0	19080	
2004	44034	Bañón	Presupuestos	Consolidada	270794,39	10943,34	62776,12	2400	12660	167994,93	9020	0	5000	
2004	44035	Barrachina	Presupuestos	Consolidada	314638	24700	53972	1400	7000	225041	0	0	2525	
2004	44036	Bea	Presupuestos	Consolidada	113860	6000	26560	0	3600	75300	0	0	2400	
2004	44037	Beceite	Presupuestos	Consolidada	911902	55046	158000	9500	18000	657256	0	0	14100	
2004	44038	Belmonte de San José	Presupuestos	Sin información										
2004	44039	Bello	Presupuestos	Consolidada	613463,5	45773,09	113624,15	2600	27742,94	370012	8113,66	0	45597,66	
2004	44040	Berge	Presupuestos	Consolidada	737629	33472	37651	5100	6300	605306	0	0	49800	
2004	44041	Bezas	Presupuestos	Consolidada	145533,82	15685	36934	2500	7813,16	74120	1227,86	0	7253,8	
2004	44042	Blancas	Presupuestos	Consolidada	132276	10960	39916	300	14200	65000	0	0	1900	
2004	44043	Blesa	Presupuestos	Consolidada	193441	14079	51010	757	6354	108976	9200	0	3065	
2004	44044	Bordón	Presupuestos	Consolidada	612900	7300	84540,5	1641,15	20957,09	496542,21	0	0	1919,05	
2004	44045	Bronchales	Presupuestos	Consolidada	865756,07	85439,79	161784,53	6010,12	105369,03	497536,41	0	0	9616,19	
2004	44046	Bueña	Presupuestos	Consolidada	260792	12550	23460	200	8000	216582	0	0	0	
2004	44047	Burbáguena	Presupuestos	Consolidada	205875,15	16207,24	66150	1557,2	5420	109155,64	0	0	7385,07	
2004	44048	Cabra de Mora	Presupuestos	Consolidada	486200	21300	56700	1500	15500	383200	0	0	8000	
2004	44049	Calaceite	Presupuestos	Consolidada	1248719,67	178000	239700	15600	61035,13	712043,46	0	0	42341,08	
2004	44050	Calamocha	Presupuestos	Sin información										
2004	44051	Calanda	Presupuestos	Consolidada	7417287,09	462600	631605,68	28403,66	318713,69	5851794,72	1,8	1,2	124166,34	
2004	44052	Calomarde	Presupuestos	Consolidada	267500	64000	81500	0	0	110000	0	0	12000	
2004	44053	Camañas	Presupuestos	Sin información										
2004	44054	Camarena de la Sierra	Presupuestos	Consolidada	821971,06	88067,16	135618	0	3002	595283,9	0	0	0	
2004	44055	Camarillas	Presupuestos	Consolidada	159500	17000	69300	3500	9200	54000	0	0	6500	
2004	44056	Caminreal	Presupuestos	Consolidada	1040255,62	66380,12	137400	0	24582,12	809263,95	0	0	2629,43	
2004	44059	Cantavieja	Presupuestos	Consolidada	1325000	92515,12	267331,61	16574,04	27680,5	893171,41	0	0	27727,32	
