Año	Municipio código	Municipio nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total
2003	22072	Caldearenas	168											205			373
2003	22074	Campo	219											295			514
2003	22075	Camporrells	206											118			324
2003	22076	Canal de Berdún	322											351			673
2003	22077	Candasnos	253											140			393
2003	22078	Canfranc	857											941			1798
2003	22079	Capdesaso	93											163			256
2003	22080	Capella	203											241			444
2003	22081	Casbas de Huesca	243											288			531
2003	22082	Castejón del Puente	178											202			380
2003	22083	Castejón de Monegros	320											700			1020
2003	22084	Castejón de Sos	377											335			712
2003	22085	Castelflorite	58											124			182
2003	22086	Castiello de Jaca	326											366			692
2003	22087	Castigaleu	33											37			70
2003	22088	Castillazuelo	147											113			260
2003	22089	Castillonroy	226											203			429
2003	22090	Colungo	99											74			173
2003	22094	Chalamera	82											52			134
2003	22095	Chía	48											71			119
2003	22096	Chimillas	83											109			192
2003	22099	Esplús	362											306			668
2003	22102	Estada	103											106			209
2003	22103	Estadilla	466											347			813
2003	22105	Estopiñán del Castillo	163											131			294
2003	22106	Fago	64											84			148
2003	22107	Fanlo	75											154			229
2003	22109	Fiscal	212											283			495
2003	22110	Fonz	782											273			1055
2003	22111	Foradada del Toscar	89											129			218
2003	22112	Fraga	5979											3511			9490
2003	22113	Fueva (La)	247											352			599
2003	22114	Gistaín	80											68			148
2003	22115	Grado (El)	681											307			988
2003	22116	Grañén	1123											370			1493
2003	22117	Graus	2007											2972			4979
2003	22119	Gurrea de Gállego	1093											275			1368
2003	22122	Hoz de Jaca	56											153			209
2003	22124	Huerto	145											392			537
2003	22125	Huesca	22880											18885			41765
2003	22126	Ibieca	63											88			151
2003	22127	Igriés	124											109			233
2003	22128	Ilche	119											166			285
2003	22129	Isábena	161											401			562
2003	22130	Jaca	11933											11936			23869
2003	22131	Jasa	98											112			210
2003	22133	Labuerda	107											115			222
2003	22135	Laluenga	142											107			249
2003	22136	Lalueza	640											177			817
2003	22137	Lanaja	1045											192			1237
2003	22139	Laperdiguera	60											53			113
2003	22141	Lascellas-Ponzano	138											140			278
2003	22142	Lascuarre	102											98			200
2003	22143	Laspaúles	174											188			362
2003	22144	Laspuña	108											164			272
2003	22149	Loarre	284											609			893
2003	22150	Loporzano	367											457			824
2003	22151	Loscorrales	94											203			297
2003	22155	Monesma y Cajigar	38											35			73
2003	22156	Monflorite-Lascasas	111											280			391
2003	22157	Montanuy	163											238			401
2003	22158	Monzón	6986											4457			11443
2003	22160	Naval	159											142			301
2003	22162	Novales	73											75			148
2003	22163	Nueno	314											272			586
2003	22164	Olvena	51											156			207
2003	22165	Ontiñena	336											236			572
2003	22167	Osso de Cinca	255											170			425
2003	22168	Palo	30											33			63
2003	22170	Panticosa	1047											1155			2202
2003	22172	Peñalba	255											296			551
2003	22173	Peñas de Riglos (Las)	449											421			870
2003	22174	Peralta de Alcofea	362											369			731
2003	22175	Peralta de Calasanz	324											734			1058
2003	22176	Peraltilla	83											88			171
2003	22177	Perarrúa	118											283			401
2003	22178	Pertusa	93											183			276
2003	22181	Piracés	44											53			97
2003	22182	Plan	196											192			388
2003	22184	Poleñino	108											98			206
2003	22186	Pozán de Vero	147											89			236
2003	22187	Puebla de Castro (La)	323											425			748
2003	22188	Puente de Montañana	136											172			308
2003	22189	Puértolas	130											115			245
2003	22190	Pueyo de Araguás (El)	57											58			115
2003	22193	Pueyo de Santa Cruz	148											103			251
2003	22195	Quicena	73											76			149
2003	22197	Robres	271											484			755
2003	22199	Sabiñánigo	4686											4219			8905
2003	22200	Sahún	312											404			716
2003	22201	Salas Altas	171											131			302
2003	22202	Salas Bajas	94											64			158
2003	22203	Salillas	74											160			234
2003	22204	Sallent de Gállego	2672											1611			4283
2003	22205	San Esteban de Litera	583											333			916
2003	22206	Sangarrén	140											175			315
2003	22207	San Juan de Plan	50											70			120
2003	22208	Santa Cilia	107											120			227
2003	22209	Santa Cruz de la Serós	105											107			212
2003	22212	Santaliestra y San Quílez	49											65			114
2003	22213	Sariñena	1920											2507			4427
2003	22214	Secastilla	87											201			288
2003	22215	Seira	96											130			226
2003	22217	Sena	568											94			662
2003	22218	Senés de Alcubierre	31											74			105
2003	22220	Sesa	136											110			246
2003	22221	Sesué	133											80			213
2003	22222	Siétamo	301											553			854
2003	22223	Sopeira	112											123			235
2003	22225	Tamarite de Litera	2427											883			3310
2003	22226	Tardienta	744											227			971
2003	22227	Tella-Sin	172											150			322
2003	22228	Tierz	71											65			136
2003	22229	Tolva	143											145			288
2003	22230	Torla-Ordesa	307											202			509
2003	22232	Torralba de Aragón	74											165			239
2003	22233	Torre la Ribera	48											65			113
2003	22234	Torrente de Cinca	401											319			720
2003	22235	Torres de Alcanadre	78											77			155
2003	22236	Torres de Barbués	151											122			273
2003	22239	Tramaced	39											71			110
2003	22242	Valfarta	51											53			104
2003	22243	Valle de Bardají	11											32			43
2003	22244	Valle de Lierp	37											28			65
2003	22245	Velilla de Cinca	239											213			452
2003	22246	Beranuy	78											105			183
2003	22247	Viacamp y Litera	20											64			84
2003	22248	Vicién	67											104			171
2003	22249	Villanova	146											73			219
2003	22250	Villanúa	1204											515			1719
2003	22251	Villanueva de Sigena	354											72			426
2003	22252	Yebra de Basa	88											76			164
2003	22253	Yésero	64											147			211
2003	22254	Zaidín	715											587			1302
2003	22901	Valle de Hecho	681											553			1234
2003	22902	Puente la Reina de Jaca	216											182			398
2003	22903	San Miguel del Cinca	405											275			680
2003	22904	Sotonera (La)	710											750			1460
2003	22905	Lupiñén-Ortilla	228											531			759
2003	22906	Santa María de Dulcis	115											71			186
2003	22907	Aínsa-Sobrarbe	919											893			1812
2003	22908	Hoz y Costeán	169											169			338
2003	22909	Vencillón	129											73			202
2003	44001	Ababuj	76											80			156
2003	44002	Abejuela	145											126			271
2003	44003	Aguatón	26											38			64
2003	44004	Aguaviva	575											363			938
2003	44005	Aguilar del Alfambra	80											80			160
2003	44006	Alacón	474											112			586
2003	44007	Alba	214											195			409
2003	44008	Albalate del Arzobispo	1506											1064			2570
2003	44009	Albarracín	656											585			1241
2003	44010	Albentosa	458											154			612
2003	44011	Alcaine	199											107			306
2003	44012	Alcalá de la Selva	1174											675			1849
2003	44013	Alcañiz	6600											4350			10950
2003	44014	Alcorisa	1842											1300			3142
2003	44016	Alfambra	403											227			630
2003	44017	Aliaga	491											330			821
2003	44018	Almohaja	76											16			92
2003	44019	Alobras	105											111			216
2003	44020	Alpeñés	32											49			81
2003	44021	Allepuz	221											33			254
2003	44022	Alloza	929											218			1147
2003	44023	Allueva	42											49			91
2003	44024	Anadón	59											71			130
2003	44025	Andorra	3377											2135			5512
2003	44026	Arcos de las Salinas	328											127			455
2003	44027	Arens de Lledó	216											48			264
2003	44028	Argente	180											146			326
2003	44029	Ariño	647											370			1017
2003	44031	Azaila	207											84			291
2003	44032	Bádenas	40											63			103
2003	44033	Báguena	668											183			851
2003	44034	Bañón	233											22			255
2003	44035	Barrachina	167											112			279
2003	44036	Bea	40											28			68
2003	44037	Beceite	624											101			725
2003	44038	Belmonte de San José	260											48			308
2003	44039	Bello	516											102			618
2003	44040	Berge	201											99			300
2003	44041	Bezas	102											53			155
2003	44042	Blancas	221											171			392
2003	44043	Blesa	275											79			354
2003	44044	Bordón	135											111			246
2003	44045	Bronchales	739											278			1017
2003	44046	Bueña	80											116			196
2003	44047	Burbáguena	447											98			545
2003	44048	Cabra de Mora	148											47			195
2003	44049	Calaceite	796											343			1139
2003	44050	Calamocha	2775											2310			5085
2003	44051	Calanda	2178											826			3004
2003	44052	Calomarde	161											20			181
2003	44053	Camañas	92											103			195
2003	44054	Camarena de la Sierra	254											296			550
2003	44055	Camarillas	162											95			257
2003	44056	Caminreal	689											145			834
2003	44059	Cantavieja	418											337			755
2003	44060	Cañada de Benatanduz	100											146			246
2003	44061	Cañada de Verich (La)	85											67			152
2003	44062	Cañada Vellida	40											37			77
2003	44063	Cañizar del Olivar	132											142			274
2003	44064	Cascante del Río	168											65			233
2003	44065	Castejón de Tornos	181											37			218
2003	44066	Castel de Cabra	150											182			332
2003	44067	Castelnou	200											67			267
2003	44068	Castelserás	529											394			923
2003	44070	Castellar (El)	128											48			176
2003	44071	Castellote	779											669			1448
2003	44074	Cedrillas	379											165			544
2003	44075	Celadas	203											92			295
2003	44076	Cella	1371											984			2355
2003	44077	Cerollera (La)	78											94			172
2003	44080	Codoñera (La)	412											83			495
2003	44082	Corbalán	124											40			164
2003	44084	Cortes de Aragón	141											103			244
2003	44085	Cosa	139											26			165
2003	44086	Cretas	530											129			659
2003	44087	Crivillén	201											96			297
2003	44088	Cuba (La)	64											97			161
2003	44089	Cubla	99											51			150
2003	44090	Cucalón	143											98			241
2003	44092	Cuervo (El)	155											113			268
2003	44093	Cuevas de Almudén	60											55			115
2003	44094	Cuevas Labradas	130											40			170
2003	44096	Ejulve	221											256			477
2003	44097	Escorihuela	178											94			272
2003	44099	Escucha	707											241			948
2003	44100	Estercuel	360											242			602
2003	44101	Ferreruela de Huerva	82											77			159
2003	44102	Fonfría	43											41			84
2003	44103	Formiche Alto	288											92			380
2003	44105	Fórnoles	284											65			349
2003	44106	Fortanete	278											214			492
2003	44107	Foz-Calanda	296											97			393
2003	44108	Fresneda (La)	603											129			732
2003	44109	Frías de Albarracín	248											36			284
2003	44110	Fuenferrada	67											71			138
2003	44111	Fuentes Calientes	103											51			154
2003	44112	Fuentes Claras	476											75			551
2003	44113	Fuentes de Rubielos	232											59			291
2003	44114	Fuentespalda	306											56			362
2003	44115	Galve	84											69			153
2003	44116	Gargallo	147											92			239
2003	44117	Gea de Albarracín	374											367			741
2003	44118	Ginebrosa (La)	241											263			504
2003	44119	Griegos	179											41			220
2003	44120	Guadalaviar	222											173			395
2003	44121	Gúdar	120											37			157
2003	44122	Híjar	1308											336			1644
2003	44123	Hinojosa de Jarque	109											86			195
2003	44124	Hoz de la Vieja (La)	244											133			377
2003	44125	Huesa del Común	241											206			447
2003	44126	Iglesuela del Cid (La)	350											293			643
2003	44127	Jabaloyas	196											126			322
2003	44128	Jarque de la Val	72											62			134
2003	44129	Jatiel	101											21			122
2003	44130	Jorcas	81											44			125
2003	44131	Josa	133											88			221
2003	44132	Lagueruela	100											64			164
2003	44133	Lanzuela	45											44			89
2003	44135	Libros	166											136			302
2003	44136	Lidón	72											89			161
2003	44137	Linares de Mora	348											53			401
2003	44138	Loscos	267											317			584
2003	44141	Lledó	162											64			226
2003	44142	Maicas	79											54			133
2003	44143	Manzanera	825											689			1514
2003	44144	Martín del Río	319											249			568
2003	44145	Mas de las Matas	1068											418			1486
2003	44146	Mata de los Olmos (La)	140											131			271
2003	44147	Mazaleón	539											145			684
2003	44148	Mezquita de Jarque	72											70			142
2003	44149	Mirambel	139											133			272
2003	44150	Miravete de la Sierra	77											51			128
2003	44151	Molinos	281											221			502
2003	44152	Monforte de Moyuela	118											131			249
2003	44153	Monreal del Campo	1457											644			2101
2003	44154	Monroyo	208											133			341
2003	44155	Montalbán	1031											1015			2046
2003	44156	Monteagudo del Castillo	139											41			180
2003	44157	Monterde de Albarracín	212											73			285
2003	44158	Mora de Rubielos	1095											1135			2230
2003	44159	Moscardón	137											40			177
2003	44160	Mosqueruela	571											99			670
2003	44161	Muniesa	736											196			932
2003	44163	Noguera de Albarracín	232											44			276
2003	44164	Nogueras	94											95			189
2003	44165	Nogueruelas	313											72			385
2003	44167	Obón	275											67			342
2003	44168	Odón	283											81			364
2003	44169	Ojos Negros	584											310			894
2003	44171	Olba	659											229			888
2003	44172	Oliete	769											85			854
2003	44173	Olmos (Los)	127											139			266
2003	44174	Orihuela del Tremedal	645											230			875
2003	44175	Orrios	118											94			212
2003	44176	Palomar de Arroyos	180											114			294
2003	44177	Pancrudo	186											198			384
2003	44178	Parras de Castellote (Las)	172											196			368
2003	44179	Peñarroya de Tastavins	442											68			510
2003	44180	Peracense	162											30			192
2003	44181	Peralejos	96											30			126
2003	44182	Perales del Alfambra	227											121			348
2003	44183	Pitarque	151											110			261
2003	44184	Plou	81											96			177
2003	44185	Pobo (El)	168											25			193
2003	44187	Portellada (La)	189											143			332
2003	44189	Pozondón	189											26			215
2003	44190	Pozuel del Campo	156											159			315
2003	44191	Puebla de Híjar (La)	887											307			1194
2003	44192	Puebla de Valverde (La)	364											299			663
2003	44193	Puertomingalvo	266											49			315
2003	44194	Ráfales	158											163			321
2003	44195	Rillo	119											76			195
2003	44196	Riodeva	212											439			651
2003	44197	Ródenas	200											36			236
2003	44198	Royuela	371											94			465
2003	44199	Rubiales	63											56			119
2003	44200	Rubielos de la Cérida	68											106			174
2003	44201	Rubielos de Mora	680											603			1283
2003	44203	Salcedillo	21											44			65
2003	44204	Saldón	179											27			206
2003	44205	Samper de Calanda	843											137			980
2003	44206	San Agustín	314											82			396
2003	44207	San Martín del Río	517											118			635
2003	44208	Santa Cruz de Nogueras	51											87			138
2003	44209	Santa Eulalia	770											386			1156
2003	44210	Sarrión	1173											650			1823
2003	44211	Segura de los Baños	123											107			230
2003	44212	Seno	74											78			152
2003	44213	Singra	93											111			204
2003	44215	Terriente	245											26			271
2003	44216	Teruel	15147											11199			26346
2003	44217	Toril y Masegoso	88											10			98
2003	44218	Tormón	67											50			117
2003	44219	Tornos	407											116			523
2003	44220	Torralba de los Sisones	150											125			275
2003	44221	Torrecilla de Alcañiz	297											186			483
2003	44222	Torrecilla del Rebollar	192											117			309
2003	44223	Torre de Arcas	88											72			160
2003	44224	Torre de las Arcas	77											83			160
2003	44225	Torre del Compte	262											99			361
2003	44226	Torrelacárcel	223											282			505
2003	44227	Torre los Negros	123											90			213
2003	44228	Torremocha de Jiloca	116											128			244
2003	44229	Torres de Albarracín	271											53			324
2003	44230	Torrevelilla	181											82			263
2003	44231	Torrijas	190											177			367
2003	44232	Torrijo del Campo	469											82			551
2003	44234	Tramacastiel	144											216			360
2003	44235	Tramacastilla	256											53			309
2003	44236	Tronchón	154											104			258
2003	44237	Urrea de Gaén	422											246			668
2003	44238	Utrillas	1506											1118			2624
2003	44239	Valacloche	59											23			82
2003	44240	Valbona	248											296			544
2003	44241	Valdealgorfa	419											394			813
2003	44243	Valdecuenca	78											107			185
2003	44244	Valdelinares	181											22			203
2003	44245	Valdeltormo	261											230			491
2003	44246	Valderrobres	1129											663			1792
2003	44247	Valjunquera	399											80			479
2003	44249	Vallecillo (El)	128											16			144
2003	44250	Veguillas de la Sierra	43											48			91
2003	44251	Villafranca del Campo	252											236			488
2003	44252	Villahermosa del Campo	76											53			129
2003	44256	Villanueva del Rebollar de la Sierra	56											76			132
2003	44257	Villar del Cobo	287											58			345
2003	44258	Villar del Salz	153											25			178
2003	44260	Villarluengo	201											217			418
2003	44261	Villarquemado	481											340			821
2003	44262	Villarroya de los Pinares	184											125			309
2003	44263	Villastar	211											198			409
2003	44264	Villel	313											282			595
2003	44265	Vinaceite	242											51			293
2003	44266	Visiedo	142											113			255
2003	44267	Vivel del Río Martín	171											162			333
2003	44268	Zoma (La)	30											59			89
2003	50001	Abanto	147											159			306
2003	50002	Acered	186											194			380
2003	50003	Agón	126											57			183
2003	50004	Aguarón	519											378			897
2003	50005	Aguilón	481											47			528
2003	50006	Ainzón	766											226			992
2003	50007	Aladrén	56											147			203
2003	50008	Alagón	2434											1054			3488
2003	50009	Alarba	113											118			231
2003	50010	Alberite de San Juan	53											55			108
2003	50011	Albeta	91											99			190
2003	50012	Alborge	111											82			193
2003	50013	Alcalá de Ebro	168											95			263
2003	50014	Alcalá de Moncayo	160											147			307
2003	50015	Alconchel de Ariza	185											313			498
2003	50016	Aldehuela de Liestos	85											68			153
2003	50017	Alfajarín	959											428			1387
2003	50018	Alfamén	552											405			957
2003	50019	Alforque	98											76			174
2003	50020	Alhama de Aragón	724											483			1207
2003	50021	Almochuel	30											84			114
2003	50022	Almolda (La)	313											232			545
2003	50023	Almonacid de la Cuba	268											187			455
2003	50024	Almonacid de la Sierra	554											656			1210
2003	50025	Almunia de Doña Godina (La)	2589											1456			4045
2003	50026	Alpartir	359											268			627
2003	50027	Ambel	422											143			565
2003	50028	Anento	19											148			167
2003	50029	Aniñón	792											162			954
2003	50030	Añón de Moncayo	433											345			778
2003	50031	Aranda de Moncayo	352											322			674
2003	50032	Arándiga	623											59			682
2003	50033	Ardisa	78											79			157
2003	50034	Ariza	791											715			1506
2003	50035	Artieda	91											53			144
2003	50036	Asín	76											101			177
2003	50037	Atea	538											40			578
2003	50038	Ateca	1470											321			1791
2003	50039	Azuara	1093											143			1236
2003	50040	Badules	96											76			172
2003	50041	Bagüés	25											58			83
2003	50042	Balconchán	30											59			89
2003	50043	Bárboles	243											168			411
2003	50044	Bardallur	231											141			372
2003	50045	Belchite	975											218			1193
2003	50046	Belmonte de Gracián	197											170			367
2003	50047	Berdejo	67											94			161
2003	50048	Berrueco	24											59			83
2003	50050	Bijuesca	154											223			377
2003	50051	Biota	657											301			958
2003	50052	Bisimbre	74											47			121
2003	50053	Boquiñeni	413											316			729
2003	50054	Bordalba	98											200			298
2003	50055	Borja	2634											1518			4152
2003	50056	Botorrita	345											59			404
2003	50057	Brea de Aragón	928											706			1634
2003	50058	Bubierca	103											205			308
2003	50059	Bujaraloz	391											327			718
2003	50060	Bulbuente	298											98			396
2003	50061	Bureta	181											115			296
2003	50062	Burgo de Ebro (El)	1045											504			1549
2003	50063	Buste (El)	129											84			213
2003	50064	Cabañas de Ebro	253											212			465
2003	50065	Cabolafuente	101											196			297
2003	50066	Cadrete	1385											773			2158
2003	50067	Calatayud	9075											5910			14985
2003	50068	Calatorao	1295											584			1879
2003	50069	Calcena	110											34			144
2003	50070	Calmarza	200											44			244
2003	50071	Campillo de Aragón	181											140			321
2003	50072	Carenas	527											92			619
2003	50073	Cariñena	1524											551			2075
2003	50074	Caspe	4293											2666			6959
2003	50075	Castejón de Alarba	87											122			209
2003	50076	Castejón de las Armas	115											133			248
2003	50077	Castejón de Valdejasa	173											262			435
2003	50078	Castiliscar	244											203			447
2003	50079	Cervera de la Cañada	410											88			498
2003	50080	Cerveruela	45											208			253
2003	50081	Cetina	758											162			920
2003	50082	Cimballa	169											175			344
2003	50083	Cinco Olivas	120											84			204
2003	50084	Clarés de Ribota	115											230			345
2003	50085	Codo	320											55			375
2003	50086	Codos	299											273			572
2003	50087	Contamina	50											82			132
2003	50088	Cosuenda	376											313			689
2003	50089	Cuarte de Huerva	1016											1512			2528
2003	50090	Cubel	296											88			384
2003	50091	Cuerlas (Las)	83											140			223
2003	50092	Chiprana	360											259			619
2003	50093	Chodes	191											35			226
2003	50094	Daroca	1347											977			2324
2003	50095	Ejea de los Caballeros	7694											3884			11578
2003	50096	Embid de Ariza	109											126			235
2003	50098	Encinacorba	272											190			462
2003	50099	Épila	2095											1148			3243
2003	50100	Erla	266											192			458
2003	50101	Escatrón	1038											449			1487
2003	50102	Fabara	592											501			1093
2003	50104	Farlete	284											84			368
2003	50105	Fayón	275											64			339
2003	50106	Fayos (Los)	150											115			265
2003	50107	Figueruelas	463											361			824
2003	50108	Fombuena	100											35			135
2003	50109	Frago (El)	112											92			204
2003	50110	Frasno (El)	771											197			968
2003	50111	Fréscano	146											86			232
2003	50113	Fuendejalón	582											226			808
2003	50114	Fuendetodos	218											29			247
2003	50115	Fuentes de Ebro	1613											854			2467
2003	50116	Fuentes de Jiloca	245											233			478
2003	50117	Gallocanta	242											39			281
2003	50118	Gallur	1682											420			2102
2003	50119	Gelsa	717											200			917
2003	50120	Godojos	89											134			223
2003	50121	Gotor	374											26			400
2003	50122	Grisel	88											131			219
2003	50123	Grisén	258											159			417
2003	50124	Herrera de los Navarros	962											204			1166
2003	50125	Ibdes	536											324			860
2003	50126	Illueca	1514											1511			3025
2003	50128	Isuerre	50											53			103
2003	50129	Jaraba	262											246			508
2003	50130	Jarque de Moncayo	475											583			1058
2003	50131	Jaulín	279											53			332
2003	50132	Joyosa (La)	347											85			432
2003	50133	Lagata	135											113			248
2003	50134	Langa del Castillo	370											39			409
2003	50135	Layana	90											71			161
2003	50136	Lécera	574											320			894
2003	50137	Leciñena	610											234			844
2003	50138	Lechón	27											44			71
2003	50139	Letux	497											53			550
2003	50140	Litago	190											204			394
2003	50141	Lituénigo	126											239			365
2003	50142	Lobera de Onsella	102											84			186
2003	50143	Longares	449											316			765
2003	50144	Longás	43											91			134
2003	50146	Lucena de Jalón	186											186			372
2003	50147	Luceni	549											293			842
2003	50148	Luesia	363											150			513
2003	50149	Luesma	157											31			188
2003	50150	Lumpiaque	650											247			897
2003	50151	Luna	804											172			976
2003	50152	Maella	1066											415			1481
2003	50153	Magallón	674											328			1002
2003	50154	Mainar	128											69			197
2003	50155	Malanquilla	139											172			311
2003	50156	Maleján	196											79			275
2003	50157	Malón	300											140			440
2003	50159	Maluenda	666											115			781
2003	50160	Mallén	1340											576			1916
2003	50161	Manchones	147											144			291
2003	50162	Mara	195											142			337
2003	50163	María de Huerva	897											451			1348
2003	50164	Mediana de Aragón	258											78			336
2003	50165	Mequinenza	1256											437			1693
2003	50166	Mesones de Isuela	441											90			531
2003	50167	Mezalocha	180											96			276
2003	50168	Mianos	37											22			59
2003	50169	Miedes de Aragón	284											259			543
2003	50170	Monegrillo	298											71			369
2003	50171	Moneva	253											42			295
2003	50172	Monreal de Ariza	219											183			402
2003	50173	Monterde	242											299			541
2003	50174	Montón	138											80			218
2003	50175	Morata de Jalón	1294											209			1503
2003	50176	Morata de Jiloca	276											222			498
2003	50177	Morés	401											416			817
2003	50178	Moros	379											351			730
2003	50179	Moyuela	475											93			568
2003	50180	Mozota	136											79			215
2003	50181	Muel	746											502			1248
2003	50182	Muela (La)	1106											706			1812
2003	50183	Munébrega	280											273			553
2003	50184	Murero	144											133			277
2003	50185	Murillo de Gállego	230											212			442
2003	50186	Navardún	63											93			156
2003	50187	Nigüella	209											19			228
2003	50188	Nombrevilla	29											85			114
2003	50189	Nonaspe	908											233			1141
2003	50190	Novallas	496											203			699
2003	50191	Novillas	301											160			461
2003	50192	Nuévalos	254											338			592
2003	50193	Nuez de Ebro	443											184			627
2003	50194	Olvés	147											153			300
2003	50195	Orcajo	73											140			213
2003	50196	Orera	91											85			176
2003	50197	Orés	92											181			273
2003	50198	Oseja	43											69			112
2003	50199	Osera de Ebro	404											50			454
2003	50200	Paniza	429											275			704
2003	50201	Paracuellos de Jiloca	334											260			594
2003	50202	Paracuellos de la Ribera	268											122			390
2003	50203	Pastriz	649											251			900
2003	50204	Pedrola	1421											532			1953
2003	50205	Pedrosas (Las)	62											93			155
2003	50206	Perdiguera	406											36			442
2003	50207	Piedratajada	91											79			170
2003	50208	Pina de Ebro	1144											298			1442
2003	50209	Pinseque	1175											989			2164
2003	50210	Pintanos (Los)	34											174			208
2003	50211	Plasencia de Jalón	256											125			381
2003	50212	Pleitas	48											23			71
2003	50213	Plenas	382											61			443
2003	50214	Pomer	91											123			214
2003	50215	Pozuel de Ariza	80											175			255
2003	50216	Pozuelo de Aragón	174											223			397
2003	50217	Pradilla de Ebro	312											221			533
2003	50218	Puebla de Albortón	178											31			209
2003	50219	Puebla de Alfindén (La)	1071											1469			2540
2003	50220	Puendeluna	56											72			128
2003	50221	Purujosa	27											185			212
2003	50222	Quinto	1064											437			1501
2003	50223	Remolinos	532											276			808
2003	50224	Retascón	55											76			131
2003	50225	Ricla	955											638			1593
2003	50227	Romanos	153											17			170
2003	50228	Rueda de Jalón	246											126			372
2003	50229	Ruesca	45											57			102
2003	50230	Sádaba	923											505			1428
2003	50231	Salillas de Jalón	247											208			455
2003	50232	Salvatierra de Esca	306											98			404
2003	50233	Samper del Salz	108											82			190
2003	50234	San Martín de la Virgen de Moncayo	263											422			685
2003	50235	San Mateo de Gállego	1153											913			2066
2003	50236	Santa Cruz de Grío	244											199			443
2003	50237	Santa Cruz de Moncayo	86											113			199
2003	50238	Santa Eulalia de Gállego	187											79			266
2003	50239	Santed	52											90			142
2003	50240	Sástago	834											301			1135
2003	50241	Saviñán	572											93			665
2003	50242	Sediles	92											79			171
2003	50243	Sestrica	652											90			742
2003	50244	Sierra de Luna	162											213			375
2003	50245	Sigüés	142											136			278
2003	50246	Sisamón	146											226			372
2003	50247	Sobradiel	326											83			409
2003	50248	Sos del Rey Católico	681											157			838
2003	50249	Tabuenca	558											208			766
2003	50250	Talamantes	112											110			222
2003	50251	Tarazona	6693											2702			9395
2003	50252	Tauste	2853											2123			4976
2003	50253	Terrer	571											87			658
2003	50254	Tierga	192											227			419
2003	50255	Tobed	263											207			470
2003	50256	Torralba de los Frailes	189											148			337
2003	50257	Torralba de Ribota	198											132			330
2003	50258	Torralbilla	198											26			224
2003	50259	Torrehermosa	84											133			217
2003	50260	Torrelapaja	81											61			142
2003	50261	Torrellas	222											302			524
2003	50262	Torres de Berrellén	665											307			972
2003	50263	Torrijo de la Cañada	413											276			689
2003	50264	Tosos	238											169			407
2003	50265	Trasmoz	85											118			203
2003	50266	Trasobares	444											174			618
2003	50267	Uncastillo	590											362			952
2003	50268	Undués de Lerda	30											127			157
2003	50269	Urrea de Jalón	262											151			413
2003	50270	Urriés	38											119			157
2003	50271	Used	513											104			617
