Total viviendas	Viviendas con calefacción	Viviendas con agua corriente	Viviendas con agua caliente central	Viviendas con evacuación de aguas residuales	Viviendas con cuarto de aseo con inodoro	Viviendas con disponibilidad de ducha o bañera	Viviendas con tendido telefónico	Municipio nombre	Provincia codigo	Municipio codigo	Viviendas con acceso a internet
30,3338591006	13,7723951934	30,3338591006	8,570996917	27,7643248213	25,2463438057	26,7667937145	22,6768095264	Ababuj	44	44001	1,0943708691
57,6235258936	19,0743407507	57,6235258936	0,9023187978	57,6235258936	57,6235258936	54,7680968486	53,1951205784	Abanto	50	50001	10,2440628598
31,4623165993	5,0781701494	31,4623165993	28,2367105681	31,4623165993	31,4623165993	31,4623165993	12,9503262085	Abejuela	44	44002	6,0837721144
105,5199575897	89,0169791394	105,5199575897	97,9855741117	105,5199575897	103,64730933	105,5199575897	103,9236559067	Abiego	22	22001	56,2495086817
62,2068897152	41,8306492026	62,2068897152	35,7266847019	62,2068897152	62,2068897152	62,2068897152	62,2068897152	Abizanda	22	22002	1,9792808779
120,1688620568	69,0956691247	120,1688620568	14,0778401	120,1688620568	120,1688620568	112,9318512604	109,5401328747	Acered	50	50002	19,1471264755
73,5457369678	60,4382682821	73,5457369678	5,0515380586	73,5457369678	73,5457369678	73,5457369678	73,5457369678	Adahuesca	22	22003	24,0252687666
332,988023054	248,9443116822	332,988023054	50,9686828693	321,4104906784	332,988023054	329,9731271733	236,3850108509	Aguarón	50	50004	103,6862999562
6,7243949131	5,7303550996	6,7243949131	5,1442492365	6,7243949131	6,7243949131	6,7243949131	5,1442492365	Aguatón	44	44003	
258,1118894344	182,9255509351	258,1118894344	207,8106885954	221,7266489532	254,1106019771	251,6715005385	184,4801422646	Aguaviva	44	44004	121,7235601163
32,2818052448	20,5001075644	31,0468010225	15,3388792806	31,0468010225	31,0468010225	31,0468010225	32,2818052448	Aguilar del Alfambra	44	44005	3,8111677455
123,4422722393	79,6880321729	123,4422722393	106,445400847	119,1705780751	123,4422722393	123,4422722393	79,7442198082	Aguilón	50	50005	16,7511503009
74,6902693729	62,5789283917	74,6902693729	14,0357744693	73,1860012181	74,6902693729	74,6902693729	73,1860012181	Agón	50	50003	31,4205768889
69,2077723335	43,4659287923	69,2077723335	57,8458317455	69,2077723335	69,2077723335	69,2077723335	68,1482716481	Agüero	22	22004	13,7975064705
481,8406887559	352,795787136	481,8406887559	153,3167279685	437,7368478499	481,8406887559	476,7240470593	433,9047951027	Ainzón	50	50006	231,1608300154
141,1729043959	84,9306702994	141,1729043959	40,5873983238	141,1729043959	141,1729043959	141,1729043959	141,1729043959	Alacón	44	44006	22,38608188
33,0592493911	15,4506812987	33,0592493911	11,5352047013	33,0592493911	33,0592493911	33,0592493911	30,9942696572	Aladrén	50	50007	
2669,6703056142	2426,0594040054	2669,6703056142	451,3135955551	2358,5899297291	2669,6703056142	2665,8088099898	2275,0982411976	Alagón	50	50008	1507,3039987452
58,0895660009	40,9228785892	58,0895660009	17,5301874372	48,8255413096	58,0895660009	56,8267975811	43,5096927365	Alarba	50	50009	15,9754757383
102,05266293	65,2598575867	102,05266293	100,2891121249	102,05266293	100,2891121249	98,7993259106	102,05266293	Alba	44	44007	14,8047928945
443,1436837729	324,6694631686	443,1436837729	418,4944534446	443,1436837729	443,1436837729	440,2745649048	443,1436837729	Albalate de Cinca	22	22007	232,1113595151
848,5599182751	405,1459350163	848,5599182751	218,3782792578	845,1038519535	848,5599182751	845,0056774237	840,504901293	Albalate del Arzobispo	44	44008	357,6662289475
87,1040904286	66,3178598286	87,1040904286	85,257886105	87,1040904286	87,1040904286	87,1040904286	78,9125875382	Albalatillo	22	22008	30,362957829
398,7088497313	320,9334327539	395,3670012215	197,9266790401	390,9596820593	395,3670012215	392,0368238506	387,9117532665	Albarracín	44	44009	205,7893246331
341,8785952689	249,2849161474	341,8785952689	300,0890715597	338,37208566	341,8785952689	339,4576909701	323,439435797	Albelda	22	22009	144,0818318236
113,9204320957	70,6640164002	113,9204320957	34,4594144144	108,7474191619	113,9204320957	113,9204320957	108,7474191619	Albentosa	44	44010	39,0823224351
39,5736607208	29,1450909108	39,5736607208	28,0536885346	38,9422369326	39,5736607208	39,5736607208	37,5852568824	Alberite de San Juan	50	50010	18,5332589322
52,9675502996	39,2174278887	52,9675502996	34,557878487	50,6678209036	52,9675502996	52,9675502996	41,7191420695	Albero Alto	22	22011	25,1258442948
