Año	Provincia código	Provincia nombre	Tipo licencias código	Tipo licencias descripción	Autorizaciones según tipo
2020	22	Huesca	MDL-N	Transporte mercancías ligeras nacionales servicio público	136
2020	22	Huesca	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	94
2020	22	Huesca	MDP-N	Transporte mercancías pesadas nacionales servicio público	2514
2020	22	Huesca	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	574
2020	22	Huesca	MPC-N	Transporte mercancías propias nacional	993
2020	22	Huesca	MPCE-N	transporte mercancías propias nacional autorizado por empresa	546
2020	22	Huesca	OT	Operador de transporte	51
2020	22	Huesca	VD-N	Transporte de viajeros nacionales servicio público	328
2020	22	Huesca	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	17
2020	22	Huesca	VPC-N	Transporte privado de viajeros nacional	14
2020	22	Huesca	VPCE-N	Transporte privado de viajeros	12
2020	22	Huesca	VS-N	Ambulancias nacionales servicio público	9
2020	22	Huesca	VSE-N	Transporte público ambulancias nacional empresa	1
2020	22	Huesca	VSPC-N	Transporte privado ambulancias nacional	0
2020	22	Huesca	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2020	22	Huesca	VT-N	Licencias taxi	245
2020	22	Huesca	VTC-N	Transporte de alquiler con conductor nacional	6
2020	44	Teruel	MDL-N	Transporte mercancías ligeras nacionales servicio público	113
2020	44	Teruel	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	69
2020	44	Teruel	MDP-N	Transporte mercancías pesadas nacionales servicio público	2068
2020	44	Teruel	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	381
2020	44	Teruel	MPC-N	Transporte mercancías propias nacional	708
2020	44	Teruel	MPCE-N	transporte mercancías propias nacional autorizado por empresa	406
2020	44	Teruel	OT	Operador de transporte	21
2020	44	Teruel	VD-N	Transporte de viajeros nacionales servicio público	72
2020	44	Teruel	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	9
2020	44	Teruel	VPC-N	Transporte privado de viajeros nacional	0
2020	44	Teruel	VPCE-N	Transporte privado de viajeros	0
2020	44	Teruel	VS-N	Ambulancias nacionales servicio público	21
2020	44	Teruel	VSE-N	Transporte público ambulancias nacional empresa	3
2020	44	Teruel	VSPC-N	Transporte privado ambulancias nacional	0
2020	44	Teruel	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2020	44	Teruel	VT-N	Licencias taxi	96
2020	44	Teruel	VTC-N	Transporte de alquiler con conductor nacional	17
2020	50	Zaragoza	MDL-N	Transporte mercancías ligeras nacionales servicio público	1674
2020	50	Zaragoza	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	977
2020	50	Zaragoza	MDP-N	Transporte mercancías pesadas nacionales servicio público	8407
2020	50	Zaragoza	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	1408
2020	50	Zaragoza	MPC-N	Transporte mercancías propias nacional	1835
2020	50	Zaragoza	MPCE-N	transporte mercancías propias nacional autorizado por empresa	936
2020	50	Zaragoza	OT	Operador de transporte	207
2020	50	Zaragoza	VD-N	Transporte de viajeros nacionales servicio público	536
2020	50	Zaragoza	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	36
2020	50	Zaragoza	VPC-N	Transporte privado de viajeros nacional	16
2020	50	Zaragoza	VPCE-N	Transporte privado de viajeros	10
2020	50	Zaragoza	VS-N	Ambulancias nacionales servicio público	106
2020	50	Zaragoza	VSE-N	Transporte público ambulancias nacional empresa	1
2020	50	Zaragoza	VSPC-N	Transporte privado ambulancias nacional	4
