Año de construcción	Año de construcción, código	Comarca nombre	Comarca codigo	Nº edificios
Antes 1900	2	La Jacetania	01	2058
Antes 1900	2	Alto Gállego	02	956
Antes 1900	2	Sobrarbe	03	1883
Antes 1900	2	La Ribagorza	04	2431
Antes 1900	2	Cinco Villas	05	2282
Antes 1900	2	Hoya de Huesca / Plana de Uesca	06	3349
Antes 1900	2	Somontano de Barbastro	07	1653
Antes 1900	2	Cinca Medio	08	1046
Antes 1900	2	La Litera / La Llitera	09	1068
Antes 1900	2	Los Monegros	10	1359
Antes 1900	2	Bajo Cinca / Baix Cinca	11	884
Antes 1900	2	Tarazona y el Moncayo	12	2533
Antes 1900	2	Campo de Borja	13	1950
Antes 1900	2	Aranda	14	1126
Antes 1900	2	Ribera Alta del Ebro	15	1244
Antes 1900	2	Valdejalón	16	2038
Antes 1900	2	D.C. Zaragoza	17	2443
Antes 1900	2	Ribera Baja del Ebro	18	633
Antes 1900	2	Bajo Aragón-Caspe / Baix Aragó-Casp	19	299
Antes 1900	2	Comunidad de Calatayud	20	4817
Antes 1900	2	Campo de Cariñena	21	1331
Antes 1900	2	Campo de Belchite	22	716
Antes 1900	2	Bajo Martín	23	1067
Antes 1900	2	Campo de Daroca	24	753
Antes 1900	2	Jiloca	25	2926
Antes 1900	2	Cuencas Mineras	26	2448
Antes 1900	2	Andorra-Sierra de Arcos	27	852
Antes 1900	2	Bajo Aragón	28	2274
Antes 1900	2	Comunidad de Teruel	29	2373
Antes 1900	2	Maestrazgo	30	1687
Antes 1900	2	Sierra de Albarracín	31	1142
Antes 1900	2	Gúdar-Javalambre	32	2099
Antes 1900	2	Matarraña / Matarranya	33	2276
1900 a 1920	3	La Jacetania	01	176
1900 a 1920	3	Alto Gállego	02	83
1900 a 1920	3	Sobrarbe	03	52
1900 a 1920	3	La Ribagorza	04	474
1900 a 1920	3	Cinco Villas	05	779
1900 a 1920	3	Hoya de Huesca / Plana de Uesca	06	635
1900 a 1920	3	Somontano de Barbastro	07	287
1900 a 1920	3	Cinca Medio	08	306
1900 a 1920	3	La Litera / La Llitera	09	329
1900 a 1920	3	Los Monegros	10	385
1900 a 1920	3	Bajo Cinca / Baix Cinca	11	282
1900 a 1920	3	Tarazona y el Moncayo	12	391
1900 a 1920	3	Campo de Borja	13	606
