Comarca codigo	Comarca nombre	Estado civil, código	Estado civil	Sexo, código	Sexo	Personas
01	La Jacetania	1	Soltero	1	Hombre	3121,4531967959
01	La Jacetania	2	Casado	1	Hombre	3895,0650339428
01	La Jacetania	3	Viudo	1	Hombre	205,7633182734
01	La Jacetania	4	Separado	1	Hombre	111,5997018358
01	La Jacetania	5	Divorciado	1	Hombre	376,3452290432
02	Alto Gállego	1	Soltero	1	Hombre	2255,5029575692
02	Alto Gállego	2	Casado	1	Hombre	3520,6406296509
02	Alto Gállego	3	Viudo	1	Hombre	189,8662308941
02	Alto Gállego	4	Separado	1	Hombre	124,9792461545
02	Alto Gállego	5	Divorciado	1	Hombre	195,7143162952
03	Sobrarbe	1	Soltero	1	Hombre	1379,5586919399
03	Sobrarbe	2	Casado	1	Hombre	1882,2883725216
03	Sobrarbe	3	Viudo	1	Hombre	74,5836690933
03	Sobrarbe	4	Separado	1	Hombre	72,1039076498
03	Sobrarbe	5	Divorciado	1	Hombre	75,8115900275
04	La Ribagorza	1	Soltero	1	Hombre	2778,6042696951
04	La Ribagorza	2	Casado	1	Hombre	2788,4468434042
04	La Ribagorza	3	Viudo	1	Hombre	160,8906930023
04	La Ribagorza	4	Separado	1	Hombre	77,1017535972
04	La Ribagorza	5	Divorciado	1	Hombre	129,9027318964
05	Cinco Villas	1	Soltero	1	Hombre	5326,5502098313
05	Cinco Villas	2	Casado	1	Hombre	7873,9129359869
05	Cinco Villas	3	Viudo	1	Hombre	542,5723673714
05	Cinco Villas	4	Separado	1	Hombre	270,4207963715
05	Cinco Villas	5	Divorciado	1	Hombre	286,2850334158
06	Hoya de Huesca / Plana de Uesca	1	Soltero	1	Hombre	9931,6899042786
06	Hoya de Huesca / Plana de Uesca	2	Casado	1	Hombre	16047,3174738068
06	Hoya de Huesca / Plana de Uesca	3	Viudo	1	Hombre	715,0453368794
06	Hoya de Huesca / Plana de Uesca	4	Separado	1	Hombre	397,6383126522
06	Hoya de Huesca / Plana de Uesca	5	Divorciado	1	Hombre	622,4140373198
07	Somontano de Barbastro	1	Soltero	1	Hombre	4068,9030153325
07	Somontano de Barbastro	2	Casado	1	Hombre	5317,4239848586
07	Somontano de Barbastro	3	Viudo	1	Hombre	370,8896680824
07	Somontano de Barbastro	4	Separado	1	Hombre	282,4225621226
07	Somontano de Barbastro	5	Divorciado	1	Hombre	210,6157477939
08	Cinca Medio	1	Soltero	1	Hombre	3743,3969575651
08	Cinca Medio	2	Casado	1	Hombre	5984,1345066041
08	Cinca Medio	3	Viudo	1	Hombre	369,6315852706
08	Cinca Medio	4	Separado	1	Hombre	158,9152296558
08	Cinca Medio	5	Divorciado	1	Hombre	184,5333464336
09	La Litera / La Llitera	1	Soltero	1	Hombre	3015,1551590138
09	La Litera / La Llitera	2	Casado	1	Hombre	4666,7780319825
09	La Litera / La Llitera	3	Viudo	1	Hombre	371,7976556993
09	La Litera / La Llitera	4	Separado	1	Hombre	77,1036696624
09	La Litera / La Llitera	5	Divorciado	1	Hombre	238,4330076681
10	Los Monegros	1	Soltero	1	Hombre	3500,8557795092
10	Los Monegros	2	Casado	1	Hombre	5301,2838152072
10	Los Monegros	3	Viudo	1	Hombre	284,322198133
10	Los Monegros	4	Separado	1	Hombre	138,1766016183
10	Los Monegros	5	Divorciado	1	Hombre	189,9538431635
11	Bajo Cinca / Baix Cinca	1	Soltero	1	Hombre	4062,6017414139
11	Bajo Cinca / Baix Cinca	2	Casado	1	Hombre	6206,6004466658
11	Bajo Cinca / Baix Cinca	3	Viudo	1	Hombre	326,4275556286
11	Bajo Cinca / Baix Cinca	4	Separado	1	Hombre	125,9253840615
11	Bajo Cinca / Baix Cinca	5	Divorciado	1	Hombre	185,5006040709
12	Tarazona y el Moncayo	1	Soltero	1	Hombre	1962,2016855767
12	Tarazona y el Moncayo	2	Casado	1	Hombre	3647,1933580483
12	Tarazona y el Moncayo	3	Viudo	1	Hombre	217,791096151
12	Tarazona y el Moncayo	4	Separado	1	Hombre	89,3008610497
12	Tarazona y el Moncayo	5	Divorciado	1	Hombre	199,1140835527
13	Campo de Borja	1	Soltero	1	Hombre	2412,4391227468
13	Campo de Borja	2	Casado	1	Hombre	3835,8216669768
13	Campo de Borja	3	Viudo	1	Hombre	244,7325511734
13	Campo de Borja	4	Separado	1	Hombre	50,1937171322
13	Campo de Borja	5	Divorciado	1	Hombre	110,3461974139
14	Aranda	1	Soltero	1	Hombre	1117,7878877202
14	Aranda	2	Casado	1	Hombre	2041,0300647467
14	Aranda	3	Viudo	1	Hombre	114,9229810993
14	Aranda	4	Separado	1	Hombre	28,5727401464
14	Aranda	5	Divorciado	1	Hombre	45,1348054457
15	Ribera Alta del Ebro	1	Soltero	1	Hombre	3686,7030118618
15	Ribera Alta del Ebro	2	Casado	1	Hombre	7099,212849578
15	Ribera Alta del Ebro	3	Viudo	1	Hombre	270,1364868149
15	Ribera Alta del Ebro	4	Separado	1	Hombre	231,7041089311
15	Ribera Alta del Ebro	5	Divorciado	1	Hombre	483,8209692577
16	Valdejalón	1	Soltero	1	Hombre	4571,5057339587
16	Valdejalón	2	Casado	1	Hombre	7552,4928465216
16	Valdejalón	3	Viudo	1	Hombre	414,7760539512
16	Valdejalón	4	Separado	1	Hombre	107,2541530375
16	Valdejalón	5	Divorciado	1	Hombre	371,6269249333
17	D.C. Zaragoza	1	Soltero	1	Hombre	107690,06419571
17	D.C. Zaragoza	2	Casado	1	Hombre	174424,875796322
17	D.C. Zaragoza	3	Viudo	1	Hombre	8024,8987081535
17	D.C. Zaragoza	4	Separado	1	Hombre	4563,7724429051
17	D.C. Zaragoza	5	Divorciado	1	Hombre	9794,2518178836
18	Ribera Baja del Ebro	1	Soltero	1	Hombre	1372,1721125346
18	Ribera Baja del Ebro	2	Casado	1	Hombre	2440,1714057195
18	Ribera Baja del Ebro	3	Viudo	1	Hombre	155,5121624105
18	Ribera Baja del Ebro	4	Separado	1	Hombre	41,7016534089
18	Ribera Baja del Ebro	5	Divorciado	1	Hombre	99,4389511818
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	Soltero	1	Hombre	2461,464747703
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2	Casado	1	Hombre	3691,5129894333
19	Bajo Aragón-Caspe / Baix Aragó-Casp	3	Viudo	1	Hombre	259,404914231
19	Bajo Aragón-Caspe / Baix Aragó-Casp	4	Separado	1	Hombre	116,8281190308
19	Bajo Aragón-Caspe / Baix Aragó-Casp	5	Divorciado	1	Hombre	73,0160910168
20	Comunidad de Calatayud	1	Soltero	1	Hombre	6496,3519332433
20	Comunidad de Calatayud	2	Casado	1	Hombre	10030,7508145378
20	Comunidad de Calatayud	3	Viudo	1	Hombre	761,8941419505
20	Comunidad de Calatayud	4	Separado	1	Hombre	215,8306833384
20	Comunidad de Calatayud	5	Divorciado	1	Hombre	425,8664097923
21	Campo de Cariñena	1	Soltero	1	Hombre	1934,5901397486
21	Campo de Cariñena	2	Casado	1	Hombre	2848,3954390247
21	Campo de Cariñena	3	Viudo	1	Hombre	198,2587923336
21	Campo de Cariñena	4	Separado	1	Hombre	68,6326062304
21	Campo de Cariñena	5	Divorciado	1	Hombre	129,8062553698
22	Campo de Belchite	1	Soltero	1	Hombre	909,4256571876
22	Campo de Belchite	2	Casado	1	Hombre	1431,3192061984
22	Campo de Belchite	3	Viudo	1	Hombre	91,6863177099
22	Campo de Belchite	4	Separado	1	Hombre	19,1852653855
22	Campo de Belchite	5	Divorciado	1	Hombre	63,7604560611
23	Bajo Martín	1	Soltero	1	Hombre	1008,4031979872
23	Bajo Martín	2	Casado	1	Hombre	1900,7940406269
23	Bajo Martín	3	Viudo	1	Hombre	151,0642499069
23	Bajo Martín	4	Separado	1	Hombre	35,8681158664
23	Bajo Martín	5	Divorciado	1	Hombre	34,9997170012
24	Campo de Daroca	1	Soltero	1	Hombre	1060,3523374379
24	Campo de Daroca	2	Casado	1	Hombre	1716,852150479
24	Campo de Daroca	3	Viudo	1	Hombre	127,8548130259
24	Campo de Daroca	4	Separado	1	Hombre	21,7293003066
24	Campo de Daroca	5	Divorciado	1	Hombre	77,3883285155
