Provincia codigo	Provincia nombre	Grado, código	Grado	Sexo, código	Sexo	Grandes grupos, código	Grandes grupos	Personas
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	1	De 16 a 25	1591,8373510516
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	2	De 26 a 45	2794,0759390013
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	3	De 46 a 64	4339,0333109893
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	4	De 65 a 84	6046,0910954086
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	5	85 y más	1188,9795673607
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	1	De 16 a 25	8723,0615308084
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	2	De 26 a 45	23532,0507997271
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	3	De 46 a 64	20049,5047412159
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	4	De 65 a 84	6929,9335053195
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	5	85 y más	562,1412412234
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	1	De 16 a 25	834,2768915937
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	2	De 26 a 45	6866,4312831221
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	3	De 46 a 64	4387,0672307282
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	4	De 65 a 84	1255,8047821381
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	5	85 y más	144,8349370857
22	Huesca	2	Analfabetos o sin estudios	1	Hombre	1	De 16 a 25	208,43518736
22	Huesca	2	Analfabetos o sin estudios	1	Hombre	2	De 26 a 45	1389,2837903876
22	Huesca	2	Analfabetos o sin estudios	1	Hombre	3	De 46 a 64	955,3024018406
22	Huesca	2	Analfabetos o sin estudios	1	Hombre	4	De 65 a 84	3850,0709949622
22	Huesca	2	Analfabetos o sin estudios	1	Hombre	5	85 y más	1372,1079964314
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	1	De 16 a 25	1153,5589338646
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	2	De 26 a 45	1593,9079887561
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	3	De 46 a 64	3223,9811200673
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	4	De 65 a 84	4333,7562367894
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	5	85 y más	620,0801701749
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	1	De 16 a 25	6227,5260594783
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	2	De 26 a 45	15545,5823225471
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	3	De 46 a 64	12540,0666416652
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	4	De 65 a 84	4367,3529979179
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	5	85 y más	404,1374503962
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	1	De 16 a 25	574,3255096184
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	2	De 26 a 45	3123,1022944701
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	3	De 46 a 64	2113,5228975093
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	4	De 65 a 84	376,7417614175
