Provincia código	Provincia nombre	Año de construcción	Número hogares
22	Huesca	  No aplicable	355
22	Huesca	 Antes de 1900	10744
22	Huesca	1900 - 1920	2452
22	Huesca	1921 - 1940	3152
22	Huesca	1941 - 1950	3671
22	Huesca	1951 - 1960	6510
22	Huesca	1961 - 1970	10748
22	Huesca	1971 - 1980	13872
22	Huesca	1981 - 1990	11315
22	Huesca	1991	1169
22	Huesca	1992	1199
22	Huesca	1993	1176
22	Huesca	1994	942
22	Huesca	1995	836
22	Huesca	1996	1084
22	Huesca	1997	1020
22	Huesca	1998	880
22	Huesca	1999	1061
22	Huesca	2000	930
22	Huesca	2001	670
44	Teruel	  No aplicable	151
44	Teruel	 Antes de 1900	9065
44	Teruel	1900 - 1920	2575
44	Teruel	1921 - 1940	2706
44	Teruel	1941 - 1950	2969
44	Teruel	1951 - 1960	4241
44	Teruel	1961 - 1970	5114
44	Teruel	1971 - 1980	9401
44	Teruel	1981 - 1990	8096
44	Teruel	1991	739
44	Teruel	1992	687
44	Teruel	1993	756
44	Teruel	1994	617
44	Teruel	1995	669
44	Teruel	1996	646
44	Teruel	1997	458
44	Teruel	1998	495
44	Teruel	1999	624
44	Teruel	2000	487
44	Teruel	2001	574
50	Zaragoza	  No aplicable	883
50	Zaragoza	 Antes de 1900	15603
50	Zaragoza	1900 - 1920	6959
50	Zaragoza	1921 - 1940	10038
50	Zaragoza	1941 - 1950	13553
50	Zaragoza	1951 - 1960	35473
50	Zaragoza	1961 - 1970	64719
50	Zaragoza	1971 - 1980	70351
50	Zaragoza	1981 - 1990	51240
50	Zaragoza	1991	6701
50	Zaragoza	1992	4712
50	Zaragoza	1993	4141
50	Zaragoza	1994	4511
50	Zaragoza	1995	4046
50	Zaragoza	1996	4924
50	Zaragoza	1997	4499
50	Zaragoza	1998	4880
50	Zaragoza	1999	4255
50	Zaragoza	2000	4013
50	Zaragoza	2001	2886
