Provincia código	Provincia nombre	Sexo	Año	Saldo migratorio
22	Huesca	Hombres	2017	193
22	Huesca	Mujeres	2017	284
44	Teruel	Hombres	2017	-146
44	Teruel	Mujeres	2017	-55
50	Zaragoza	Hombres	2017	1249
50	Zaragoza	Mujeres	2017	1778
22	Huesca	Hombres	2016	1
22	Huesca	Mujeres	2016	-32
44	Teruel	Hombres	2016	-425
44	Teruel	Mujeres	2016	-292
50	Zaragoza	Hombres	2016	495
50	Zaragoza	Mujeres	2016	2025
22	Huesca	Hombres	2015	-256
22	Huesca	Mujeres	2015	-107
44	Teruel	Hombres	2015	-588
44	Teruel	Mujeres	2015	-455
50	Zaragoza	Hombres	2015	-408
50	Zaragoza	Mujeres	2015	938
22	Huesca	Hombres	2014	-388
22	Huesca	Mujeres	2014	-212
44	Teruel	Hombres	2014	-569
44	Teruel	Mujeres	2014	-343
50	Zaragoza	Hombres	2014	625
50	Zaragoza	Mujeres	2014	588
22	Huesca	Hombres	2013	-444
22	Huesca	Mujeres	2013	-74
44	Teruel	Hombres	2013	-669
44	Teruel	Mujeres	2013	-441
50	Zaragoza	Hombres	2013	-898
50	Zaragoza	Mujeres	2013	136
22	Huesca	Hombres	2012	-249
22	Huesca	Mujeres	2012	-110
44	Teruel	Hombres	2012	-650
44	Teruel	Mujeres	2012	-360
50	Zaragoza	Hombres	2012	-518
50	Zaragoza	Mujeres	2012	548
22	Huesca	Hombres	2011	-408
22	Huesca	Mujeres	2011	65
44	Teruel	Hombres	2011	-431
44	Teruel	Mujeres	2011	-295
50	Zaragoza	Hombres	2011	1843
50	Zaragoza	Mujeres	2011	3022
22	Huesca	Hombres	2010	-95
22	Huesca	Mujeres	2010	146
44	Teruel	Hombres	2010	-57
44	Teruel	Mujeres	2010	84
50	Zaragoza	Hombres	2010	-20
50	Zaragoza	Mujeres	2010	2280
22	Huesca	Hombres	2009	108
22	Huesca	Mujeres	2009	320
44	Teruel	Hombres	2009	-581
44	Teruel	Mujeres	2009	22
50	Zaragoza	Hombres	2009	1885
50	Zaragoza	Mujeres	2009	3110
22	Huesca	Hombres	2008	1746
22	Huesca	Mujeres	2008	1175
44	Teruel	Hombres	2008	657
44	Teruel	Mujeres	2008	511
50	Zaragoza	Hombres	2008	8619
50	Zaragoza	Mujeres	2008	6963
