Provincia código	Provincia nombre	Año	Orden	Siglas	Votos
22	Huesca	2007	1	PSOE	51820
22	Huesca	2007	2	PP	34366
22	Huesca	2007	3	PAR	18455
22	Huesca	2007	4	CHA	10092
22	Huesca	2007	5	IU	3009
22	Huesca	2007	9	CDL	190
22	Huesca	2007	10	IU-A	943
22	Huesca	2007	13	LV-GV	803
22	Huesca	2007	16	PFYV	45
22	Huesca	2007	18	P.S.	236
22	Huesca	2007	19	ALCIVI	233
22	Huesca	2007	20	AEI-CP	184
22	Huesca	2007	25	A.E.S.	100
22	Huesca	2007	26	AI	91
22	Huesca	2007	27	I.E.I.	79
22	Huesca	2007	28	LV	74
22	Huesca	2007	32	AE	51
22	Huesca	2007	34	AESCSB	48
22	Huesca	2007	41	FV	15
22	Huesca	2007	42	AE NAVAL-MI	11
22	Huesca	2007	43	AIEADO	9
22	Huesca	2011	1	PP	40233
22	Huesca	2011	2	PSOE	44567
22	Huesca	2011	3	PAR	19352
22	Huesca	2011	4	CHA	7259
22	Huesca	2011	5	IU	4758
22	Huesca	2011	6	UPyD	564
22	Huesca	2011	7	COMPROMISO CON ARAGON	40
22	Huesca	2011	8	FIA	388
22	Huesca	2011	9	ECOLO	996
22	Huesca	2011	11	PACMA	56
22	Huesca	2011	12	CDL	86
22	Huesca	2011	17	AES	183
22	Huesca	2011	20	CDF	281
22	Huesca	2011	24	A E I POLEÑINO	94
22	Huesca	2011	28	AELEF	63
22	Huesca	2011	33	CCD	40
22	Huesca	2011	34	UCE	15
22	Huesca	2011	37	A E NAVAL-MIPANAS	15
22	Huesca	2015	1	PP	32437
22	Huesca	2015	2	PSOE	40770
22	Huesca	2015	4	PAR	15419
22	Huesca	2015	5	C's	4826
22	Huesca	2015	7	CHA	4906
22	Huesca	2015	9	UPyD	227
22	Huesca	2015	10	EB	511
22	Huesca	2015	13	ARAGONSIPUEDE	3840
22	Huesca	2015	15	CAMBIAR	8717
22	Huesca	2015	28	FIA	206
22	Huesca	2015	42	CXF	446
22	Huesca	2015	47	C.P.Btro	327
22	Huesca	2015	63	A.E.G.	148
22	Huesca	2015	67	A.I.E.V.I.	129
22	Huesca	2015	73	AeF	91
22	Huesca	2015	80	AGRUPACION DE ELECTORES SAN JUAN DE PLAN	53
44	Teruel	2007	1	PSOE	28855
44	Teruel	2007	2	PP	25319
44	Teruel	2007	3	PAR	18531
44	Teruel	2007	4	CHA	4749
44	Teruel	2007	5	IU	6094
44	Teruel	2007	8	PCUA	373
44	Teruel	2007	29	L'ENTESA	69
44	Teruel	2007	30	IPN	64
44	Teruel	2007	36	FIA	41
44	Teruel	2007	37	CDIG	31
44	Teruel	2007	38	FAMILIA Y V	30
44	Teruel	2011	1	PP	28136
44	Teruel	2011	2	PSOE	24315
44	Teruel	2011	3	PAR	16051
44	Teruel	2011	4	CHA	3898
44	Teruel	2011	5	IU	5239
44	Teruel	2011	6	UPyD	354
44	Teruel	2011	7	COMPROMISO CON ARAGON	2629
44	Teruel	2011	8	FIA	170
44	Teruel	2011	9	ECOLO	26
44	Teruel	2011	26	ESQUERRA-AM	66
44	Teruel	2011	38	DN	11
44	Teruel	2011	39	LVE	3
44	Teruel	2015	1	PP	22302
44	Teruel	2015	2	PSOE	21396
44	Teruel	2015	4	PAR	14778
44	Teruel	2015	5	C's	2360
44	Teruel	2015	7	CHA	4010
44	Teruel	2015	10	EB	133
44	Teruel	2015	12	COMPROMISO CON ARAGON	1969
44	Teruel	2015	16	G:IU-LV	6865
44	Teruel	2015	28	FIA	68
44	Teruel	2015	49	Asamblea Abierta	303
44	Teruel	2015	58	G.B.A.	200
44	Teruel	2015	64	C.S.I.E	148
44	Teruel	2015	79	UxA	60
44	Teruel	2015	90	YA	19
44	Teruel	2015	93	PNP	14
50	Zaragoza	2007	1	PSOE	179992
50	Zaragoza	2007	2	PP	144435
50	Zaragoza	2007	3	PAR	57093
50	Zaragoza	2007	4	CHA	43622
50	Zaragoza	2007	5	IU	19844
50	Zaragoza	2007	6	LV-FIA	2364
50	Zaragoza	2007	7	CPC	1640
50	Zaragoza	2007	8	PCUA	1192
50	Zaragoza	2007	9	CDL	1030
50	Zaragoza	2007	11	PACMA	916
50	Zaragoza	2007	12	CIPV	888
50	Zaragoza	2007	14	CC-IU	563
50	Zaragoza	2007	15	PUM+J	521
50	Zaragoza	2007	16	PFYV	455
50	Zaragoza	2007	17	PH	241
50	Zaragoza	2007	21	GIC	154
50	Zaragoza	2007	22	IA	128
50	Zaragoza	2007	23	CAVA	108
50	Zaragoza	2007	24	PSD	104
50	Zaragoza	2007	31	UCL	55
50	Zaragoza	2007	33	A AL	50
50	Zaragoza	2007	35	AIL	42
50	Zaragoza	2007	39	IND	27
50	Zaragoza	2007	40	PAVIP	26
50	Zaragoza	2011	1	PP	182819
50	Zaragoza	2011	2	PSOE	145031
50	Zaragoza	2011	3	PAR	42190
50	Zaragoza	2011	4	CHA	41992
50	Zaragoza	2011	5	IU	29443
50	Zaragoza	2011	6	UPyD	12191
50	Zaragoza	2011	7	COMPROMISO CON ARAGON	1367
50	Zaragoza	2011	8	FIA	2076
50	Zaragoza	2011	9	ECOLO	1577
50	Zaragoza	2011	10	LV-GV	1505
50	Zaragoza	2011	11	PACMA	1051
50	Zaragoza	2011	12	CDL	944
50	Zaragoza	2011	13	CPC	862
50	Zaragoza	2011	14	PUM+J	587
50	Zaragoza	2011	15	TA	500
50	Zaragoza	2011	16	PCUA	465
50	Zaragoza	2011	17	AES	235
50	Zaragoza	2011	18	PCPE	384
50	Zaragoza	2011	19	PFYV	301
50	Zaragoza	2011	21	PH	271
50	Zaragoza	2011	22	L'VIA	227
50	Zaragoza	2011	23	ACC	221
50	Zaragoza	2011	25	AISOS	73
50	Zaragoza	2011	27	CAVA	65
50	Zaragoza	2011	29	ECOLO VERDES	53
50	Zaragoza	2011	30	PIRUM	47
50	Zaragoza	2011	31	INDEPENDIENTE CALCENA	43
50	Zaragoza	2011	32	UCL	43
50	Zaragoza	2011	34	UCE	16
50	Zaragoza	2011	35	A E I SABIÑAN	29
50	Zaragoza	2011	36	PYLN	29
50	Zaragoza	2015	1	PP	132116
50	Zaragoza	2015	2	PSOE	115048
50	Zaragoza	2015	3	ZGZ	81601
50	Zaragoza	2015	4	PAR	29252
50	Zaragoza	2015	5	C's	45718
50	Zaragoza	2015	7	CHA	33203
50	Zaragoza	2015	9	UPyD	4931
50	Zaragoza	2015	10	EB	4783
50	Zaragoza	2015	11	PACMA	3840
50	Zaragoza	2015	12	COMPROMISO CON ARAGON	2696
50	Zaragoza	2015	13	ARAGONSIPUEDE	2186
50	Zaragoza	2015	14	LV-GV	1818
50	Zaragoza	2015	15	CAMBIAR	15
50	Zaragoza	2015	17	IU-ZGZ	2992
50	Zaragoza	2015	18	P.C.P.E.	899
50	Zaragoza	2015	22	M.S.R.	629
50	Zaragoza	2015	25	EPC-ZGZ	1207
50	Zaragoza	2015	28	FIA	912
50	Zaragoza	2015	30	BAR	552
50	Zaragoza	2015	32	E.A.	454
50	Zaragoza	2015	37	SZ - ZGZ	595
50	Zaragoza	2015	38	POR MALLEN	551
50	Zaragoza	2015	40	SOMOS EPILA	482
50	Zaragoza	2015	41	CCA-ZGZ	479
50	Zaragoza	2015	43	FIA-PILL	442
50	Zaragoza	2015	46	UNIÓN UTEBO	350
50	Zaragoza	2015	52	CALATAYUD PLURAL - ZGZ	276
50	Zaragoza	2015	55	GLM-ZGZ	214
50	Zaragoza	2015	59	A.V.P.	184
50	Zaragoza	2015	61	GA-ZGZ	172
50	Zaragoza	2015	62	IP ATECA - ZGZ	156
50	Zaragoza	2015	66	I.P.H.	133
50	Zaragoza	2015	72	IU	97
50	Zaragoza	2015	77	AGRUPACION DE ELECTORES TODOS CERVERA	68
50	Zaragoza	2015	78	AE MURILLO DE GALLEGO	63
50	Zaragoza	2015	81	AE EL FRAGO	50
50	Zaragoza	2015	84	A.E.L.H.A.	42
50	Zaragoza	2015	87	UCIN	26
50	Zaragoza	2015	88	JUNTOS POR ALADRÉN	23
50	Zaragoza	2015	89	GANAR-ZRZ	22
50	Zaragoza	2015	92	COMIENZOS NUEVOS	15
