Año	Provincia código	Provincia nombre	Tipo de vehículo	Tipo de vehículo (orden)	Cantidad
2016	99	Sin clasificar	Camiones y furgonetas	3	7
2016	99	Sin clasificar	Autobuses	4	0
2016	99	Sin clasificar	Tractores industriales	5	0
2016	99	Sin clasificar	Motocicletas	7	3
2016	99	Sin clasificar	Ciclomotores	8	0
2016	99	Sin clasificar	Otros vehículos	9	1
2015	22	Huesca	Turismos	1	110102
2015	22	Huesca	Camiones y furgonetas	3	37271
2015	22	Huesca	Autobuses	4	363
2015	22	Huesca	Tractores industriales	5	1813
2015	22	Huesca	Motocicletas	7	12857
2015	22	Huesca	Ciclomotores	8	9914
2015	22	Huesca	Otros vehículos	9	10865
2015	44	Teruel	Turismos	1	69117
2015	44	Teruel	Camiones y furgonetas	3	24256
2015	44	Teruel	Autobuses	4	98
2015	44	Teruel	Tractores industriales	5	1411
2015	44	Teruel	Motocicletas	7	7234
2015	44	Teruel	Ciclomotores	8	7644
2015	44	Teruel	Otros vehículos	9	6448
2015	50	Zaragoza	Turismos	1	393880
2015	50	Zaragoza	Camiones y furgonetas	3	83124
2015	50	Zaragoza	Autobuses	4	1046
2015	50	Zaragoza	Tractores industriales	5	5269
2015	50	Zaragoza	Motocicletas	7	49314
2015	50	Zaragoza	Ciclomotores	8	32789
2015	50	Zaragoza	Otros vehículos	9	24237
2014	22	Huesca	Turismos	1	109182
2014	22	Huesca	Camiones y furgonetas	3	37384
2014	22	Huesca	Autobuses	4	346
2014	22	Huesca	Tractores industriales	5	1771
2014	22	Huesca	Motocicletas	7	12575
2014	22	Huesca	Ciclomotores	8	10077
2014	22	Huesca	Otros vehículos	9	9906
2014	44	Teruel	Turismos	1	68278
2014	44	Teruel	Camiones y furgonetas	3	24418
2014	44	Teruel	Autobuses	4	119
2014	44	Teruel	Tractores industriales	5	1260
2014	44	Teruel	Motocicletas	7	6937
2014	44	Teruel	Ciclomotores	8	7756
2014	44	Teruel	Otros vehículos	9	6057
2014	50	Zaragoza	Turismos	1	389536
2014	50	Zaragoza	Camiones y furgonetas	3	83796
2014	50	Zaragoza	Autobuses	4	1042
2014	50	Zaragoza	Tractores industriales	5	5094
2014	50	Zaragoza	Motocicletas	7	47685
2014	50	Zaragoza	Ciclomotores	8	33452
2014	50	Zaragoza	Otros vehículos	9	23430
2014	99	Sin clasificar	Turismos	1	15
2014	99	Sin clasificar	Camiones y furgonetas	3	8
2014	99	Sin clasificar	Autobuses	4	0
2014	99	Sin clasificar	Tractores industriales	5	0
2014	99	Sin clasificar	Motocicletas	7	1
2014	99	Sin clasificar	Ciclomotores	8	0
2014	99	Sin clasificar	Otros vehículos	9	1
2013	22	Huesca	Turismos	1	109049
2013	22	Huesca	Camiones y furgonetas	3	37616
2013	22	Huesca	Autobuses	4	353
2013	22	Huesca	Tractores industriales	5	1702
2013	22	Huesca	Motocicletas	7	12240
2013	22	Huesca	Ciclomotores	8	10265
2013	22	Huesca	Otros vehículos	9	9420
2013	44	Teruel	Turismos	1	68035
2013	44	Teruel	Camiones y furgonetas	3	24701
2013	44	Teruel	Autobuses	4	126
2013	44	Teruel	Tractores industriales	5	1170
2013	44	Teruel	Motocicletas	7	6707
2013	44	Teruel	Ciclomotores	8	7908
2013	44	Teruel	Otros vehículos	9	5797
2013	50	Zaragoza	Turismos	1	388892
2013	50	Zaragoza	Camiones y furgonetas	3	85331
2013	50	Zaragoza	Autobuses	4	1058
2013	50	Zaragoza	Tractores industriales	5	4912
2013	50	Zaragoza	Motocicletas	7	46264
2013	50	Zaragoza	Ciclomotores	8	34218
2013	50	Zaragoza	Otros vehículos	9	22936
2013	99	Sin clasificar	Turismos	1	15
2013	99	Sin clasificar	Camiones y furgonetas	3	0
2013	99	Sin clasificar	Autobuses	4	8
2013	99	Sin clasificar	Tractores industriales	5	0
2013	99	Sin clasificar	Motocicletas	7	1
2013	99	Sin clasificar	Ciclomotores	8	0
2013	99	Sin clasificar	Otros vehículos	9	1
2012	22	Huesca	Turismos	1	109969
2012	22	Huesca	Camiones y furgonetas	3	38028
2012	22	Huesca	Autobuses	4	360
2012	22	Huesca	Tractores industriales	5	1770
2012	22	Huesca	Motocicletas	7	12087
2012	22	Huesca	Ciclomotores	8	10446
2012	22	Huesca	Otros vehículos	9	9105
2012	44	Teruel	Turismos	1	68716
2012	44	Teruel	Camiones y furgonetas	3	25096
2012	44	Teruel	Autobuses	4	129
2012	44	Teruel	Tractores industriales	5	1258
2012	44	Teruel	Motocicletas	7	6639
2012	44	Teruel	Ciclomotores	8	8099
2012	44	Teruel	Otros vehículos	9	5753
2012	50	Zaragoza	Turismos	1	393072
2012	50	Zaragoza	Camiones y furgonetas	3	87579
2012	50	Zaragoza	Autobuses	4	1114
2012	50	Zaragoza	Tractores industriales	5	4992
2012	50	Zaragoza	Motocicletas	7	45654
2012	50	Zaragoza	Ciclomotores	8	35294
2012	50	Zaragoza	Otros vehículos	9	22607
2012	99	Sin clasificar	Turismos	1	8
2012	99	Sin clasificar	Camiones y furgonetas	3	5
2012	99	Sin clasificar	Autobuses	4	0
2012	99	Sin clasificar	Tractores industriales	5	0
2012	99	Sin clasificar	Motocicletas	7	1
2012	99	Sin clasificar	Ciclomotores	8	0
2012	99	Sin clasificar	Otros vehículos	9	1
2011	22	Huesca	Turismos	1	110038
2011	22	Huesca	Camiones y furgonetas	3	38075
2011	22	Huesca	Autobuses	4	363
2011	22	Huesca	Tractores industriales	5	1879
2011	22	Huesca	Motocicletas	7	11849
2011	22	Huesca	Ciclomotores	8	10615
2011	22	Huesca	Otros vehículos	9	8760
2011	44	Teruel	Turismos	1	68866
2011	44	Teruel	Camiones y furgonetas	3	25254
2011	44	Teruel	Autobuses	4	169
2011	44	Teruel	Tractores industriales	5	1299
2011	44	Teruel	Motocicletas	7	6501
2011	44	Teruel	Ciclomotores	8	8309
2011	44	Teruel	Otros vehículos	9	5679
2011	50	Zaragoza	Turismos	1	392930
2011	50	Zaragoza	Camiones y furgonetas	3	89577
2011	50	Zaragoza	Autobuses	4	1120
2011	50	Zaragoza	Tractores industriales	5	5133
2011	50	Zaragoza	Motocicletas	7	44678
2011	50	Zaragoza	Ciclomotores	8	36316
2011	50	Zaragoza	Otros vehículos	9	22414
2011	99	Sin clasificar	Turismos	1	8
2011	99	Sin clasificar	Camiones y furgonetas	3	5
2011	99	Sin clasificar	Autobuses	4	0
2011	99	Sin clasificar	Tractores industriales	5	0
2011	99	Sin clasificar	Motocicletas	7	1
2011	99	Sin clasificar	Ciclomotores	8	0
2011	99	Sin clasificar	Otros vehículos	9	1
2010	22	Huesca	Turismos	1	109607
2010	22	Huesca	Camiones y furgonetas	3	38126
2010	22	Huesca	Autobuses	4	361
2010	22	Huesca	Tractores industriales	5	1935
2010	22	Huesca	Motocicletas	7	11411
2010	22	Huesca	Ciclomotores	8	10844
2010	22	Huesca	Otros vehículos	9	8424
2010	44	Teruel	Turismos	1	72980
2010	44	Teruel	Camiones y furgonetas	3	30784
2010	44	Teruel	Autobuses	4	176
2010	44	Teruel	Tractores industriales	5	1335
2010	44	Teruel	Motocicletas	7	6274
2010	44	Teruel	Ciclomotores	8	8511
2010	44	Teruel	Otros vehículos	9	5464
2010	50	Zaragoza	Turismos	1	391065
2010	50	Zaragoza	Camiones y furgonetas	3	91030
2010	50	Zaragoza	Autobuses	4	1136
2010	50	Zaragoza	Tractores industriales	5	5250
2010	50	Zaragoza	Motocicletas	7	43104
2010	50	Zaragoza	Ciclomotores	8	37190
2010	50	Zaragoza	Otros vehículos	9	21944
2010	99	Sin clasificar	Turismos	1	8
2010	99	Sin clasificar	Camiones y furgonetas	3	5
2010	99	Sin clasificar	Autobuses	4	0
2010	99	Sin clasificar	Tractores industriales	5	0
2010	99	Sin clasificar	Motocicletas	7	1
2010	99	Sin clasificar	Ciclomotores	8	0
2010	99	Sin clasificar	Otros vehículos	9	1
2009	22	Huesca	Turismos	1	108892
2009	22	Huesca	Camiones y furgonetas	3	38078
2009	22	Huesca	Autobuses	4	357
2009	22	Huesca	Tractores industriales	5	1953
2009	22	Huesca	Motocicletas	7	10907
2009	22	Huesca	Ciclomotores	8	10965
2009	22	Huesca	Otros vehículos	9	8218
2009	44	Teruel	Turismos	1	75932
2009	44	Teruel	Camiones y furgonetas	3	36277
2009	44	Teruel	Autobuses	4	175
2009	44	Teruel	Tractores industriales	5	1391
2009	44	Teruel	Motocicletas	7	5973
2009	44	Teruel	Ciclomotores	8	8648
2009	44	Teruel	Otros vehículos	9	5307
2009	50	Zaragoza	Turismos	1	388257
2009	50	Zaragoza	Camiones y furgonetas	3	91601
2009	50	Zaragoza	Autobuses	4	1158
2009	50	Zaragoza	Tractores industriales	5	5310
2009	50	Zaragoza	Motocicletas	7	41378
2009	50	Zaragoza	Ciclomotores	8	38115
2009	50	Zaragoza	Otros vehículos	9	21498
2009	99	Sin clasificar	Turismos	1	26
2009	99	Sin clasificar	Camiones y furgonetas	3	13
2009	99	Sin clasificar	Autobuses	4	0
2009	99	Sin clasificar	Tractores industriales	5	0
2009	99	Sin clasificar	Motocicletas	7	3
2009	99	Sin clasificar	Ciclomotores	8	2
2009	99	Sin clasificar	Otros vehículos	9	1
2008	22	Huesca	Turismos	1	108430
2008	22	Huesca	Camiones y furgonetas	3	37716
2008	22	Huesca	Autobuses	4	348
2008	22	Huesca	Tractores industriales	5	1942
2008	22	Huesca	Motocicletas	7	10418
2008	22	Huesca	Ciclomotores	8	11100
2008	22	Huesca	Otros vehículos	9	8037
2008	44	Teruel	Turismos	1	80201
2008	44	Teruel	Camiones y furgonetas	3	45771
2008	44	Teruel	Autobuses	4	177
2008	44	Teruel	Tractores industriales	5	1516
2008	44	Teruel	Motocicletas	7	5713
2008	44	Teruel	Ciclomotores	8	8743
2008	44	Teruel	Otros vehículos	9	5251
2008	50	Zaragoza	Turismos	1	388895
2008	50	Zaragoza	Camiones y furgonetas	3	92306
2008	50	Zaragoza	Autobuses	4	1197
2008	50	Zaragoza	Tractores industriales	5	5484
2008	50	Zaragoza	Motocicletas	7	39480
2008	50	Zaragoza	Ciclomotores	8	38896
2008	50	Zaragoza	Otros vehículos	9	21210
2008	99	Sin clasificar	Turismos	1	20
2008	99	Sin clasificar	Camiones y furgonetas	3	13
2008	99	Sin clasificar	Autobuses	4	0
2008	99	Sin clasificar	Tractores industriales	5	0
2008	99	Sin clasificar	Motocicletas	7	3
2008	99	Sin clasificar	Ciclomotores	8	2
2008	99	Sin clasificar	Otros vehículos	9	1
2007	22	Huesca	Turismos	1	106658
2007	22	Huesca	Camiones y furgonetas	3	37319
2007	22	Huesca	Autobuses	4	347
2007	22	Huesca	Tractores industriales	5	1921
2007	22	Huesca	Motocicletas	7	9670
2007	22	Huesca	Ciclomotores	8	11182
2007	22	Huesca	Otros vehículos	9	7949
2007	44	Teruel	Turismos	1	75064
2007	44	Teruel	Camiones y furgonetas	3	40959
2007	44	Teruel	Autobuses	4	180
2007	44	Teruel	Tractores industriales	5	1538
2007	44	Teruel	Motocicletas	7	5315
2007	44	Teruel	Ciclomotores	8	8827
2007	44	Teruel	Otros vehículos	9	5067
2007	50	Zaragoza	Turismos	1	382245
2007	50	Zaragoza	Camiones y furgonetas	3	91241
2007	50	Zaragoza	Autobuses	4	1184
2007	50	Zaragoza	Tractores industriales	5	5461
2007	50	Zaragoza	Motocicletas	7	35620
2007	50	Zaragoza	Ciclomotores	8	39062
2007	50	Zaragoza	Otros vehículos	9	20442
2007	99	Sin clasificar	Turismos	1	23
2007	99	Sin clasificar	Camiones y furgonetas	3	15
2007	99	Sin clasificar	Autobuses	4	0
2007	99	Sin clasificar	Tractores industriales	5	0
2007	99	Sin clasificar	Motocicletas	7	4
2007	99	Sin clasificar	Ciclomotores	8	2
2007	99	Sin clasificar	Otros vehículos	9	2
2006	22	Huesca	Turismos	1	106780
2006	22	Huesca	Camiones y furgonetas	3	36873
2006	22	Huesca	Autobuses	4	330
2006	22	Huesca	Tractores industriales	5	1769
2006	22	Huesca	Motocicletas	7	8968
2006	22	Huesca	Ciclomotores	8	11040
2006	22	Huesca	Otros vehículos	9	7302
2006	44	Teruel	Turismos	1	68534
2006	44	Teruel	Camiones y furgonetas	3	32421
2006	44	Teruel	Autobuses	4	179
2006	44	Teruel	Tractores industriales	5	1382
2006	44	Teruel	Motocicletas	7	4873
2006	44	Teruel	Ciclomotores	8	8742
2006	44	Teruel	Otros vehículos	9	4645
2006	50	Zaragoza	Turismos	1	375142
2006	50	Zaragoza	Camiones y furgonetas	3	87478
2006	50	Zaragoza	Autobuses	4	1149
2006	50	Zaragoza	Tractores industriales	5	5044
2006	50	Zaragoza	Motocicletas	7	30875
2006	50	Zaragoza	Ciclomotores	8	38058
2006	50	Zaragoza	Otros vehículos	9	19104
2006	99	Sin clasificar	Turismos	1	23
2006	99	Sin clasificar	Camiones y furgonetas	3	14
2006	99	Sin clasificar	Autobuses	4	0
2006	99	Sin clasificar	Tractores industriales	5	0
2006	99	Sin clasificar	Motocicletas	7	2
2006	99	Sin clasificar	Ciclomotores	8	2
2006	99	Sin clasificar	Otros vehículos	9	2
2005	22	Huesca	Turismos	1	99824
2005	22	Huesca	Camiones y furgonetas	3	34009
2005	22	Huesca	Autobuses	4	327
2005	22	Huesca	Tractores industriales	5	1640
2005	22	Huesca	Motocicletas	7	7756
2005	22	Huesca	Ciclomotores	8	10789
2005	22	Huesca	Otros vehículos	9	6535
2005	44	Teruel	Turismos	1	62286
2005	44	Teruel	Camiones y furgonetas	3	27937
2005	44	Teruel	Autobuses	4	163
2005	44	Teruel	Tractores industriales	5	1423
2005	44	Teruel	Motocicletas	7	4254
2005	44	Teruel	Ciclomotores	8	8612
2005	44	Teruel	Otros vehículos	9	4315
2005	50	Zaragoza	Turismos	1	357790
2005	50	Zaragoza	Camiones y furgonetas	3	82902
2005	50	Zaragoza	Autobuses	4	1112
2005	50	Zaragoza	Tractores industriales	5	4571
2005	50	Zaragoza	Motocicletas	7	26446
2005	50	Zaragoza	Ciclomotores	8	37071
2005	50	Zaragoza	Otros vehículos	9	16804
2005	99	Sin clasificar	Turismos	1	12
2005	99	Sin clasificar	Camiones y furgonetas	3	9
2005	99	Sin clasificar	Autobuses	4	0
2005	99	Sin clasificar	Tractores industriales	5	0
2005	99	Sin clasificar	Motocicletas	7	2
2005	99	Sin clasificar	Ciclomotores	8	0
2005	99	Sin clasificar	Otros vehículos	9	1
2004	22	Huesca	Turismos	1	96844
2004	22	Huesca	Camiones y furgonetas	3	32606
2004	22	Huesca	Autobuses	4	327
2004	22	Huesca	Tractores industriales	5	1596
2004	22	Huesca	Motocicletas	7	7142
2004	22	Huesca	Otros vehículos	9	5912
2004	44	Teruel	Turismos	1	59312
2004	44	Teruel	Camiones y furgonetas	3	23113
2004	44	Teruel	Autobuses	4	155
2004	44	Teruel	Tractores industriales	5	1346
2004	44	Teruel	Motocicletas	7	3866
2004	44	Teruel	Otros vehículos	9	3846
2004	50	Zaragoza	Turismos	1	347789
2004	50	Zaragoza	Camiones y furgonetas	3	79021
2004	50	Zaragoza	Autobuses	4	1099
2004	50	Zaragoza	Tractores industriales	5	4204
2004	50	Zaragoza	Motocicletas	7	23153
2004	50	Zaragoza	Otros vehículos	9	14587
2004	99	Sin clasificar	Turismos	1	51
2004	99	Sin clasificar	Camiones y furgonetas	3	22
2004	99	Sin clasificar	Autobuses	4	0
2004	99	Sin clasificar	Tractores industriales	5	0
2004	99	Sin clasificar	Motocicletas	7	5
2004	99	Sin clasificar	Otros vehículos	9	2
2003	22	Huesca	Turismos	1	94095
2003	22	Huesca	Camiones y furgonetas	3	30984
2003	22	Huesca	Autobuses	4	309
2003	22	Huesca	Tractores industriales	5	1485
2003	22	Huesca	Motocicletas	7	6816
2003	22	Huesca	Otros vehículos	9	5213
2003	44	Teruel	Turismos	1	56029
2003	44	Teruel	Camiones y furgonetas	3	20806
2003	44	Teruel	Autobuses	4	145
2003	44	Teruel	Tractores industriales	5	1289
2003	44	Teruel	Motocicletas	7	3643
2003	44	Teruel	Otros vehículos	9	3434
2003	50	Zaragoza	Turismos	1	336891
2003	50	Zaragoza	Camiones y furgonetas	3	75642
2003	50	Zaragoza	Autobuses	4	1080
2003	50	Zaragoza	Tractores industriales	5	3969
2003	50	Zaragoza	Motocicletas	7	21705
2003	50	Zaragoza	Otros vehículos	9	12939
2003	99	Sin clasificar	Turismos	1	39
2003	99	Sin clasificar	Camiones y furgonetas	3	22
2003	99	Sin clasificar	Autobuses	4	0
2003	99	Sin clasificar	Tractores industriales	5	0
2003	99	Sin clasificar	Motocicletas	7	3
2003	99	Sin clasificar	Otros vehículos	9	1
2002	22	Huesca	Turismos	1	93121
2002	22	Huesca	Camiones y furgonetas	3	29958
2002	22	Huesca	Autobuses	4	318
2002	22	Huesca	Tractores industriales	5	1380
2002	22	Huesca	Motocicletas	7	6820
2002	22	Huesca	Otros vehículos	9	4690
2002	44	Teruel	Turismos	1	54962
2002	44	Teruel	Camiones y furgonetas	3	20131
2002	44	Teruel	Autobuses	4	144
2002	44	Teruel	Tractores industriales	5	1199
2002	44	Teruel	Motocicletas	7	3638
2002	44	Teruel	Otros vehículos	9	3016
2002	50	Zaragoza	Turismos	1	336082
2002	50	Zaragoza	Camiones y furgonetas	3	73994
2002	50	Zaragoza	Autobuses	4	1118
2002	50	Zaragoza	Tractores industriales	5	3807
2002	50	Zaragoza	Motocicletas	7	21759
2002	50	Zaragoza	Otros vehículos	9	11901
2002	99	Sin clasificar	Turismos	1	76
2002	99	Sin clasificar	Camiones y furgonetas	3	39
2002	99	Sin clasificar	Autobuses	4	0
2002	99	Sin clasificar	Tractores industriales	5	0
2002	99	Sin clasificar	Motocicletas	7	9
2002	99	Sin clasificar	Otros vehículos	9	1
2001	22	Huesca	Turismos	1	90764
2001	22	Huesca	Camiones y furgonetas	3	28810
2001	22	Huesca	Autobuses	4	311
2001	22	Huesca	Tractores industriales	5	1319
2001	22	Huesca	Motocicletas	7	6633
2001	22	Huesca	Otros vehículos	9	4256
2001	44	Teruel	Turismos	1	53229
2001	44	Teruel	Camiones y furgonetas	3	19372
2001	44	Teruel	Autobuses	4	136
2001	44	Teruel	Tractores industriales	5	1079
2001	44	Teruel	Motocicletas	7	3559
2001	44	Teruel	Otros vehículos	9	2693
2001	50	Zaragoza	Turismos	1	328293
2001	50	Zaragoza	Camiones y furgonetas	3	71793
2001	50	Zaragoza	Autobuses	4	1063
2001	50	Zaragoza	Tractores industriales	5	3555
2001	50	Zaragoza	Motocicletas	7	21143
2001	50	Zaragoza	Otros vehículos	9	10601
2001	99	Sin clasificar	Turismos	1	78
2001	99	Sin clasificar	Camiones y furgonetas	3	41
2001	99	Sin clasificar	Autobuses	4	0
2001	99	Sin clasificar	Tractores industriales	5	0
2001	99	Sin clasificar	Motocicletas	7	10
2001	99	Sin clasificar	Otros vehículos	9	1
2000	22	Huesca	Turismos	1	87895
2000	22	Huesca	Camiones y furgonetas	3	27570
2000	22	Huesca	Autobuses	4	294
2000	22	Huesca	Tractores industriales	5	1219
2000	22	Huesca	Motocicletas	7	6480
2000	22	Huesca	Otros vehículos	9	3838
2000	44	Teruel	Turismos	1	51257
2000	44	Teruel	Camiones y furgonetas	3	18536
2000	44	Teruel	Autobuses	4	131
2000	44	Teruel	Tractores industriales	5	978
2000	44	Teruel	Motocicletas	7	3463
2000	44	Teruel	Otros vehículos	9	2412
2000	50	Zaragoza	Turismos	1	319668
2000	50	Zaragoza	Camiones y furgonetas	3	69414
2000	50	Zaragoza	Autobuses	4	1076
2000	50	Zaragoza	Tractores industriales	5	3312
2000	50	Zaragoza	Motocicletas	7	20586
2000	50	Zaragoza	Otros vehículos	9	9502
2000	99	Sin clasificar	Turismos	1	42
2000	99	Sin clasificar	Camiones y furgonetas	3	23
2000	99	Sin clasificar	Autobuses	4	0
2000	99	Sin clasificar	Tractores industriales	5	0
2000	99	Sin clasificar	Motocicletas	7	4
2000	99	Sin clasificar	Otros vehículos	9	1
