Provincia código	Provincia nombre	Año	Votos	Siglas	Diputados
22	Huesca	2015	39631	PP-PAR	1
22	Huesca	2015	30039	PSOE	1
22	Huesca	2015	21768	PODEMOS-Ahora Alto Aragón en Común	1
22	Huesca	2015	19703	C's	0
22	Huesca	2015	6400	IU-CHA-UPeC	0
22	Huesca	2015	847	UPYD	0
22	Huesca	2015	785	PACMA	0
22	Huesca	2015	547	EB	0
22	Huesca	2015	248	RECORTES CERO-GRUPO VERDE	0
22	Huesca	2015	253	PCPE	0
22	Huesca	2015	113	Independientes-FIA	0
44	Teruel	2015	28224	PP-PAR	2
44	Teruel	2015	19854	PSOE	1
44	Teruel	2015	11806	PODEMOS	0
44	Teruel	2015	11400	C's	0
44	Teruel	2015	3873	IU-CHA-UPeC	0
44	Teruel	2015	449	UPYD	0
44	Teruel	2015	375	PACMA	0
44	Teruel	2015	317	EB	0
44	Teruel	2015	135	RECORTES CERO-GRUPO VERDE	0
44	Teruel	2015	105	PCPE	0
50	Zaragoza	2015	161341	PP-PAR	3
50	Zaragoza	2015	118742	PSOE	2
50	Zaragoza	2015	102189	PODEMOS	1
50	Zaragoza	2015	94800	C's	1
50	Zaragoza	2015	34773	IU-CHA-UPeC	0
50	Zaragoza	2015	4495	UPYD	0
50	Zaragoza	2015	4042	PACMA	0
50	Zaragoza	2015	2987	EB	0
50	Zaragoza	2015	1839	VOX	0
50	Zaragoza	2015	1079	RECORTES CERO-GRUPO VERDE	0
50	Zaragoza	2015	873	PCPE	0
50	Zaragoza	2015	560	Independientes-FIA	0
