Año	Dirección Provincial Código	Dirección Provincial Nombre	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción
2018	50	Zaragoza	429	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2018	50	Zaragoza	394	87	Asistencia en establecimientos residenciales
2018	50	Zaragoza	364	86	Actividades sanitarias
2018	50	Zaragoza	355	56	Servicios de comidas y bebidas
2018	50	Zaragoza	202	84	Administración Pública y defensa; Seguridad Social obligatoria
2018	50	Zaragoza	138	10	Industria de la alimentación
2018	50	Zaragoza	123	81	Servicios a edificios y actividades de jardinería
2018	50	Zaragoza	122	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2018	50	Zaragoza	120	29	Fabricación de vehículos de motor, remolques y semirremolques
2018	50	Zaragoza	112	52	Almacenamiento y actividades anexas al transporte
2018	22	Huesca	81	56	Servicios de comidas y bebidas
2018	22	Huesca	81	87	Asistencia en establecimientos residenciales
2018	22	Huesca	66	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2018	22	Huesca	60	55	Servicios de alojamiento
2018	22	Huesca	60	86	Actividades sanitarias
2018	22	Huesca	53	84	Administración Pública y defensa; Seguridad Social obligatoria
2018	44	Teruel	49	87	Asistencia en establecimientos residenciales
2018	44	Teruel	47	86	Actividades sanitarias
2018	22	Huesca	46	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2018	44	Teruel	45	84	Administración Pública y defensa; Seguridad Social obligatoria
2018	44	Teruel	42	56	Servicios de comidas y bebidas
2018	44	Teruel	41	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2018	44	Teruel	32	10	Industria de la alimentación
2018	22	Huesca	28	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2018	22	Huesca	25	81	Servicios a edificios y actividades de jardinería
2018	22	Huesca	24	10	Industria de la alimentación
2018	44	Teruel	19	88	Actividades de servicios sociales sin alojamiento
2018	44	Teruel	16	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2018	44	Teruel	14	55	Servicios de alojamiento
2018	44	Teruel	12	81	Servicios a edificios y actividades de jardinería
2017	50	Zaragoza	425	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2017	50	Zaragoza	364	86	Actividades sanitarias
2017	50	Zaragoza	355	87	Asistencia en establecimientos residenciales
2017	50	Zaragoza	342	56	Servicios de comidas y bebidas
2017	50	Zaragoza	205	84	Administración Pública y defensa; Seguridad Social obligatoria
2017	50	Zaragoza	143	52	Almacenamiento y actividades anexas al transporte
2017	50	Zaragoza	130	10	Industria de la alimentación
2017	50	Zaragoza	116	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2017	50	Zaragoza	108	81	Servicios a edificios y actividades de jardinería
2017	50	Zaragoza	103	85	Educación
2017	22	Huesca	84	87	Asistencia en establecimientos residenciales
2017	22	Huesca	80	56	Servicios de comidas y bebidas
2017	22	Huesca	63	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2017	44	Teruel	59	87	Asistencia en establecimientos residenciales
2017	22	Huesca	53	86	Actividades sanitarias
2017	22	Huesca	51	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2017	22	Huesca	50	84	Administración Pública y defensa; Seguridad Social obligatoria
2017	22	Huesca	49	55	Servicios de alojamiento
2017	44	Teruel	42	84	Administración Pública y defensa; Seguridad Social obligatoria
2017	22	Huesca	36	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2017	44	Teruel	36	56	Servicios de comidas y bebidas
2017	22	Huesca	34	88	Actividades de servicios sociales sin alojamiento
2017	44	Teruel	33	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2017	22	Huesca	31	10	Industria de la alimentación
2017	44	Teruel	30	10	Industria de la alimentación
2017	44	Teruel	27	86	Actividades sanitarias
2017	44	Teruel	17	55	Servicios de alojamiento
2017	44	Teruel	16	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2017	44	Teruel	12	81	Servicios a edificios y actividades de jardinería
2017	44	Teruel	8	29	Fabricación de vehículos de motor, remolques y semirremolques
2016	50	Zaragoza	439	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2016	50	Zaragoza	429	86	Actividades sanitarias
2016	50	Zaragoza	346	87	Asistencia en establecimientos residenciales
2016	50	Zaragoza	336	56	Servicios de comidas y bebidas
2016	50	Zaragoza	210	84	Administración Pública y defensa; Seguridad Social obligatoria
2016	50	Zaragoza	119	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2016	50	Zaragoza	110	81	Servicios a edificios y actividades de jardinería
2016	50	Zaragoza	108	10	Industria de la alimentación
2016	50	Zaragoza	95	85	Educación
2016	50	Zaragoza	92	52	Almacenamiento y actividades anexas al transporte
2016	22	Huesca	83	87	Asistencia en establecimientos residenciales
2016	22	Huesca	71	56	Servicios de comidas y bebidas
2016	44	Teruel	61	84	Administración Pública y defensa; Seguridad Social obligatoria
2016	22	Huesca	60	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2016	22	Huesca	59	84	Administración Pública y defensa; Seguridad Social obligatoria
2016	22	Huesca	58	86	Actividades sanitarias
2016	44	Teruel	58	87	Asistencia en establecimientos residenciales
2016	44	Teruel	50	56	Servicios de comidas y bebidas
2016	44	Teruel	47	86	Actividades sanitarias
