Aragón	Estructura hogar	Número hogares
Aragón	Una mujer de 16 a 64 años	19223
Aragón	Un hombre de 16 a 64 años	28207
Aragón	Una mujer de 65 o más años	38617
Aragón	Un hombre de 65 o más años	13687
Aragón	Una mujer adulta con uno o más menores	6423
Aragón	Un hombre adulto con  uno o más menores	2108
Aragón	Dos adultos de 16 a 64 años, sin menores	49169
Aragón	Dos adultos, uno al menos de 65 años o más, sin menores	66481
Aragón	Dos adultos y un menor	33644
Aragón	Dos adultos y dos menores	30698
Aragón	Dos adultos y tres o más menores	3861
Aragón	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	36640
Aragón	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	14365
Aragón	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	2385
Aragón	Otro hogar de tres adultos, con o sin menores	28032
Aragón	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	30601
Aragón	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	3815
Aragón	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	739
Aragón	Otro hogar de cuatro adultos, con o sin menores	13800
Aragón	Cinco o más adultos, con o sin menores	20748
