Provincia código	Provincia nombre	Sexo	Edad	Nivel estudios (agregado)	Personas residentes viviendas familiares
22	Huesca	Mujeres	16 a 19	Analfabetos	11
22	Huesca	Mujeres	16 a 19	Sin estudios	41
22	Huesca	Mujeres	16 a 19	Primer grado	494
22	Huesca	Mujeres	16 a 19	Segundo grado	3490
22	Huesca	Mujeres	20 a 24	Analfabetos	23
22	Huesca	Mujeres	20 a 24	Sin estudios	61
22	Huesca	Mujeres	20 a 24	Primer grado	311
22	Huesca	Mujeres	20 a 24	Segundo grado	4413
22	Huesca	Mujeres	20 a 24	Tercer grado	1681
22	Huesca	Mujeres	25 a 29	Analfabetos	27
22	Huesca	Mujeres	25 a 29	Sin estudios	85
22	Huesca	Mujeres	25 a 29	Primer grado	395
22	Huesca	Mujeres	25 a 29	Segundo grado	3578
22	Huesca	Mujeres	25 a 29	Tercer grado	2895
22	Huesca	Mujeres	30 a 34	Analfabetos	33
22	Huesca	Mujeres	30 a 34	Sin estudios	88
22	Huesca	Mujeres	30 a 34	Primer grado	506
22	Huesca	Mujeres	30 a 34	Segundo grado	4273
22	Huesca	Mujeres	30 a 34	Tercer grado	2241
22	Huesca	Mujeres	35 a 39	Analfabetos	34
22	Huesca	Mujeres	35 a 39	Sin estudios	92
22	Huesca	Mujeres	35 a 39	Primer grado	717
22	Huesca	Mujeres	35 a 39	Segundo grado	4814
22	Huesca	Mujeres	35 a 39	Tercer grado	1939
22	Huesca	Mujeres	40 a 44	Analfabetos	32
22	Huesca	Mujeres	40 a 44	Sin estudios	106
22	Huesca	Mujeres	40 a 44	Primer grado	1068
22	Huesca	Mujeres	40 a 44	Segundo grado	4491
22	Huesca	Mujeres	40 a 44	Tercer grado	1571
22	Huesca	Mujeres	45 a 49	Analfabetos	48
22	Huesca	Mujeres	45 a 49	Sin estudios	147
22	Huesca	Mujeres	45 a 49	Primer grado	1492
22	Huesca	Mujeres	45 a 49	Segundo grado	3656
22	Huesca	Mujeres	45 a 49	Tercer grado	959
22	Huesca	Mujeres	50 a 54	Analfabetos	46
22	Huesca	Mujeres	50 a 54	Sin estudios	244
22	Huesca	Mujeres	50 a 54	Primer grado	1937
22	Huesca	Mujeres	50 a 54	Segundo grado	2876
22	Huesca	Mujeres	50 a 54	Tercer grado	595
22	Huesca	Mujeres	55 a 59	Analfabetos	59
22	Huesca	Mujeres	55 a 59	Sin estudios	427
22	Huesca	Mujeres	55 a 59	Primer grado	2491
22	Huesca	Mujeres	55 a 59	Segundo grado	2132
22	Huesca	Mujeres	55 a 59	Tercer grado	402
22	Huesca	Mujeres	60 a 64	Analfabetos	71
22	Huesca	Mujeres	60 a 64	Sin estudios	656
22	Huesca	Mujeres	60 a 64	Primer grado	2601
22	Huesca	Mujeres	60 a 64	Segundo grado	1179
22	Huesca	Mujeres	60 a 64	Tercer grado	199
22	Huesca	Mujeres	65 a 69	Analfabetos	112
22	Huesca	Mujeres	65 a 69	Sin estudios	1245
22	Huesca	Mujeres	65 a 69	Primer grado	3676
22	Huesca	Mujeres	65 a 69	Segundo grado	1133
22	Huesca	Mujeres	65 a 69	Tercer grado	190
22	Huesca	Mujeres	70 a 74	Analfabetos	147
22	Huesca	Mujeres	70 a 74	Sin estudios	1675
22	Huesca	Mujeres	70 a 74	Primer grado	3673
22	Huesca	Mujeres	70 a 74	Segundo grado	821
22	Huesca	Mujeres	70 a 74	Tercer grado	193
22	Huesca	Mujeres	75 a 79	Analfabetos	163
22	Huesca	Mujeres	75 a 79	Sin estudios	1799
22	Huesca	Mujeres	75 a 79	Primer grado	3096
