Mes y año	Mes (código)	Sección (1 letra) código	Sección (1 letra) descripción	Sexo	Número de contratos	Provincia código	Provincia nombre	Clasificación
Junio 2016	201606	A	Agricultura, ganadería, silvicultura y pesca	Hombres	2311	22	Huesca	CNAE - 2009
Junio 2016	201606	A	Agricultura, ganadería, silvicultura y pesca	Mujeres	568	22	Huesca	CNAE - 2009
Junio 2016	201606	B	Industrias extractivas	Hombres	6	22	Huesca	CNAE - 2009
Junio 2016	201606	B	Industrias extractivas	Mujeres	1	22	Huesca	CNAE - 2009
Junio 2016	201606	C	Industria manufacturera	Hombres	409	22	Huesca	CNAE - 2009
Junio 2016	201606	C	Industria manufacturera	Mujeres	113	22	Huesca	CNAE - 2009
Junio 2016	201606	D	Suministro de energía eléctrica, gas, vapor y aire acondicionado	Hombres	8	22	Huesca	CNAE - 2009
Junio 2016	201606	D	Suministro de energía eléctrica, gas, vapor y aire acondicionado	Mujeres	2	22	Huesca	CNAE - 2009
Junio 2016	201606	E	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación	Hombres	21	22	Huesca	CNAE - 2009
Junio 2016	201606	E	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación	Mujeres	4	22	Huesca	CNAE - 2009
Junio 2016	201606	F	Construcción	Hombres	402	22	Huesca	CNAE - 2009
Junio 2016	201606	F	Construcción	Mujeres	21	22	Huesca	CNAE - 2009
Junio 2016	201606	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	Hombres	671	22	Huesca	CNAE - 2009
Junio 2016	201606	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	Mujeres	1036	22	Huesca	CNAE - 2009
Junio 2016	201606	H	Transporte y almacenamiento	Hombres	222	22	Huesca	CNAE - 2009
Junio 2016	201606	H	Transporte y almacenamiento	Mujeres	95	22	Huesca	CNAE - 2009
Junio 2016	201606	I	Hostelería	Hombres	1127	22	Huesca	CNAE - 2009
Junio 2016	201606	I	Hostelería	Mujeres	1554	22	Huesca	CNAE - 2009
Junio 2016	201606	J	Información y comunicaciones	Hombres	21	22	Huesca	CNAE - 2009
Junio 2016	201606	J	Información y comunicaciones	Mujeres	11	22	Huesca	CNAE - 2009
Junio 2016	201606	K	Actividades financieras y de seguros	Hombres	12	22	Huesca	CNAE - 2009
Junio 2016	201606	K	Actividades financieras y de seguros	Mujeres	16	22	Huesca	CNAE - 2009
Junio 2016	201606	L	Actividades inmobiliarias	Hombres	2	22	Huesca	CNAE - 2009
Junio 2016	201606	L	Actividades inmobiliarias	Mujeres	5	22	Huesca	CNAE - 2009
Junio 2016	201606	M	Actividades profesionales, científicas y técnicas	Hombres	90	22	Huesca	CNAE - 2009
Junio 2016	201606	M	Actividades profesionales, científicas y técnicas	Mujeres	67	22	Huesca	CNAE - 2009
Junio 2016	201606	N	Actividades administrativas y servicios auxiliares	Hombres	352	22	Huesca	CNAE - 2009
Junio 2016	201606	N	Actividades administrativas y servicios auxiliares	Mujeres	363	22	Huesca	CNAE - 2009
Junio 2016	201606	O	Administración Pública y defensa; Seguridad Social obligatoria	Hombres	100	22	Huesca	CNAE - 2009
Junio 2016	201606	O	Administración Pública y defensa; Seguridad Social obligatoria	Mujeres	89	22	Huesca	CNAE - 2009
Junio 2016	201606	P	Educación	Hombres	38	22	Huesca	CNAE - 2009
Junio 2016	201606	P	Educación	Mujeres	108	22	Huesca	CNAE - 2009
Junio 2016	201606	Q	Actividades sanitarias y de servicios sociales	Hombres	86	22	Huesca	CNAE - 2009
Junio 2016	201606	Q	Actividades sanitarias y de servicios sociales	Mujeres	389	22	Huesca	CNAE - 2009
Junio 2016	201606	R	Actividades artísticas, recreativas y de entretenimiento	Hombres	397	22	Huesca	CNAE - 2009
Junio 2016	201606	R	Actividades artísticas, recreativas y de entretenimiento	Mujeres	250	22	Huesca	CNAE - 2009
Junio 2016	201606	S	Otros servicios	Hombres	21	22	Huesca	CNAE - 2009
Junio 2016	201606	S	Otros servicios	Mujeres	82	22	Huesca	CNAE - 2009
Junio 2016	201606	T	Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio	Hombres	12	22	Huesca	CNAE - 2009
Junio 2016	201606	T	Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio	Mujeres	74	22	Huesca	CNAE - 2009
Junio 2016	201606	A	Agricultura, ganadería, silvicultura y pesca	Hombres	320	44	Teruel	CNAE - 2009
Junio 2016	201606	A	Agricultura, ganadería, silvicultura y pesca	Mujeres	145	44	Teruel	CNAE - 2009
Junio 2016	201606	B	Industrias extractivas	Hombres	9	44	Teruel	CNAE - 2009
Junio 2016	201606	C	Industria manufacturera	Hombres	664	44	Teruel	CNAE - 2009
Junio 2016	201606	C	Industria manufacturera	Mujeres	145	44	Teruel	CNAE - 2009
