Comarca código	Comarca nombre	Sexo	Nacionalidad Continente codigo	Nacionalidad Continente	Año	Saldo migratorio
01	La Jacetania	Hombres	1	Europa	2019	-9
01	La Jacetania	Hombres	2	África	2019	5
01	La Jacetania	Hombres	3	América	2019	67
01	La Jacetania	Hombres	4	Asia	2019	3
01	La Jacetania	Mujeres	1	Europa	2019	40
01	La Jacetania	Mujeres	2	África	2019	-1
01	La Jacetania	Mujeres	3	América	2019	82
01	La Jacetania	Mujeres	4	Asia	2019	6
02	Alto Gállego	Hombres	1	Europa	2019	-213
02	Alto Gállego	Hombres	2	África	2019	5
02	Alto Gállego	Hombres	3	América	2019	45
02	Alto Gállego	Hombres	4	Asia	2019	-2
02	Alto Gállego	Mujeres	1	Europa	2019	-138
02	Alto Gállego	Mujeres	2	África	2019	-2
02	Alto Gállego	Mujeres	3	América	2019	38
02	Alto Gállego	Mujeres	4	Asia	2019	-2
03	Sobrarbe	Hombres	1	Europa	2019	36
03	Sobrarbe	Hombres	2	África	2019	6
03	Sobrarbe	Hombres	3	América	2019	8
03	Sobrarbe	Hombres	4	Asia	2019	1
03	Sobrarbe	Hombres	5	Otros continentes	2019	-2
03	Sobrarbe	Mujeres	1	Europa	2019	33
03	Sobrarbe	Mujeres	2	África	2019	-2
03	Sobrarbe	Mujeres	3	América	2019	26
03	Sobrarbe	Mujeres	5	Otros continentes	2019	-1
04	La Ribagorza	Hombres	1	Europa	2019	24
04	La Ribagorza	Hombres	2	África	2019	17
04	La Ribagorza	Hombres	3	América	2019	26
04	La Ribagorza	Hombres	4	Asia	2019	0
04	La Ribagorza	Hombres	5	Otros continentes	2019	-1
04	La Ribagorza	Mujeres	1	Europa	2019	-6
04	La Ribagorza	Mujeres	2	África	2019	4
04	La Ribagorza	Mujeres	3	América	2019	40
04	La Ribagorza	Mujeres	4	Asia	2019	-1
05	Cinco Villas	Hombres	1	Europa	2019	30
05	Cinco Villas	Hombres	2	África	2019	69
05	Cinco Villas	Hombres	3	América	2019	25
05	Cinco Villas	Hombres	4	Asia	2019	4
05	Cinco Villas	Hombres	5	Otros continentes	2019	2
05	Cinco Villas	Mujeres	1	Europa	2019	13
05	Cinco Villas	Mujeres	2	África	2019	7
05	Cinco Villas	Mujeres	3	América	2019	44
05	Cinco Villas	Mujeres	4	Asia	2019	1
05	Cinco Villas	Mujeres	5	Otros continentes	2019	-1
06	Hoya de Huesca / Plana de Uesca	Hombres	1	Europa	2019	37
06	Hoya de Huesca / Plana de Uesca	Hombres	2	África	2019	127
06	Hoya de Huesca / Plana de Uesca	Hombres	3	América	2019	240
06	Hoya de Huesca / Plana de Uesca	Hombres	4	Asia	2019	6
06	Hoya de Huesca / Plana de Uesca	Mujeres	1	Europa	2019	117
06	Hoya de Huesca / Plana de Uesca	Mujeres	2	África	2019	60
06	Hoya de Huesca / Plana de Uesca	Mujeres	3	América	2019	308
06	Hoya de Huesca / Plana de Uesca	Mujeres	4	Asia	2019	2
06	Hoya de Huesca / Plana de Uesca	Mujeres	5	Otros continentes	2019	1
07	Somontano de Barbastro	Hombres	1	Europa	2019	24
