Mes y año	Mes (código)	Mes nombre	Año	Sexo	Número de contratos	Número trabajadores (CC)	CCAA nombre
Julio 2019	201907	Julio	2019	Hombres	10380	01 De 1 a 9 trabajadores	Aragón
Julio 2019	201907	Julio	2019	Mujeres	7598	01 De 1 a 9 trabajadores	Aragón
Julio 2019	201907	Julio	2019	Hombres	4506	02 De 10 a 19 trabajadores	Aragón
Julio 2019	201907	Julio	2019	Mujeres	3029	02 De 10 a 19 trabajadores	Aragón
Julio 2019	201907	Julio	2019	Hombres	5999	03 De 20 a 49 trabajadores	Aragón
Julio 2019	201907	Julio	2019	Mujeres	4717	03 De 20 a 49 trabajadores	Aragón
Julio 2019	201907	Julio	2019	Hombres	4808	04 De 50 a 99 trabajadores	Aragón
Julio 2019	201907	Julio	2019	Mujeres	3698	04 De 50 a 99 trabajadores	Aragón
Julio 2019	201907	Julio	2019	Hombres	3450	05 De 100 a 199 trabajadores	Aragón
Julio 2019	201907	Julio	2019	Mujeres	3275	05 De 100 a 199 trabajadores	Aragón
Julio 2019	201907	Julio	2019	Hombres	3388	06 De 200 a 499 trabajadores	Aragón
Julio 2019	201907	Julio	2019	Mujeres	3882	06 De 200 a 499 trabajadores	Aragón
Julio 2019	201907	Julio	2019	Hombres	1984	07 De 500 a 999 trabajadores	Aragón
Julio 2019	201907	Julio	2019	Mujeres	1433	07 De 500 a 999 trabajadores	Aragón
Julio 2019	201907	Julio	2019	Hombres	894	08 De 1.000 a 4.999 trabajadores	Aragón
Julio 2019	201907	Julio	2019	Mujeres	711	08 De 1.000 a 4.999 trabajadores	Aragón
Julio 2019	201907	Julio	2019	Hombres	102	09 De 5.000 o más trabajadores	Aragón
Julio 2019	201907	Julio	2019	Mujeres	39	09 De 5.000 o más trabajadores	Aragón
Julio 2019	201907	Julio	2019	Hombres	643	99 No consta	Aragón
Julio 2019	201907	Julio	2019	Mujeres	429	99 No consta	Aragón
Junio 2019	201906	Junio	2019	Hombres	9798	01 De 1 a 9 trabajadores	Aragón
Junio 2019	201906	Junio	2019	Mujeres	7072	01 De 1 a 9 trabajadores	Aragón
Junio 2019	201906	Junio	2019	Hombres	4485	02 De 10 a 19 trabajadores	Aragón
Junio 2019	201906	Junio	2019	Mujeres	2870	02 De 10 a 19 trabajadores	Aragón
Junio 2019	201906	Junio	2019	Hombres	6445	03 De 20 a 49 trabajadores	Aragón
Junio 2019	201906	Junio	2019	Mujeres	5005	03 De 20 a 49 trabajadores	Aragón
Junio 2019	201906	Junio	2019	Hombres	3758	04 De 50 a 99 trabajadores	Aragón
Junio 2019	201906	Junio	2019	Mujeres	3353	04 De 50 a 99 trabajadores	Aragón
