Provincia código	Provincia nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
22	Huesca	2007	218023	176333	123021	53312	884	2587	119550	69,7662944542428
22	Huesca	2011	228566	175783	121969	53814	1988	3989	115992	69,3861181115352
22	Huesca	2015	224909	174732	116589	58143	1620	2624	112345	66,7244694732505
22	Huesca	2019	219345	172587	114268	58319	933	1397	111938	66,2089265124256
44	Teruel	2007	142160	114781	84623	30158	706	1419	82498	73,7256166090207
44	Teruel	2011	145277	112594	81618	30976	1344	2130	78144	72,4887649430698
44	Teruel	2015	140365	110652	76725	33927	1676	1819	73230	69,3390087842967
44	Teruel	2019	134572	107694	75029	32665	883	925	73221	69,6686909205712
50	Zaragoza	2007	917288	726060	468847	257213	3065	10884	454898	64,574139878247
50	Zaragoza	2011	973252	727542	486317	241225	7043	15559	463715	66,8438385687699
50	Zaragoza	2015	960111	734722	483340	251382	5500	8781	469059	65,7854263245146
50	Zaragoza	2019	954811	738249	484583	253666	2724	4265	477594	65,6395064537846
