Comarca código	Comarca nombre	Edad	Estado civil código	Estado civil	Número hogares
01	La Jacetania	16 a 34 años	1	Solteros/as	284
01	La Jacetania	16 a 34 años	2	Casados/as	45
01	La Jacetania	16 a 34 años	4	Separados/as	7
01	La Jacetania	16 a 34 años	5	Divorciados/as	4
01	La Jacetania	35 a 64 años	1	Solteros/as	372
01	La Jacetania	35 a 64 años	2	Casados/as	201
01	La Jacetania	35 a 64 años	3	Viudos/as	36
01	La Jacetania	35 a 64 años	4	Separados/as	43
01	La Jacetania	35 a 64 años	5	Divorciados/as	38
01	La Jacetania	Mayores de 64 años	1	Solteros/as	280
01	La Jacetania	Mayores de 64 años	2	Casados/as	40
01	La Jacetania	Mayores de 64 años	3	Viudos/as	416
01	La Jacetania	Mayores de 64 años	4	Separados/as	7
01	La Jacetania	Mayores de 64 años	5	Divorciados/as	6
02	Alto Gállego	16 a 34 años	1	Solteros/as	162
02	Alto Gállego	16 a 34 años	2	Casados/as	36
02	Alto Gállego	16 a 34 años	3	Viudos/as	2
02	Alto Gállego	16 a 34 años	4	Separados/as	6
02	Alto Gállego	35 a 64 años	1	Solteros/as	200
02	Alto Gállego	35 a 64 años	2	Casados/as	114
02	Alto Gállego	35 a 64 años	3	Viudos/as	16
02	Alto Gállego	35 a 64 años	4	Separados/as	29
02	Alto Gállego	35 a 64 años	5	Divorciados/as	14
02	Alto Gállego	Mayores de 64 años	1	Solteros/as	106
02	Alto Gállego	Mayores de 64 años	2	Casados/as	33
02	Alto Gállego	Mayores de 64 años	3	Viudos/as	307
02	Alto Gállego	Mayores de 64 años	4	Separados/as	7
03	Sobrarbe	16 a 34 años	1	Solteros/as	99
03	Sobrarbe	16 a 34 años	2	Casados/as	18
03	Sobrarbe	16 a 34 años	4	Separados/as	1
03	Sobrarbe	35 a 64 años	1	Solteros/as	160
03	Sobrarbe	35 a 64 años	2	Casados/as	106
03	Sobrarbe	35 a 64 años	3	Viudos/as	22
03	Sobrarbe	35 a 64 años	4	Separados/as	17
03	Sobrarbe	35 a 64 años	5	Divorciados/as	20
03	Sobrarbe	Mayores de 64 años	1	Solteros/as	90
03	Sobrarbe	Mayores de 64 años	2	Casados/as	36
03	Sobrarbe	Mayores de 64 años	3	Viudos/as	178
03	Sobrarbe	Mayores de 64 años	4	Separados/as	4
04	La Ribagorza	16 a 34 años	1	Solteros/as	213
04	La Ribagorza	16 a 34 años	2	Casados/as	46
04	La Ribagorza	16 a 34 años	4	Separados/as	9
04	La Ribagorza	16 a 34 años	5	Divorciados/as	1
04	La Ribagorza	35 a 64 años	1	Solteros/as	233
04	La Ribagorza	35 a 64 años	2	Casados/as	160
04	La Ribagorza	35 a 64 años	3	Viudos/as	22
04	La Ribagorza	35 a 64 años	4	Separados/as	42
04	La Ribagorza	35 a 64 años	5	Divorciados/as	27
04	La Ribagorza	Mayores de 64 años	1	Solteros/as	211
04	La Ribagorza	Mayores de 64 años	2	Casados/as	48
04	La Ribagorza	Mayores de 64 años	3	Viudos/as	407
04	La Ribagorza	Mayores de 64 años	4	Separados/as	3
04	La Ribagorza	Mayores de 64 años	5	Divorciados/as	7
