Edad	Sexo	Estado civil	Personas residentes viviendas familiares	Aragón
16 a 19	Hombres	Solteros/as	26496	Aragón
16 a 19	Hombres	Casados/as	93	Aragón
16 a 19	Hombres	Separados/as	3	Aragón
16 a 19	Mujeres	Solteros/as	24494	Aragón
16 a 19	Mujeres	Casados/as	219	Aragón
16 a 19	Mujeres	Viudos/as	2	Aragón
16 a 19	Mujeres	Separados/as	8	Aragón
16 a 19	Mujeres	Divorciados/as	3	Aragón
20 a 24	Hombres	Solteros/as	41633	Aragón
20 a 24	Hombres	Casados/as	1012	Aragón
20 a 24	Hombres	Viudos/as	3	Aragón
20 a 24	Hombres	Separados/as	22	Aragón
20 a 24	Hombres	Divorciados/as	3	Aragón
20 a 24	Mujeres	Solteros/as	37397	Aragón
20 a 24	Mujeres	Casados/as	2894	Aragón
20 a 24	Mujeres	Viudos/as	17	Aragón
20 a 24	Mujeres	Separados/as	146	Aragón
20 a 24	Mujeres	Divorciados/as	19	Aragón
25 a 29	Hombres	Solteros/as	39280	Aragón
25 a 29	Hombres	Casados/as	9562	Aragón
25 a 29	Hombres	Viudos/as	9	Aragón
25 a 29	Hombres	Separados/as	268	Aragón
25 a 29	Hombres	Divorciados/as	88	Aragón
25 a 29	Mujeres	Solteros/as	28739	Aragón
25 a 29	Mujeres	Casados/as	15548	Aragón
25 a 29	Mujeres	Viudos/as	62	Aragón
25 a 29	Mujeres	Separados/as	564	Aragón
25 a 29	Mujeres	Divorciados/as	236	Aragón
30 a 34	Hombres	Solteros/as	22601	Aragón
30 a 34	Hombres	Casados/as	23957	Aragón
30 a 34	Hombres	Viudos/as	43	Aragón
30 a 34	Hombres	Separados/as	655	Aragón
30 a 34	Hombres	Divorciados/as	319	Aragón
30 a 34	Mujeres	Solteros/as	13315	Aragón
30 a 34	Mujeres	Casados/as	29183	Aragón
30 a 34	Mujeres	Viudos/as	195	Aragón
30 a 34	Mujeres	Separados/as	1160	Aragón
30 a 34	Mujeres	Divorciados/as	625	Aragón
35 a 39	Hombres	Solteros/as	13328	Aragón
