Comarca código	Comarca nombre	Año	Siglas	Votos	Candidatura
01	La Jacetania	2019	PSOE	3492	PARTIDO SOCIALISTA OBRERO ESPAÑOL
01	La Jacetania	2019	Cs	1830	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
01	La Jacetania	2019	PP	1937	PARTIDO POPULAR
01	La Jacetania	2019	PODEMOS-IU-EQUO	1727	UNIDAS PODEMOS
01	La Jacetania	2019	VOX	1058	VOX
01	La Jacetania	2019	PACMA	76	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
01	La Jacetania	2019	EB	29	ESCAÑOS EN BLANCO
01	La Jacetania	2019	RECORTES CERO-GV	28	RECORTES CERO-GRUPO VERDE
01	La Jacetania	2019	PUM+J	14	POR UN MUNDO MÁS JUSTO
01	La Jacetania	2019	PYLN	26	PUYALON
01	La Jacetania	2019	FIA	16	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
01	La Jacetania	2019	PCPE	7	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
01	La Jacetania	2019	PCTE	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
02	Alto Gállego	2019	PSOE	2661	PARTIDO SOCIALISTA OBRERO ESPAÑOL
02	Alto Gállego	2019	Cs	1504	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
02	Alto Gállego	2019	PP	1342	PARTIDO POPULAR
02	Alto Gállego	2019	PODEMOS-IU-EQUO	1298	UNIDAS PODEMOS
02	Alto Gállego	2019	VOX	563	VOX
02	Alto Gállego	2019	PACMA	68	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
02	Alto Gállego	2019	EB	25	ESCAÑOS EN BLANCO
02	Alto Gállego	2019	RECORTES CERO-GV	19	RECORTES CERO-GRUPO VERDE
02	Alto Gállego	2019	PUM+J	9	POR UN MUNDO MÁS JUSTO
02	Alto Gállego	2019	PYLN	12	PUYALON
02	Alto Gállego	2019	FIA	14	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
02	Alto Gállego	2019	PCPE	17	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
02	Alto Gállego	2019	PCTE	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
03	Sobrarbe	2019	PSOE	1566	PARTIDO SOCIALISTA OBRERO ESPAÑOL
03	Sobrarbe	2019	Cs	791	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
03	Sobrarbe	2019	PP	828	PARTIDO POPULAR
03	Sobrarbe	2019	PODEMOS-IU-EQUO	738	UNIDAS PODEMOS
03	Sobrarbe	2019	VOX	357	VOX
03	Sobrarbe	2019	PACMA	21	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
03	Sobrarbe	2019	EB	10	ESCAÑOS EN BLANCO
03	Sobrarbe	2019	RECORTES CERO-GV	12	RECORTES CERO-GRUPO VERDE
03	Sobrarbe	2019	PUM+J	4	POR UN MUNDO MÁS JUSTO
03	Sobrarbe	2019	PYLN	6	PUYALON
03	Sobrarbe	2019	FIA	10	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
03	Sobrarbe	2019	PCPE	6	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
03	Sobrarbe	2019	PCTE	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
04	La Ribagorza	2019	PSOE	2040	PARTIDO SOCIALISTA OBRERO ESPAÑOL
04	La Ribagorza	2019	Cs	1260	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
04	La Ribagorza	2019	PP	1490	PARTIDO POPULAR
04	La Ribagorza	2019	PODEMOS-IU-EQUO	1183	UNIDAS PODEMOS
04	La Ribagorza	2019	VOX	620	VOX
04	La Ribagorza	2019	PACMA	70	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
04	La Ribagorza	2019	EB	34	ESCAÑOS EN BLANCO
04	La Ribagorza	2019	RECORTES CERO-GV	12	RECORTES CERO-GRUPO VERDE
04	La Ribagorza	2019	PUM+J	10	POR UN MUNDO MÁS JUSTO
04	La Ribagorza	2019	PYLN	14	PUYALON
04	La Ribagorza	2019	FIA	5	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
04	La Ribagorza	2019	PCPE	15	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
04	La Ribagorza	2019	PCTE	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
05	Cinco Villas	2019	PSOE	6789	PARTIDO SOCIALISTA OBRERO ESPAÑOL
05	Cinco Villas	2019	Cs	2681	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
05	Cinco Villas	2019	PP	3532	PARTIDO POPULAR
