Aragón	Tipo estudios	Edad	Sexo	Personas residentes viviendas familiares
Aragón	Derecho	25 a 29	Mujeres	1770
Aragón	Derecho	30 a 34	Mujeres	1834
Aragón	Derecho	35 a 39	Mujeres	1324
Aragón	Derecho	40 a 44	Mujeres	625
Aragón	Derecho	45 a 49	Mujeres	354
Aragón	Derecho	50 a 54	Mujeres	191
Aragón	Derecho	55 a 59	Mujeres	97
Aragón	Derecho	60 a 64	Mujeres	37
Aragón	Derecho	65 a 69	Mujeres	35
Aragón	Derecho	70 a 74	Mujeres	24
Aragón	Derecho	75 a 79	Mujeres	19
Aragón	Derecho	80 y más	Mujeres	24
Aragón	Derecho	25 a 29	Hombres	1095
Aragón	Derecho	30 a 34	Hombres	1209
Aragón	Derecho	35 a 39	Hombres	1301
Aragón	Derecho	40 a 44	Hombres	913
Aragón	Derecho	45 a 49	Hombres	603
Aragón	Derecho	50 a 54	Hombres	502
Aragón	Derecho	55 a 59	Hombres	349
Aragón	Derecho	60 a 64	Hombres	238
Aragón	Derecho	65 a 69	Hombres	280
Aragón	Derecho	70 a 74	Hombres	231
Aragón	Derecho	75 a 79	Hombres	127
Aragón	Derecho	80 y más	Hombres	139
Aragón	Magisterio, Educación infantil...	25 a 29	Mujeres	2003
Aragón	Magisterio, Educación infantil...	30 a 34	Mujeres	2139
Aragón	Magisterio, Educación infantil...	35 a 39	Mujeres	2508
Aragón	Magisterio, Educación infantil...	40 a 44	Mujeres	2637
Aragón	Magisterio, Educación infantil...	45 a 49	Mujeres	1551
Aragón	Magisterio, Educación infantil...	50 a 54	Mujeres	1419
Aragón	Magisterio, Educación infantil...	55 a 59	Mujeres	1223
Aragón	Magisterio, Educación infantil...	60 a 64	Mujeres	799
Aragón	Magisterio, Educación infantil...	65 a 69	Mujeres	714
Aragón	Magisterio, Educación infantil...	70 a 74	Mujeres	564
Aragón	Magisterio, Educación infantil...	75 a 79	Mujeres	372
Aragón	Magisterio, Educación infantil...	80 y más	Mujeres	524
Aragón	Magisterio, Educación infantil...	25 a 29	Hombres	565
Aragón	Magisterio, Educación infantil...	30 a 34	Hombres	501
Aragón	Magisterio, Educación infantil...	35 a 39	Hombres	609
Aragón	Magisterio, Educación infantil...	40 a 44	Hombres	1085
Aragón	Magisterio, Educación infantil...	45 a 49	Hombres	829
Aragón	Magisterio, Educación infantil...	50 a 54	Hombres	631
Aragón	Magisterio, Educación infantil...	55 a 59	Hombres	557
Aragón	Magisterio, Educación infantil...	60 a 64	Hombres	375
Aragón	Magisterio, Educación infantil...	65 a 69	Hombres	273
Aragón	Magisterio, Educación infantil...	70 a 74	Hombres	205
Aragón	Magisterio, Educación infantil...	75 a 79	Hombres	108
Aragón	Magisterio, Educación infantil...	80 y más	Hombres	162
Aragón	Ciencias Sociales	25 a 29	Mujeres	7896
Aragón	Ciencias Sociales	30 a 34	Mujeres	5945
Aragón	Ciencias Sociales	35 a 39	Mujeres	3975
Aragón	Ciencias Sociales	40 a 44	Mujeres	2316
Aragón	Ciencias Sociales	45 a 49	Mujeres	1226
Aragón	Ciencias Sociales	50 a 54	Mujeres	893
Aragón	Ciencias Sociales	55 a 59	Mujeres	557
Aragón	Ciencias Sociales	60 a 64	Mujeres	264
Aragón	Ciencias Sociales	65 a 69	Mujeres	223
Aragón	Ciencias Sociales	70 a 74	Mujeres	188
Aragón	Ciencias Sociales	75 a 79	Mujeres	118
Aragón	Ciencias Sociales	80 y más	Mujeres	110
Aragón	Ciencias Sociales	25 a 29	Hombres	3786
Aragón	Ciencias Sociales	30 a 34	Hombres	2973
Aragón	Ciencias Sociales	35 a 39	Hombres	2294
Aragón	Ciencias Sociales	40 a 44	Hombres	1788
Aragón	Ciencias Sociales	45 a 49	Hombres	1333
Aragón	Ciencias Sociales	50 a 54	Hombres	1011
Aragón	Ciencias Sociales	55 a 59	Hombres	783
Aragón	Ciencias Sociales	60 a 64	Hombres	494
Aragón	Ciencias Sociales	65 a 69	Hombres	511
Aragón	Ciencias Sociales	70 a 74	Hombres	358
Aragón	Ciencias Sociales	75 a 79	Hombres	191
Aragón	Ciencias Sociales	80 y más	Hombres	138
Aragón	Artes y Humanidades	25 a 29	Mujeres	1948
Aragón	Artes y Humanidades	30 a 34	Mujeres	1587
Aragón	Artes y Humanidades	35 a 39	Mujeres	1960
Aragón	Artes y Humanidades	40 a 44	Mujeres	1492
Aragón	Artes y Humanidades	45 a 49	Mujeres	1042
Aragón	Artes y Humanidades	50 a 54	Mujeres	748
Aragón	Artes y Humanidades	55 a 59	Mujeres	435
Aragón	Artes y Humanidades	60 a 64	Mujeres	218
Aragón	Artes y Humanidades	65 a 69	Mujeres	151
Aragón	Artes y Humanidades	70 a 74	Mujeres	81
Aragón	Artes y Humanidades	75 a 79	Mujeres	70
Aragón	Artes y Humanidades	80 y más	Mujeres	61
Aragón	Artes y Humanidades	25 a 29	Hombres	1127
Aragón	Artes y Humanidades	30 a 34	Hombres	939
Aragón	Artes y Humanidades	35 a 39	Hombres	1044
Aragón	Artes y Humanidades	40 a 44	Hombres	871
Aragón	Artes y Humanidades	45 a 49	Hombres	702
Aragón	Artes y Humanidades	50 a 54	Hombres	534
Aragón	Artes y Humanidades	55 a 59	Hombres	358
Aragón	Artes y Humanidades	60 a 64	Hombres	193
Aragón	Artes y Humanidades	65 a 69	Hombres	172
Aragón	Artes y Humanidades	70 a 74	Hombres	139
