Comarca código	Comarca nombre	Corine Land Cover 2000 nivel 1 descripción	Superficie (has)	Año
01	La Jacetania	Superficies artificiales	785,618995	2000
01	La Jacetania	Superficies artificiales	618,6649	2006
01	La Jacetania	Superficies de agua	844,405559	2000
01	La Jacetania	Superficies de agua	848,282629	2006
01	La Jacetania	Zonas agrícolas	33991,492058	2000
01	La Jacetania	Zonas agrícolas	34048,577618	2006
01	La Jacetania	Zonas forestales con vegetación natural y espacios abiertos	150042,514091	2000
01	La Jacetania	Zonas forestales con vegetación natural y espacios abiertos	150190,655397	2006
01	La Jacetania	Zonas húmedas	77,22993	2000
01	La Jacetania	Zonas húmedas	77,225739	2006
02	Alto Gállego	Superficies artificiales	789,283489	2000
02	Alto Gállego	Superficies artificiales	624,63909	2006
02	Alto Gállego	Superficies de agua	980,409807	2000
02	Alto Gállego	Superficies de agua	818,449423	2006
02	Alto Gállego	Zonas agrícolas	13186,341815	2000
02	Alto Gállego	Zonas agrícolas	13320,626714	2006
02	Alto Gállego	Zonas forestales con vegetación natural y espacios abiertos	121010,209597	2000
02	Alto Gállego	Zonas forestales con vegetación natural y espacios abiertos	121193,518754	2006
02	Alto Gállego	Zonas húmedas	73,876793	2000
02	Alto Gállego	Zonas húmedas	77,751675	2006
03	Sobrarbe	Superficies artificiales	452,756356	2000
03	Sobrarbe	Superficies artificiales	149,36412	2006
03	Sobrarbe	Superficies de agua	1962,693525	2000
03	Sobrarbe	Superficies de agua	1818,414651	2006
03	Sobrarbe	Zonas agrícolas	19957,625761	2000
03	Sobrarbe	Zonas agrícolas	20217,957106	2006
03	Sobrarbe	Zonas forestales con vegetación natural y espacios abiertos	197952,831359	2000
03	Sobrarbe	Zonas forestales con vegetación natural y espacios abiertos	198211,614069	2006
03	Sobrarbe	Zonas húmedas	0	2000
03	Sobrarbe	Zonas húmedas	0	2006
04	La Ribagorza	Superficies artificiales	906,854663	2000
04	La Ribagorza	Superficies artificiales	303,289502	2006
04	La Ribagorza	Superficies de agua	2396,356207	2000
04	La Ribagorza	Superficies de agua	2144,743735	2006
04	La Ribagorza	Zonas agrícolas	45095,807181	2000
04	La Ribagorza	Zonas agrícolas	45559,757052	2006
04	La Ribagorza	Zonas forestales con vegetación natural y espacios abiertos	197833,515911	2000
04	La Ribagorza	Zonas forestales con vegetación natural y espacios abiertos	198275,50339	2006
04	La Ribagorza	Zonas húmedas	36,522313	2000
04	La Ribagorza	Zonas húmedas	63,261935	2006
05	Cinco Villas	Superficies artificiales	1354,375228	2000
05	Cinco Villas	Superficies artificiales	1198,054062	2006
05	Cinco Villas	Superficies de agua	1520,612859	2000
05	Cinco Villas	Superficies de agua	1576,983943	2006
05	Cinco Villas	Zonas agrícolas	191103,084331	2000
05	Cinco Villas	Zonas agrícolas	191583,686323	2006
05	Cinco Villas	Zonas forestales con vegetación natural y espacios abiertos	111598,571063	2000
05	Cinco Villas	Zonas forestales con vegetación natural y espacios abiertos	111412,371383	2006
05	Cinco Villas	Zonas húmedas	566,389408	2000
05	Cinco Villas	Zonas húmedas	414,203221	2006
