Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	CCAA
2015	7	1	Directores y gerentes	Hombres	Aragón
2015	4	1	Directores y gerentes	Mujeres	Aragón
2014	4	1	Directores y gerentes	Hombres	Aragón
2014	9	1	Directores y gerentes	Mujeres	Aragón
2013	8	1	Directores y gerentes	Hombres	Aragón
2013	6	1	Directores y gerentes	Mujeres	Aragón
2012	7	1	Directores y gerentes	Hombres	Aragón
2012	3	1	Directores y gerentes	Mujeres	Aragón
2011	18	1	Directores y gerentes	Hombres	Aragón
2011	8	1	Directores y gerentes	Mujeres	Aragón
2015	41	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2015	126	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2014	37	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2014	129	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2013	29	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2013	164	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2012	29	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2012	134	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2011	34	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2011	132	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2015	50	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2015	38	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2014	49	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2014	49	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2013	42	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2013	68	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2012	39	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2012	44	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2011	39	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2011	47	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2015	51	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2015	185	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2014	49	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2014	205	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2013	62	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2013	196	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2012	47	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2012	158	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2011	45	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2011	177	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2015	120	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2015	384	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2014	110	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2014	332	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2013	124	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2013	329	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2012	93	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2012	301	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2011	118	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Aragón
2011	305	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Aragón
2015	6	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2015	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2014	6	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2014	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2013	16	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2013	3	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2012	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2012	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2011	9	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Aragón
2011	3	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Aragón
2015	106	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
2015	27	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Aragón
2014	108	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
2014	27	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Aragón
2013	124	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
2013	21	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Aragón
2012	120	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
2012	17	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Aragón
2011	163	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Aragón
2011	24	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Aragón
2015	118	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Aragón
2015	28	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Aragón
2014	99	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Aragón
2014	26	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Aragón
2013	101	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Aragón
2013	26	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Aragón
2012	87	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Aragón
2012	17	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Aragón
2011	103	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Aragón
2011	26	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Aragón
2015	140	9	Ocupaciones elementales	Hombres	Aragón
2015	197	9	Ocupaciones elementales	Mujeres	Aragón
2014	132	9	Ocupaciones elementales	Hombres	Aragón
2014	176	9	Ocupaciones elementales	Mujeres	Aragón
2013	130	9	Ocupaciones elementales	Hombres	Aragón
2013	166	9	Ocupaciones elementales	Mujeres	Aragón
2012	97	9	Ocupaciones elementales	Hombres	Aragón
2012	172	9	Ocupaciones elementales	Mujeres	Aragón
2011	146	9	Ocupaciones elementales	Hombres	Aragón
2011	186	9	Ocupaciones elementales	Mujeres	Aragón
2012	1	NC	No consta	Hombres	Aragón
2011	26	NC	No consta	Hombres	Aragón
2011	25	NC	No consta	Mujeres	Aragón
