Mes y año	Comarca código	Comarca nombre	Sector de actividad	Afiliaciones en alta	Sexo
Mayo 2021	01	La Jacetania	Agricultura, ganadería y pesca	250	Hombres
Mayo 2021	01	La Jacetania	Agricultura, ganadería y pesca	45	Mujeres
Mayo 2021	01	La Jacetania	Industria y energía	67	Hombres
Mayo 2021	01	La Jacetania	Industria y energía	20	Mujeres
Mayo 2021	01	La Jacetania	Construcción	222	Hombres
Mayo 2021	01	La Jacetania	Construcción	12	Mujeres
Mayo 2021	01	La Jacetania	Servicios	557	Hombres
Mayo 2021	01	La Jacetania	Servicios	583	Mujeres
Mayo 2021	02	Alto Gállego	Agricultura, ganadería y pesca	95	Hombres
Mayo 2021	02	Alto Gállego	Agricultura, ganadería y pesca	31	Mujeres
Mayo 2021	02	Alto Gállego	Industria y energía	39	Hombres
Mayo 2021	02	Alto Gállego	Industria y energía	16	Mujeres
Mayo 2021	02	Alto Gállego	Construcción	163	Hombres
Mayo 2021	02	Alto Gállego	Construcción	19	Mujeres
Mayo 2021	02	Alto Gállego	Servicios	449	Hombres
Mayo 2021	02	Alto Gállego	Servicios	390	Mujeres
Mayo 2021	03	Sobrarbe	Agricultura, ganadería y pesca	243	Hombres
Mayo 2021	03	Sobrarbe	Agricultura, ganadería y pesca	50	Mujeres
Mayo 2021	03	Sobrarbe	Industria y energía	32	Hombres
Mayo 2021	03	Sobrarbe	Industria y energía	13	Mujeres
Mayo 2021	03	Sobrarbe	Construcción	166	Hombres
Mayo 2021	03	Sobrarbe	Construcción	8	Mujeres
Mayo 2021	03	Sobrarbe	Servicios	319	Hombres
Mayo 2021	03	Sobrarbe	Servicios	290	Mujeres
Mayo 2021	04	La Ribagorza	Agricultura, ganadería y pesca	403	Hombres
Mayo 2021	04	La Ribagorza	Agricultura, ganadería y pesca	107	Mujeres
Mayo 2021	04	La Ribagorza	Industria y energía	53	Hombres
Mayo 2021	04	La Ribagorza	Industria y energía	24	Mujeres
Mayo 2021	04	La Ribagorza	Construcción	191	Hombres
Mayo 2021	04	La Ribagorza	Construcción	13	Mujeres
Mayo 2021	04	La Ribagorza	Servicios	381	Hombres
Mayo 2021	04	La Ribagorza	Servicios	382	Mujeres
Mayo 2021	05	Cinco Villas	Agricultura, ganadería y pesca	1163	Hombres
Mayo 2021	05	Cinco Villas	Agricultura, ganadería y pesca	336	Mujeres
Mayo 2021	05	Cinco Villas	Industria y energía	145	Hombres
Mayo 2021	05	Cinco Villas	Industria y energía	135	Mujeres
Mayo 2021	05	Cinco Villas	Construcción	291	Hombres
Mayo 2021	05	Cinco Villas	Construcción	39	Mujeres
