Año	Comarca código	Comarca nombre	Edificios nueva planta, total	Superficie nueva planta, total	Viviendas nueva planta
2019	01	La Jacetania	9	7121	33
2019	02	Alto Gállego	14	11055	11
2019	03	Sobrarbe	47	16011	27
2019	04	La Ribagorza	27	31187	80
2019	05	Cinco Villas	31	32157	7
2019	06	Hoya de Huesca / Plana de Uesca	89	95565	79
2019	07	Somontano de Barbastro	30	20718	32
2019	08	Cinca Medio	65	60252	12
2019	09	La Litera / La Llitera	52	41409	14
2019	10	Los Monegros	181	222176	7
2019	11	Bajo Cinca / Baix Cinca	46	37193	29
2019	12	Tarazona y el Moncayo	8	4634	3
2019	13	Campo de Borja	26	20593	9
2019	14	Aranda	2	2792	1
2019	15	Ribera Alta del Ebro	24	38986	10
2019	16	Valdejalón	34	22990	28
2019	17	Central	222	581393	2025
2019	18	Ribera Baja del Ebro	13	87203	5
2019	19	Bajo Aragón-Caspe / Baix Aragó-Casp	24	18185	2
2019	20	Comunidad de Calatayud	16	6073	9
2019	21	Campo de Cariñena	18	12295	2
2019	22	Campo de Belchite	2	3680	0
2019	23	Bajo Martín	11	7447	2
2019	24	Campo de Daroca	3	3668	0
2019	25	Jiloca	30	19091	9
2019	26	Cuencas Mineras	6	1930	5
2019	27	Andorra-Sierra de Arcos	12	3056	4
2019	28	Bajo Aragón	54	21201	17
2019	29	Comunidad de Teruel	43	93707	133
2019	30	Maestrazgo	2	904	2
2019	31	Sierra de Albarracín	7	1532	4
2019	32	Gúdar-Javalambre	28	8553	26
2019	33	Matarraña / Matarranya	26	15728	11
2018	01	La Jacetania	45	24054	80
2018	02	Alto Gállego	14	6953	27
2018	03	Sobrarbe	18	11124	7
2018	04	La Ribagorza	38	27703	60
2018	05	Cinco Villas	40	45053	12
2018	06	Hoya de Huesca / Plana de Uesca	66	69081	90
2018	07	Somontano de Barbastro	35	43289	25
2018	08	Cinca Medio	64	73008	42
2018	09	La Litera / La Llitera	83	146619	39
2018	10	Los Monegros	161	180708	7
2018	11	Bajo Cinca / Baix Cinca	86	84307	32
2018	12	Tarazona y el Moncayo	13	5626	2
2018	13	Campo de Borja	14	7153	5
2018	14	Aranda	4	852	3
2018	15	Ribera Alta del Ebro	18	23765	11
2018	16	Valdejalón	56	20134	41
2018	17	Central	271	647894	1679
2018	18	Ribera Baja del Ebro	11	7882	8
2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	29	12920	9
2018	20	Comunidad de Calatayud	15	16697	6
2018	21	Campo de Cariñena	9	7461	1
2018	22	Campo de Belchite	2	521	1
2018	23	Bajo Martín	25	32846	5
2018	24	Campo de Daroca	6	4343	0
2018	25	Jiloca	38	26467	6
2018	26	Cuencas Mineras	5	1170	4
